"Isolation","Trait_A","Trait_B","Observed_PN","Percent_PN"
"0","0","0",0,0
"Pathogenic","Glucose_F","Lactose_F",67,0.742
"Pathogenic","Glucose_F","Glucose",0,1
"Pathogenic","Galactose_F","Lactose_F",30,0.52
"Pathogenic","Galactose_F","Glucose",0,1
"Pathogenic","Sucrose_F","Lactose_F",29,0.657
"Pathogenic","Sucrose_F","Glucose",0,1
"Pathogenic","Maltose_F","Lactose_F",21,0.529
"Pathogenic","Maltose_F","Glucose",0,1
"Pathogenic","Lactose_F","Raffinose_F",0,0.436
"Pathogenic","Lactose_F","Trehalose_F",0,0.527
"Pathogenic","Lactose_F","Glucose",0,1
"Pathogenic","Lactose_F","Inulin",1,0.47
"Pathogenic","Lactose_F","Sucrose",0,0.734
"Pathogenic","Lactose_F","Raffinose",0,0.53
"Pathogenic","Lactose_F","Melibiose",0,0.381
"Pathogenic","Lactose_F","Galactose",0,0.777
"Pathogenic","Lactose_F","Lactose",0,0.37
"Pathogenic","Lactose_F","Trehalose",0,0.797
"Pathogenic","Lactose_F","Maltose",0,0.714
"Pathogenic","Lactose_F","Melezitose",0,0.651
"Pathogenic","Lactose_F","Methyl-?-D-glucoside",0,0.657
"Pathogenic","Lactose_F","Soluble Starch",0,0.507
"Pathogenic","Lactose_F","Cellobiose",0,0.73
"Pathogenic","Lactose_F","Salicin",0,0.725
"Pathogenic","Lactose_F","L-Sorbose",0,0.675
"Pathogenic","Lactose_F","L-Rhamnose",1,0.601
"Pathogenic","Lactose_F","D-Xylose",0,0.817
"Pathogenic","Lactose_F","L-Arabinose",0,0.608
"Pathogenic","Lactose_F","D-Arabinose",1,0.635
"Pathogenic","Lactose_F","D-Ribose",0,0.631
"Pathogenic","Lactose_F","Methanol",1,0.393
"Pathogenic","Lactose_F","Ethanol",0,0.889
"Pathogenic","Lactose_F","Glycerol",0,0.934
"Pathogenic","Lactose_F","Erythritol",0,0.479
"Pathogenic","Lactose_F","Ribitol",0,0.738
"Pathogenic","Lactose_F","Galactitol",1,0.494
"Pathogenic","Lactose_F","D-Mannitol",0,0.88
"Pathogenic","Lactose_F","D-Glucitol",0,0.886
"Pathogenic","Lactose_F","myo-Inositol",1,0.42
"Pathogenic","Lactose_F","DL-Lactate",1,0.719
"Pathogenic","Lactose_F","Succinate",0,0.914
"Pathogenic","Lactose_F","Citrate",0,0.768
"Pathogenic","Lactose_F","D-Gluconate",0,0.734
"Pathogenic","Lactose_F","D-Glucosamine",0,0.589
"Pathogenic","Lactose_F","Nitrate",1,0.481
"Pathogenic","Lactose_F","Vitamin-free",0,0.403
"Pathogenic","Lactose_F","2-Keto-D-gluconate",0,0.596
"Pathogenic","Lactose_F","Starch formation",1,0.403
"Pathogenic","Lactose_F","Growth at 19°C",0,0.988
"Pathogenic","Lactose_F","Growth at 25°C",0,0.996
"Pathogenic","Lactose_F","Growth at 30°C",0,0.937
"Pathogenic","Lactose_F","Growth at 37°C",1,0.797
"Pathogenic","Raffinose_F","Glucose",0,1
"Pathogenic","Trehalose_F","Glucose",0,1
"Pathogenic","Glucose","Inulin",79,0.867
"Pathogenic","Glucose","Sucrose",41,0.832
"Pathogenic","Glucose","Raffinose",58,0.612
"Pathogenic","Glucose","Melibiose",76,0.738
"Pathogenic","Glucose","Galactose",28,0.509
"Pathogenic","Glucose","Lactose",77,0.741
"Pathogenic","Glucose","Trehalose",32,0.772
"Pathogenic","Glucose","Maltose",41,0.73
"Pathogenic","Glucose","Melezitose",46,0.634
"Pathogenic","Glucose","Methyl-?-D-glucoside",46,0.637
"Pathogenic","Glucose","Soluble Starch",60,0.504
"Pathogenic","Glucose","Cellobiose",37,0.78
"Pathogenic","Glucose","Salicin",37,0.789
"Pathogenic","Glucose","L-Sorbose",38,0.506
"Pathogenic","Glucose","L-Rhamnose",62,0.405
"Pathogenic","Glucose","D-Xylose",28,0.622
"Pathogenic","Glucose","L-Arabinose",49,0.378
"Pathogenic","Glucose","D-Arabinose",61,0.709
"Pathogenic","Glucose","D-Ribose",48,0.562
"Pathogenic","Glucose","Methanol",85,0.791
"Pathogenic","Glucose","Ethanol",11,0.5
"Pathogenic","Glucose","Glycerol",10,0.515
"Pathogenic","Glucose","Erythritol",62,0.595
"Pathogenic","Glucose","Ribitol",35,0.626
"Pathogenic","Glucose","Galactitol",73,0.557
"Pathogenic","Glucose","D-Mannitol",23,0.845
"Pathogenic","Glucose","D-Glucitol",20,0.67
"Pathogenic","Glucose","myo-Inositol",81,0.707
"Pathogenic","Glucose","DL-Lactate",40,0.358
"Pathogenic","Glucose","Succinate",11,0.345
"Pathogenic","Glucose","Citrate",24,0.212
"Pathogenic","Glucose","D-Gluconate",27,0.184
"Pathogenic","Glucose","D-Glucosamine",52,0.562
"Pathogenic","Glucose","Nitrate",79,0.946
"Pathogenic","Glucose","Vitamin-free",71,0.728
"Pathogenic","Glucose","2-Keto-D-gluconate",44,0.443
"Pathogenic","Glucose","Starch formation",84,0.904
"Pathogenic","Glucose","Growth at 19°C",5,0.903
"Pathogenic","Glucose","Growth at 25°C",0,0.734
"Pathogenic","Glucose","Growth at 30°C",3,0.197
"Pathogenic","Glucose","Growth at 37°C",24,0.004
"Clinical","Glucose_F","Lactose_F",10,0.918
"Clinical","Glucose_F","Glucose",0,1
"Clinical","Glucose_F","Methanol",10,0.934
"Clinical","Glucose_F","myo-Inositol",10,0.937
"Clinical","Glucose_F","Starch formation",10,0.962
"Clinical","Galactose_F","Lactose_F",6,0.806
"Clinical","Galactose_F","Glucose",0,1
"Clinical","Galactose_F","Methanol",6,0.832
"Clinical","Galactose_F","myo-Inositol",6,0.82
"Clinical","Galactose_F","Starch formation",6,0.868
"Clinical","Sucrose_F","Lactose_F",7,0.897
"Clinical","Sucrose_F","Glucose",0,1
"Clinical","Sucrose_F","Methanol",7,0.918
"Clinical","Sucrose_F","myo-Inositol",7,0.907
"Clinical","Sucrose_F","Starch formation",7,0.943
"Clinical","Maltose_F","Lactose_F",5,0.843
"Clinical","Maltose_F","Glucose",0,1
"Clinical","Maltose_F","Methanol",5,0.86
"Clinical","Maltose_F","myo-Inositol",5,0.858
"Clinical","Maltose_F","Starch formation",5,0.896
"Clinical","Lactose_F","Raffinose_F",0,0.884
"Clinical","Lactose_F","Trehalose_F",0,0.917
"Clinical","Lactose_F","Glucose",0,1
"Clinical","Lactose_F","Inulin",0,0.845
"Clinical","Lactose_F","Sucrose",0,0.966
"Clinical","Lactose_F","Raffinose",0,0.907
"Clinical","Lactose_F","Melibiose",0,0.859
"Clinical","Lactose_F","Galactose",0,0.969
"Clinical","Lactose_F","Lactose",0,0.828
"Clinical","Lactose_F","Trehalose",0,0.979
"Clinical","Lactose_F","Maltose",0,0.97
"Clinical","Lactose_F","Melezitose",0,0.964
"Clinical","Lactose_F","Methyl-?-D-glucoside",0,0.958
"Clinical","Lactose_F","Soluble Starch",0,0.886
"Clinical","Lactose_F","Cellobiose",0,0.949
"Clinical","Lactose_F","Salicin",0,0.954
"Clinical","Lactose_F","L-Sorbose",0,0.923
"Clinical","Lactose_F","L-Rhamnose",0,0.892
"Clinical","Lactose_F","D-Xylose",0,0.976
"Clinical","Lactose_F","L-Arabinose",0,0.907
"Clinical","Lactose_F","D-Arabinose",0,0.88
"Clinical","Lactose_F","D-Ribose",0,0.94
"Clinical","Lactose_F","Methanol",0,0.815
"Clinical","Lactose_F","Ethanol",0,0.987
"Clinical","Lactose_F","Glycerol",0,0.993
"Clinical","Lactose_F","Erythritol",0,0.865
"Clinical","Lactose_F","Ribitol",0,0.964
"Clinical","Lactose_F","Galactitol",0,0.862
"Clinical","Lactose_F","D-Mannitol",0,0.988
"Clinical","Lactose_F","D-Glucitol",0,0.993
"Clinical","Lactose_F","myo-Inositol",0,0.814
"Clinical","Lactose_F","DL-Lactate",0,0.93
"Clinical","Lactose_F","Succinate",0,0.993
"Clinical","Lactose_F","Citrate",0,0.974
"Clinical","Lactose_F","D-Gluconate",0,0.971
