"Isolation","Trait_A","Trait_B","Observed_NN","Percent_NN","Mean_NN","SD_NN","Var_NN","Difference","Color"
"Pathogenic","2-Keto-D-gluconate","Growth at 25°C",0,0.829,0.178,0.400595152836971,0.160476476476476,-0.178,3
"Pathogenic","2-Keto-D-gluconate","Growth at 37°C",0,0,17.771,2.83064861322835,8.01257157157157,-17.771,3
"Pathogenic","Cellobiose","Growth at 25°C",0,0.861,0.145,0.368932393686311,0.136111111111111,-0.145,3
"Pathogenic","Cellobiose","Growth at 37°C",0,0,14.044,2.78851929163846,7.77583983983984,-14.044,3
"Pathogenic","Citrate","Growth at 25°C",0,0.88,0.122,0.333507462026305,0.111227227227227,-0.122,3
"Pathogenic","Citrate","Growth at 37°C",0,0,11.643,2.48389225223654,6.16972072072072,-11.643,3
"Pathogenic","D-Arabinose","Growth at 25°C",0,0.773,0.246,0.475089159747631,0.22570970970971,-0.246,3
"Pathogenic","D-Arabinose","Growth at 37°C",0,0,24.389,2.98573166804949,8.91459359359359,-24.389,3
"Pathogenic","D-Glucitol","Growth at 25°C",0,0.884,0.118,0.328913642441575,0.108184184184184,-0.118,3
"Pathogenic","D-Glucitol","Growth at 37°C",0,0,8.039,2.10568585332972,4.43391291291291,-8.039,3
"Pathogenic","D-Gluconate","Growth at 25°C",0,0.866,0.137,0.352640546953063,0.124355355355355,-0.137,3
"Pathogenic","D-Gluconate","Growth at 37°C",0,0,11.557,2.46552830643451,6.07882982982983,-11.557,3
"Pathogenic","D-Glucosamine","Growth at 25°C",0,0.805,0.206,0.43098694846799,0.18574974974975,-0.206,3
"Pathogenic","D-Glucosamine","Growth at 37°C",0,0,20.729,2.87050497278768,8.2397987987988,-20.729,3
"Pathogenic","D-Mannitol","Growth at 25°C",0,0.865,0.14,0.36129009193518,0.130530530530531,-0.14,3
"Pathogenic","D-Mannitol","Growth at 37°C",0,0,9.894,2.1696708209937,4.70747147147147,-9.894,3
"Pathogenic","D-Ribose","Growth at 25°C",0,0.791,0.22,0.44022016513762,0.193793793793794,-0.22,3
"Pathogenic","D-Ribose","Growth at 37°C",0,0,20.052,2.8992588193712,8.4057017017017,-20.052,3
"Pathogenic","D-Xylose","Growth at 25°C",0,0.851,0.156,0.381850507148818,0.14580980980981,-0.156,3
"Pathogenic","D-Xylose","Growth at 37°C",0,0,13.074,2.40589116801079,5.78831231231231,-13.074,3
"Pathogenic","DL-Lactate","Growth at 25°C",0,0.863,0.145,0.374319536112016,0.140115115115115,-0.145,3
"Pathogenic","DL-Lactate","Growth at 37°C",0,0,16.912,2.84118431790835,8.07232832832833,-16.912,3
"Pathogenic","Erythritol","Growth at 25°C",0,0.777,0.243,0.473471409036676,0.224175175175175,-0.243,3
"Pathogenic","Erythritol","Growth at 37°C",0,0,22.804,3.09696224955603,9.59117517517518,-22.804,3
"Pathogenic","Ethanol","Growth at 25°C",0,0.946,0.054,0.226130792098589,0.0511351351351351,-0.054,3
"Pathogenic","Ethanol","Growth at 37°C",0,0,5.522,1.78681524190631,3.19270870870871,-5.522,3
"Pathogenic","Galactitol","Growth at 25°C",0,0.752,0.272,0.498261240981339,0.248264264264264,-0.272,3
"Pathogenic","Galactitol","Growth at 37°C",0,0,28.078,3.15814659094379,9.97388988988989,-28.078,3
"Pathogenic","Galactose","Growth at 25°C",0,0.865,0.146,0.38318511300784,0.146830830830831,-0.146,3
"Pathogenic","Galactose","Growth at 37°C",0,0,11.919,2.46871090521623,6.09453353353353,-11.919,3
"Pathogenic","Galactose_F","Glucose",0,1,0,0,0,0,3
"Pathogenic","Galactose_F","Growth at 25°C",0,0.779,0.234,0.453265319045534,0.205449449449449,-0.234,3
"Pathogenic","Galactose_F","Growth at 37°C",0,0,25.389,2.9937671321667,8.96264164164164,-25.389,3
"Pathogenic","Glucose","2-Keto-D-gluconate",10,1,0,0,0,10,1
"Pathogenic","Glucose","Cellobiose",8,1,0,0,0,8,1
"Pathogenic","Glucose","Citrate",6,1,0,0,0,6,1
"Pathogenic","Glucose","D-Arabinose",17,1,0,0,0,17,1
"Pathogenic","Glucose","D-Glucitol",3,1,0,0,0,3,1
"Pathogenic","Glucose","D-Gluconate",4,1,0,0,0,4,1
"Pathogenic","Glucose","D-Glucosamine",13,1,0,0,0,13,1
"Pathogenic","Glucose","D-Mannitol",6,1,0,0,0,6,1
"Pathogenic","Glucose","D-Ribose",12,1,0,0,0,12,1
"Pathogenic","Glucose","D-Xylose",8,1,0,0,0,8,1
"Pathogenic","Glucose","DL-Lactate",13,1,0,0,0,13,1
"Pathogenic","Glucose","Erythritol",13,1,0,0,0,13,1
"Pathogenic","Glucose","Ethanol",4,1,0,0,0,4,1
"Pathogenic","Glucose","Galactitol",19,1,0,0,0,19,1
"Pathogenic","Glucose","Galactose",6,1,0,0,0,6,1
"Pathogenic","Glucose","Glycerol",2,1,0,0,0,2,1
"Pathogenic","Glucose","Growth at 19°C",0,1,0,0,0,0,3
"Pathogenic","Glucose","Growth at 25°C",0,1,0,0,0,0,3
"Pathogenic","Glucose","Growth at 30°C",3,1,0,0,0,3,1
"Pathogenic","Glucose","Growth at 37°C",0,1,0,0,0,0,3
"Pathogenic","Glucose","Inulin",22,1,0,0,0,22,1
"Pathogenic","Glucose","L-Arabinose",12,1,0,0,0,12,1
"Pathogenic","Glucose","L-Rhamnose",15,1,0,0,0,15,1
"Pathogenic","Glucose","L-Sorbose",7,1,0,0,0,7,1
"Pathogenic","Glucose","Lactose",19,1,0,0,0,19,1
"Pathogenic","Glucose","Maltose",13,1,0,0,0,13,1
"Pathogenic","Glucose","Melezitose",15,1,0,0,0,15,1
"Pathogenic","Glucose","Melibiose",19,1,0,0,0,19,1
"Pathogenic","Glucose","Methanol",23,1,0,0,0,23,1
"Pathogenic","Glucose","Methyl-?-D-glucoside",17,1,0,0,0,17,1
"Pathogenic","Glucose","myo-Inositol",22,1,0,0,0,22,1
"Pathogenic","Glucose","Nitrate",22,1,0,0,0,22,1
"Pathogenic","Glucose","Raffinose",16,1,0,0,0,16,1
"Pathogenic","Glucose","Ribitol",8,1,0,0,0,8,1
"Pathogenic","Glucose","Salicin",8,1,0,0,0,8,1
"Pathogenic","Glucose","Soluble Starch",18,1,0,0,0,18,1
"Pathogenic","Glucose","Starch formation",23,1,0,0,0,23,1
"Pathogenic","Glucose","Succinate",2,1,0,0,0,2,1
"Pathogenic","Glucose","Sucrose",14,1,0,0,0,14,1
"Pathogenic","Glucose","Trehalose",8,1,0,0,0,8,1
"Pathogenic","Glucose","Vitamin-free",17,1,0,0,0,17,1
"Pathogenic","Glucose_F","Glucose",0,1,0,0,0,0,3
"Pathogenic","Glucose_F","Growth at 25°C",0,0.91,0.093,0.300734835763071,0.0904414414414414,-0.093,3
"Pathogenic","Glucose_F","Growth at 37°C",0,0,11.063,2.22665421405951,4.95798898898899,-11.063,3
"Pathogenic","Glycerol","Growth at 25°C",0,0.934,0.068,0.259698755182699,0.0674434434434434,-0.068,3
"Pathogenic","Glycerol","Growth at 37°C",0,0,4.91,1.58695255707864,2.51841841841842,-4.91,3
"Pathogenic","Growth at 19°C","Growth at 25°C",0,0.964,0.036,0.186383311320351,0.0347387387387387,-0.036,3
"Pathogenic","Growth at 19°C","Growth at 37°C",0,0.093,1.852,1.07761647039068,1.16125725725726,-1.852,3
"Pathogenic","Growth at 25°C","Growth at 30°C",3,1,0.031,0.17908397770619,0.0320710710710711,2.969,1
"Pathogenic","Growth at 25°C","Growth at 37°C",0,0.882,0.121,0.33536766610911,0.112471471471471,-0.121,3
"Pathogenic","Growth at 30°C","Growth at 37°C",0,0.011,2.945,1.33332394891592,1.77775275275275,-2.945,3
"Pathogenic","Inulin","Growth at 25°C",0,0.756,0.272,0.506233416787427,0.256272272272272,-0.272,3
"Pathogenic","Inulin","Growth at 37°C",0,0,29.454,3.14066039993944,9.86374774774775,-29.454,3
"Pathogenic","L-Arabinose","Growth at 25°C",0,0.793,0.223,0.453295131759074,0.205476476476476,-0.223,3
"Pathogenic","L-Arabinose","Growth at 37°C",0,0,20.596,2.86058857002662,8.18296696696697,-20.596,3
"Pathogenic","L-Rhamnose","Growth at 25°C",0,0.781,0.235,0.460420445882877,0.211986986986987,-0.235,3
"Pathogenic","L-Rhamnose","Growth at 37°C",0,0,24.26,3.10741951722906,9.65605605605606,-24.26,3
"Pathogenic","L-Sorbose","Growth at 25°C",0,0.836,0.175,0.408095015335328,0.166541541541542,-0.175,3
"Pathogenic","L-Sorbose","Growth at 37°C",0,0,14.6,2.76652374897698,7.65365365365365,-14.6,3
"Pathogenic","Lactose","Growth at 25°C",0,0.752,0.274,0.501173797374898,0.251175175175175,-0.274,3
"Pathogenic","Lactose","Growth at 37°C",0,0,28.186,3.13292502610886,9.81521921921922,-28.186,3
"Pathogenic","Lactose_F","Glucose",0,1,0,0,0,0,3
"Pathogenic","Lactose_F","Growth at 25°C",0,0.738,0.295,0.525596091358423,0.276251251251251,-0.295,3
"Pathogenic","Lactose_F","Growth at 37°C",0,0,31.426,3.21167228073458,10.3148388388388,-31.426,3
"Pathogenic","Maltose","Growth at 25°C",0,0.813,0.198,0.425413889026883,0.180976976976977,-0.198,3
"Pathogenic","Maltose","Growth at 37°C",0,0,18.905,2.7374200387351,7.49346846846847,-18.905,3
"Pathogenic","Maltose_F","Glucose",0,1,0,0,0,0,3
"Pathogenic","Maltose_F","Growth at 25°C",0,0.761,0.257,0.476632120380255,0.227178178178178,-0.257,3
"Pathogenic","Maltose_F","Growth at 37°C",0,0,27.919,3.05118808806484,9.30974874874875,-27.919,3
"Pathogenic","Melezitose","Growth at 25°C",0,0.797,0.214,0.436342061225358,0.190394394394394,-0.214,3
"Pathogenic","Melezitose","Growth at 37°C",0,0,21.091,2.83597633307504,8.04276176176176,-21.091,3
"Pathogenic","Melibiose","Growth at 25°C",0,0.749,0.277,0.504505228442209,0.254525525525526,-0.277,3
"Pathogenic","Melibiose","Growth at 37°C",0,0,28.059,3.16473293257654,10.0155345345345,-28.059,3
"Pathogenic","Methanol","Growth at 25°C",0,0.746,0.286,0.520071605141518,0.270474474474474,-0.286,3
"Pathogenic","Methanol","Growth at 37°C",0,0,30.518,3.28762596480872,10.8084844844845,-30.518,3
"Pathogenic","Methyl-?-D-glucoside","Growth at 25°C",0,0.794,0.22,0.446989708829856,0.1997997997998,-0.22,3
"Pathogenic","Methyl-?-D-glucoside","Growth at 37°C",0,0,22.146,2.83667600030929,8.04673073073073,-22.146,3
"Pathogenic","myo-Inositol","Growth at 25°C",0,0.748,0.282,0.512580470500719,0.262738738738739,-0.282,3
"Pathogenic","myo-Inositol","Growth at 37°C",0,0,30.166,3.23402271218105,10.4589029029029,-30.166,3
"Pathogenic","Nitrate","Growth at 25°C",0,0.773,0.248,0.478251737816733,0.228724724724725,-0.248,3
"Pathogenic","Nitrate","Growth at 37°C",0,0,28.589,3.15785545125977,9.97205105105105,-28.589,3
"Pathogenic","Raffinose","Growth at 25°C",0,0.792,0.223,0.451081449933905,0.203474474474474,-0.223,3
"Pathogenic","Raffinose","Growth at 37°C",0,0,23.686,2.91133644223403,8.47587987987988,-23.686,3
"Pathogenic","Raffinose_F","Glucose",0,1,0,0,0,0,3
"Pathogenic","Raffinose_F","Growth at 25°C",0,0.766,0.256,0.484457117502363,0.234698698698699,-0.256,3
"Pathogenic","Raffinose_F","Growth at 37°C",0,0,28.006,3.13397284381754,9.82178578578579,-28.006,3
"Pathogenic","Ribitol","Growth at 25°C",0,0.837,0.171,0.397387615454882,0.157916916916917,-0.171,3
"Pathogenic","Ribitol","Growth at 37°C",0,0,14.858,2.56132707719971,6.5603963963964,-14.858,3
"Pathogenic","Salicin","Growth at 25°C",0,0.851,0.156,0.381850507148818,0.14580980980981,-0.156,3
"Pathogenic","Salicin","Growth at 37°C",0,0,14.241,2.73832383355538,7.49841741741742,-14.241,3
"Pathogenic","Soluble Starch","Growth at 25°C",0,0.776,0.241,0.465978686353932,0.217136136136136,-0.241,3
"Pathogenic","Soluble Starch","Growth at 37°C",0,0,25.245,3.05324373368673,9.3222972972973,-25.245,3
"Pathogenic","Starch formation","Growth at 25°C",0,0.77,0.252,0.48241966038785,0.232728728728729,-0.252,3
"Pathogenic","Starch formation","Growth at 37°C",0,0,29.375,3.31109322404827,10.9633383383383,-29.375,3
"Pathogenic","Succinate","Growth at 25°C",0,0.928,0.073,0.264084722656841,0.0697407407407407,-0.073,3
"Pathogenic","Succinate","Growth at 37°C",0,0,5.457,1.71612822833729,2.9450960960961,-5.457,3
"Pathogenic","Sucrose","Growth at 25°C",0,0.821,0.187,0.410120956791041,0.168199199199199,-0.187,3
"Pathogenic","Sucrose","Growth at 37°C",0,0,18.701,2.75012039048514,7.56316216216216,-18.701,3
"Pathogenic","Sucrose_F","Glucose",0,1,0,0,0,0,3
