"Isolation","Trait_A","Trait_B","Observed_PN","Percent_PN","Mean_PN","SD_PN","Var_PN","Difference","Color"
"Pathogenic","Galactose_F","Glucose",0,1,0,0,0,0,3
"Pathogenic","Galactose_F","Lactose_F",30,0.52,30.448,2.58843504766799,6.699995995996,-0.448,3
"Pathogenic","Glucose","2-Keto-D-gluconate",44,0.443,44.825,2.8043250951413,7.86423923923924,-0.825000000000003,3
"Pathogenic","Glucose","Cellobiose",37,0.78,35.384,2.70293356371366,7.30584984984985,1.616,3
"Pathogenic","Glucose","Citrate",24,0.212,26.524,2.5345310903297,6.42384784784785,-2.524,3
"Pathogenic","Glucose","D-Arabinose",61,0.709,60.263,2.42481147941664,5.87971071071071,0.737000000000002,3
"Pathogenic","Glucose","D-Glucitol",20,0.67,19.675,1.95683525218762,3.8292042042042,0.324999999999999,3
"Pathogenic","Glucose","D-Gluconate",27,0.184,30.029,2.75313253199673,7.57973873873874,-3.029,3
"Pathogenic","Glucose","D-Glucosamine",52,0.562,52.047,2.65062574061613,7.02581681681682,-0.046999999999997,3
"Pathogenic","Glucose","D-Mannitol",23,0.845,21.551,1.96348013849243,3.85525425425425,1.449,3
"Pathogenic","Glucose","D-Ribose",48,0.562,48.129,2.39250560774329,5.72408308308308,-0.128999999999998,3
"Pathogenic","Glucose","D-Xylose",28,0.622,27.885,2.2518538686704,5.07084584584585,0.114999999999998,3
"Pathogenic","Glucose","DL-Lactate",40,0.358,41.633,3.19789579841769,10.2265375375375,-1.633,3
"Pathogenic","Glucose","Erythritol",62,0.595,61.904,2.40011344409895,5.76054454454454,0.0959999999999965,3
"Pathogenic","Glucose","Ethanol",11,0.5,11.518,1.93530912812951,3.74542142142142,-0.518000000000001,3
"Pathogenic","Glucose","Galactitol",73,0.557,73.294,1.7241045607899,2.97253653653654,-0.293999999999997,3
"Pathogenic","Glucose","Galactose",28,0.509,28.558,2.5165390855238,6.33296896896897,-0.558,3
"Pathogenic","Glucose","Glycerol",10,0.515,10.514,1.57933476448101,2.4942982982983,-0.513999999999999,3
"Pathogenic","Glucose","Growth at 19°C",5,0.903,4.785,0.692281918191032,0.479254254254254,0.215,3
"Pathogenic","Glucose","Growth at 25°C",0,0.734,0.299,0.52714028197139,0.277876876876877,-0.299,3
"Pathogenic","Glucose","Growth at 30°C",3,0.197,5.139,1.81685992304855,3.30097997997998,-2.139,3
"Pathogenic","Glucose","Growth at 37°C",24,0.004,32.413,3.24945995359075,10.55898998999,-8.413,3
