"Isolation","Trait_A","Trait_B","Observed_PP","Percent_PP","Mean_PP","SD_PP","Var_PP","Difference","Color"
"Pathogenic","2-Keto-D-gluconate","Growth at 25°C",46,0.696,45.054,2.8076621888979,7.88296696696697,0.945999999999998,3
"Pathogenic","2-Keto-D-gluconate","Growth at 37°C",32,0.753,30.533,2.89988281148055,8.40932032032032,1.467,3
"Pathogenic","Cellobiose","Growth at 25°C",53,0.366,54.462,2.72506550049388,7.42598198198198,-1.462,3
"Pathogenic","Cellobiose","Growth at 37°C",37,0.67,36.247,2.93472376955713,8.6126036036036,0.753,3
"Pathogenic","Citrate","Growth at 25°C",66,0.902,63.299,2.54323948283819,6.46806706706707,2.701,3
"Pathogenic","Citrate","Growth at 37°C",48,0.964,42.706,3.11436402227859,9.69926326326326,5.294,3
"Pathogenic","D-Arabinose","Growth at 25°C",29,0.472,29.684,2.4285884875874,5.89804204204204,-0.684000000000001,3
"Pathogenic","D-Arabinose","Growth at 37°C",22,0.63,21.713,2.43979170905706,5.95258358358358,0.286999999999999,3
"Pathogenic","D-Glucitol","Growth at 25°C",70,0.573,70.144,1.98423819164968,3.9372012012012,-0.144000000000005,3
"Pathogenic","D-Glucitol","Growth at 37°C",49,0.883,45.951,2.94945728877336,8.6992982982983,3.049,3
"Pathogenic","D-Gluconate","Growth at 25°C",63,0.912,59.809,2.76553198628531,7.64816716716717,3.191,3
"Pathogenic","D-Gluconate","Growth at 37°C",43,0.917,39.115,3.15146104318405,9.93170670670671,3.885,3
"Pathogenic","D-Glucosamine","Growth at 25°C",38,0.602,37.86,2.65168464026766,7.03143143143143,0.140000000000001,3
"Pathogenic","D-Glucosamine","Growth at 37°C",27,0.679,26.269,2.68586165929164,7.21385285285285,0.731000000000002,3
"Pathogenic","D-Mannitol","Growth at 25°C",67,0.346,68.29,2.00197600083215,4.00790790790791,-1.29000000000001,3
"Pathogenic","D-Mannitol","Growth at 37°C",49,0.892,45.93,2.88399331091759,8.31741741741742,3.07,3
"Pathogenic","D-Ribose","Growth at 25°C",42,0.609,41.792,2.40385409592898,5.77851451451451,0.207999999999998,3
"Pathogenic","D-Ribose","Growth at 37°C",30,0.645,29.51,2.59473170725465,6.73263263263263,0.489999999999998,3
"Pathogenic","D-Xylose","Growth at 25°C",62,0.587,61.972,2.26502678711452,5.13034634634635,0.0279999999999987,3
"Pathogenic","D-Xylose","Growth at 37°C",46,0.911,42.776,2.81135691930565,7.90372772772773,3.224,3
"Pathogenic","DL-Lactate","Growth at 25°C",50,0.773,48.213,3.23141966836143,10.4420730730731,1.787,3
"Pathogenic","DL-Lactate","Growth at 37°C",39,0.987,32.866,3.0853789983669,9.51956356356356,6.134,3
"Pathogenic","Erythritol","Growth at 25°C",28,0.575,28.04,2.40711324914184,5.79419419419419,-0.0399999999999991,3
"Pathogenic","Erythritol","Growth at 37°C",17,0.347,18.487,2.41073487605805,5.81164264264264,-1.487,3
"Pathogenic","Ethanol","Growth at 25°C",79,0.728,78.237,2.01715143206947,4.0688998998999,0.763000000000005,3
"Pathogenic","Ethanol","Growth at 37°C",59,0.992,51.591,3.28245235966853,10.7744934934935,7.409,3
"Pathogenic","Galactitol","Growth at 25°C",17,0.704,16.679,1.73232790197467,3.00095995995996,0.321000000000002,3
"Pathogenic","Galactitol","Growth at 37°C",12,0.534,12.371,1.78901077681482,3.20055955955956,-0.371,3
"Pathogenic","Galactose","Growth at 25°C",62,0.658,61.289,2.53454195130065,6.4239029029029,0.710999999999999,3
"Pathogenic","Galactose","Growth at 37°C",44,0.877,40.948,3.06997080128146,9.42472072072072,3.052,3
"Pathogenic","Galactose_F","Glucose",31,0.449,31.907,2.47557659535703,6.12847947947948,-0.907,3
"Pathogenic","Galactose_F","Growth at 25°C",31,0.457,31.842,2.48781535191526,6.18922522522523,-0.841999999999999,3
"Pathogenic","Galactose_F","Growth at 37°C",27,0.859,24.883,2.40979628145578,5.80711811811812,2.117,3
"Pathogenic","Glucose","2-Keto-D-gluconate",46,0.676,45.175,2.8043250951413,7.86423923923924,0.825000000000003,3
"Pathogenic","Glucose","Cellobiose",53,0.344,54.616,2.70293356371366,7.30584984984985,-1.616,3
"Pathogenic","Glucose","Citrate",66,0.888,63.476,2.5345310903297,6.42384784784785,2.524,3
"Pathogenic","Glucose","D-Arabinose",29,0.459,29.737,2.42481147941664,5.87971071071071,-0.736999999999998,3
"Pathogenic","Glucose","D-Glucitol",70,0.541,70.325,1.95683525218762,3.8292042042042,-0.325000000000003,3
"Pathogenic","Glucose","D-Gluconate",63,0.895,59.971,2.75313253199673,7.57973873873874,3.029,3
"Pathogenic","Glucose","D-Glucosamine",38,0.59,37.953,2.65062574061613,7.02581681681682,0.046999999999997,3
"Pathogenic","Glucose","D-Mannitol",67,0.314,68.449,1.96348013849243,3.85525425425425,-1.449,3
"Pathogenic","Glucose","D-Ribose",42,0.593,41.871,2.39250560774329,5.72408308308308,0.128999999999998,3
"Pathogenic","Glucose","D-Xylose",62,0.559,62.115,2.2518538686704,5.07084584584585,-0.115000000000002,3
"Pathogenic","Glucose","DL-Lactate",50,0.759,48.367,3.19789579841769,10.2265375375375,1.633,3
"Pathogenic","Glucose","Erythritol",28,0.565,28.096,2.40011344409895,5.76054454454454,-0.0960000000000001,3
"Pathogenic","Glucose","Ethanol",79,0.696,78.482,1.93530912812951,3.74542142142142,0.518000000000001,3
"Pathogenic","Glucose","Galactitol",17,0.697,16.706,1.7241045607899,2.97253653653654,0.294,3
"Pathogenic","Glucose","Galactose",62,0.636,61.442,2.5165390855238,6.33296896896897,0.558,3
"Pathogenic","Glucose","Glycerol",80,0.749,79.486,1.57933476448101,2.4942982982983,0.513999999999996,3
"Pathogenic","Glucose","Growth at 19°C",85,0.724,85.215,0.692281918191032,0.479254254254254,-0.215000000000003,3
"Pathogenic","Glucose","Growth at 25°C",90,1,89.701,0.52714028197139,0.277876876876877,0.299000000000007,1
"Pathogenic","Glucose","Growth at 30°C",87,0.94,84.861,1.81685992304855,3.30097997997998,2.139,3
"Pathogenic","Glucose","Growth at 37°C",66,1,57.587,3.24945995359075,10.55898998999,8.413,1
"Pathogenic","Glucose","Inulin",11,0.281,12.748,2.04025945866173,4.16265865865866,-1.748,3
"Pathogenic","Glucose","L-Arabinose",41,0.757,39.806,2.36980589500068,5.61597997997998,1.194,3
"Pathogenic","Glucose","L-Rhamnose",28,0.756,26.895,2.33911232018611,5.47144644644645,1.105,3
"Pathogenic","Glucose","L-Sorbose",52,0.618,51.566,2.77981498869464,7.72737137137137,0.433999999999997,3
"Pathogenic","Glucose","Lactose",13,0.499,13.533,1.69463352462495,2.87178278278278,-0.532999999999999,3
"Pathogenic","Glucose","Maltose",49,0.431,49.878,2.37544916989582,5.64275875875876,-0.878,3
"Pathogenic","Glucose","Melezitose",44,0.552,44.288,2.36106557101463,5.57463063063063,-0.287999999999997,3
"Pathogenic","Glucose","Melibiose",14,0.465,14.676,1.8011852398541,3.24426826826827,-0.676,3
"Pathogenic","Glucose","Methanol",5,0.415,5.972,1.81893499733347,3.30852452452452,-0.972,3
"Pathogenic","Glucose","Methyl-?-D-glucoside",44,0.512,44.399,2.31498556327208,5.35915815815816,-0.399000000000001,3
"Pathogenic","Glucose","myo-Inositol",9,0.54,9.375,1.60216788818836,2.56694194194194,-0.375,3
"Pathogenic","Glucose","Nitrate",11,0.136,13.97,2.34746897969081,5.51061061061061,-2.97,3
"Pathogenic","Glucose","Raffinose",32,0.555,32.219,2.46639861379342,6.08312212212212,-0.219000000000001,3
"Pathogenic","Glucose","Ribitol",55,0.53,55.292,2.40468678179062,5.78251851851852,-0.292000000000002,3
"Pathogenic","Glucose","Salicin",53,0.368,54.465,2.62100069527741,6.86964464464464,-1.465,3
"Pathogenic","Glucose","Soluble Starch",30,0.66,29.532,2.32989364658656,5.4284044044044,0.468,3
"Pathogenic","Glucose","Starch formation",6,0.21,8.552,2.42139611777156,5.86315915915916,-2.552,3
