"Isolation","Trait","Observed_NP","Percent_NP"
"Pathogenic","Glucose_F",539,0.506
"Pathogenic","Galactose_F",228,0.709
"Pathogenic","Sucrose_F",179,0.589
"Pathogenic","Maltose_F",143,0.722
"Pathogenic","Lactose_F",28,0.968
"Pathogenic","Raffinose_F",112,0.688
"Pathogenic","Trehalose_F",230,0.644
"Pathogenic","Glucose",741,1
"Pathogenic","Inulin",97,0.867
"Pathogenic","Sucrose",454,0.832
"Pathogenic","Raffinose",205,0.612
"Pathogenic","Melibiose",89,0.738
"Pathogenic","Galactose",479,0.509
"Pathogenic","Lactose",87,0.741
"Pathogenic","Trehalose",520,0.772
"Pathogenic","Maltose",419,0.73
"Pathogenic","Melezitose",339,0.634
"Pathogenic","Methyl-?-D-glucoside",344,0.637
"Pathogenic","Soluble Starch",166,0.504
"Pathogenic","Cellobiose",471,0.78
"Pathogenic","Salicin",464,0.789
"Pathogenic","L-Sorbose",385,0.506
"Pathogenic","L-Rhamnose",153,0.405
"Pathogenic","D-Xylose",516,0.622
"Pathogenic","L-Arabinose",247,0.378
"Pathogenic","D-Arabinose",218,0.709
"Pathogenic","D-Ribose",296,0.562
"Pathogenic","Methanol",62,0.791
"Pathogenic","Ethanol",621,0.5
"Pathogenic","Glycerol",657,0.515
"Pathogenic","Erythritol",192,0.595
"Pathogenic","Ribitol",446,0.626
"Pathogenic","Galactitol",83,0.557
"Pathogenic","D-Mannitol",605,0.845
"Pathogenic","D-Glucitol",589,0.67
"Pathogenic","myo-Inositol",66,0.707
"Pathogenic","DL-Lactate",331,0.358
"Pathogenic","Succinate",613,0.345
"Pathogenic","Citrate",447,0.212
"Pathogenic","D-Gluconate",396,0.184
"Pathogenic","D-Glucosamine",276,0.562
"Pathogenic","Nitrate",133,0.946
"Pathogenic","Vitamin-free",142,0.728
"Pathogenic","2-Keto-D-gluconate",321,0.443
"Pathogenic","Starch formation",101,0.904
"Pathogenic","Growth at 19°C",735,0.903
"Pathogenic","Growth at 25°C",732,0.734
"Pathogenic","Growth at 30°C",645,0.197
"Pathogenic","Growth at 37°C",279,0.004
"Clinical","Glucose_F",597,0.625
"Clinical","Galactose_F",253,0.714
"Clinical","Sucrose_F",202,0.511
"Clinical","Maltose_F",160,0.635
"Clinical","Lactose_F",29,1
"Clinical","Raffinose_F",129,0.792
"Clinical","Trehalose_F",255,0.658
"Clinical","Glucose",820,1
"Clinical","Inulin",107,0.967
"Clinical","Sucrose",494,0.697
"Clinical","Raffinose",232,0.723
"Clinical","Melibiose",101,0.869
"Clinical","Galactose",532,0.748
"Clinical","Lactose",99,0.926
"Clinical","Trehalose",569,0.797
"Clinical","Maltose",459,0.678
"Clinical","Melezitose",374,0.53
"Clinical","Methyl-?-D-glucoside",380,0.653
"Clinical","Soluble Starch",192,0.746
"Clinical","Cellobiose",517,0.865
"Clinical","Salicin",510,0.848
"Clinical","L-Sorbose",431,0.867
"Clinical","L-Rhamnose",177,0.739
"Clinical","D-Xylose",569,0.807
"Clinical","L-Arabinose",283,0.78
"Clinical","D-Arabinose",244,0.907
"Clinical","D-Ribose",331,0.73
"Clinical","Methanol",67,1
"Clinical","Ethanol",690,0.831
"Clinical","Glycerol",726,0.842
"Clinical","Erythritol",218,0.936
"Clinical","Ribitol",492,0.713
"Clinical","Galactitol",98,0.877
"Clinical","D-Mannitol",662,0.832
"Clinical","D-Glucitol",649,0.826
"Clinical","myo-Inositol",75,1
"Clinical","DL-Lactate",374,0.684
"Clinical","Succinate",681,0.747
"Clinical","Citrate",502,0.432
"Clinical","D-Gluconate",449,0.495
"Clinical","D-Glucosamine",307,0.626
"Clinical","Nitrate",142,0.862
"Clinical","Vitamin-free",158,0.798
"Clinical","2-Keto-D-gluconate",360,0.693
"Clinical","Starch formation",107,1
"Clinical","Growth at 19°C",809,0.985
"Clinical","Growth at 25°C",811,0.975
"Clinical","Growth at 30°C",721,0.755
"Clinical","Growth at 37°C",335,0.342
"Rotting.Decaying","Glucose_F",538,0.613
"Rotting.Decaying","Galactose_F",230,0.742
"Rotting.Decaying","Sucrose_F",191,0.85
"Rotting.Decaying","Maltose_F",148,0.828
"Rotting.Decaying","Lactose_F",28,0.933
"Rotting.Decaying","Raffinose_F",121,0.838
"Rotting.Decaying","Trehalose_F",226,0.474
"Rotting.Decaying","Glucose",733,1
"Rotting.Decaying","Inulin",102,0.896
"Rotting.Decaying","Sucrose",451,0.851
"Rotting.Decaying","Raffinose",216,0.869
"Rotting.Decaying","Melibiose",93,0.66
"Rotting.Decaying","Galactose",482,0.768
"Rotting.Decaying","Lactose",85,0.494
"Rotting.Decaying","Trehalose",511,0.68
"Rotting.Decaying","Maltose",418,0.788
"Rotting.Decaying","Melezitose",343,0.78
"Rotting.Decaying","Methyl-?-D-glucoside",343,0.671
"Rotting.Decaying","Soluble Starch",174,0.709
"Rotting.Decaying","Cellobiose",457,0.387
"Rotting.Decaying","Salicin",450,0.351
"Rotting.Decaying","L-Sorbose",380,0.358
"Rotting.Decaying","L-Rhamnose",154,0.316
"Rotting.Decaying","D-Xylose",500,0.21
