"Isolation","Trait","Observed_PN","Percent_PN"
"Pathogenic","Glucose_F",22,0.506
"Pathogenic","Galactose_F",59,0.709
"Pathogenic","Sucrose_F",60,0.589
"Pathogenic","Maltose_F",68,0.722
"Pathogenic","Lactose_F",89,0.968
"Pathogenic","Raffinose_F",70,0.688
"Pathogenic","Trehalose_F",59,0.644
"Pathogenic","Glucose",0,1
"Pathogenic","Inulin",79,0.867
"Pathogenic","Sucrose",41,0.832
"Pathogenic","Raffinose",58,0.612
"Pathogenic","Melibiose",76,0.738
"Pathogenic","Galactose",28,0.509
"Pathogenic","Lactose",77,0.741
"Pathogenic","Trehalose",32,0.772
"Pathogenic","Maltose",41,0.73
"Pathogenic","Melezitose",46,0.634
"Pathogenic","Methyl-?-D-glucoside",46,0.637
"Pathogenic","Soluble Starch",60,0.504
"Pathogenic","Cellobiose",37,0.78
"Pathogenic","Salicin",37,0.789
"Pathogenic","L-Sorbose",38,0.506
"Pathogenic","L-Rhamnose",62,0.405
"Pathogenic","D-Xylose",28,0.622
"Pathogenic","L-Arabinose",49,0.378
"Pathogenic","D-Arabinose",61,0.709
"Pathogenic","D-Ribose",48,0.562
"Pathogenic","Methanol",85,0.791
"Pathogenic","Ethanol",11,0.5
"Pathogenic","Glycerol",10,0.515
"Pathogenic","Erythritol",62,0.595
"Pathogenic","Ribitol",35,0.626
"Pathogenic","Galactitol",73,0.557
"Pathogenic","D-Mannitol",23,0.845
"Pathogenic","D-Glucitol",20,0.67
"Pathogenic","myo-Inositol",81,0.707
"Pathogenic","DL-Lactate",40,0.358
"Pathogenic","Succinate",11,0.345
"Pathogenic","Citrate",24,0.212
"Pathogenic","D-Gluconate",27,0.184
"Pathogenic","D-Glucosamine",52,0.562
"Pathogenic","Nitrate",79,0.946
"Pathogenic","Vitamin-free",71,0.728
"Pathogenic","2-Keto-D-gluconate",44,0.443
"Pathogenic","Starch formation",84,0.904
"Pathogenic","Growth at 19°C",5,0.903
"Pathogenic","Growth at 25°C",0,0.734
"Pathogenic","Growth at 30°C",3,0.197
"Pathogenic","Growth at 37°C",24,0.004
"Clinical","Glucose_F",1,0.625
"Clinical","Galactose_F",5,0.714
"Clinical","Sucrose_F",4,0.511
"Clinical","Maltose_F",6,0.635
"Clinical","Lactose_F",11,1
"Clinical","Raffinose_F",8,0.792
"Clinical","Trehalose_F",5,0.658
"Clinical","Glucose",0,1
"Clinical","Inulin",10,0.967
"Clinical","Sucrose",2,0.697
"Clinical","Raffinose",6,0.723
"Clinical","Melibiose",9,0.869
"Clinical","Galactose",2,0.748
"Clinical","Lactose",10,0.926
"Clinical","Trehalose",2,0.797
"Clinical","Maltose",2,0.678
"Clinical","Melezitose",2,0.53
"Clinical","Methyl-?-D-glucoside",3,0.653
"Clinical","Soluble Starch",7,0.746
"Clinical","Cellobiose",4,0.865
"Clinical","Salicin",4,0.848
"Clinical","L-Sorbose",5,0.867
"Clinical","L-Rhamnose",7,0.739
"Clinical","D-Xylose",2,0.807
"Clinical","L-Arabinose",6,0.78
"Clinical","D-Arabinose",8,0.907
"Clinical","D-Ribose",4,0.73
"Clinical","Methanol",11,1
"Clinical","Ethanol",1,0.831
"Clinical","Glycerol",0,0.842
"Clinical","Erythritol",9,0.936
"Clinical","Ribitol",2,0.713
"Clinical","Galactitol",9,0.877
"Clinical","D-Mannitol",1,0.832
"Clinical","D-Glucitol",1,0.826
"Clinical","myo-Inositol",11,1
"Clinical","DL-Lactate",4,0.684
"Clinical","Succinate",0,0.747
"Clinical","Citrate",0,0.432
"Clinical","D-Gluconate",1,0.495
"Clinical","D-Glucosamine",4,0.626
"Clinical","Nitrate",9,0.862
"Clinical","Vitamin-free",8,0.798
"Clinical","2-Keto-D-gluconate",4,0.693
"Clinical","Starch formation",11,1
"Clinical","Growth at 19°C",0,0.985
"Clinical","Growth at 25°C",0,0.975
"Clinical","Growth at 30°C",0,0.755
"Clinical","Growth at 37°C",1,0.342
"Rotting.Decaying","Glucose_F",29,0.613
"Rotting.Decaying","Galactose_F",69,0.742
"Rotting.Decaying","Sucrose_F",80,0.85
"Rotting.Decaying","Maltose_F",81,0.828
"Rotting.Decaying","Lactose_F",97,0.933
"Rotting.Decaying","Raffinose_F",87,0.838
"Rotting.Decaying","Trehalose_F",63,0.474
"Rotting.Decaying","Glucose",0,1
"Rotting.Decaying","Inulin",92,0.896
"Rotting.Decaying","Sucrose",46,0.851
"Rotting.Decaying","Raffinose",77,0.869
"Rotting.Decaying","Melibiose",88,0.66
"Rotting.Decaying","Galactose",39,0.768
"Rotting.Decaying","Lactose",83,0.494
"Rotting.Decaying","Trehalose",31,0.68
"Rotting.Decaying","Maltose",48,0.788
"Rotting.Decaying","Melezitose",58,0.78
"Rotting.Decaying","Methyl-?-D-glucoside",53,0.671
"Rotting.Decaying","Soluble Starch",76,0.709
"Rotting.Decaying","Cellobiose",31,0.387
"Rotting.Decaying","Salicin",31,0.351
"Rotting.Decaying","L-Sorbose",41,0.358
"Rotting.Decaying","L-Rhamnose",71,0.316
"Rotting.Decaying","D-Xylose",20,0.21
"Rotting.Decaying","L-Arabinose",59,0.412
"Rotting.Decaying","D-Arabinose",59,0.218
"Rotting.Decaying","D-Ribose",58,0.619
"Rotting.Decaying","Methanol",84,0.235
"Rotting.Decaying","Ethanol",7,0.2
"Rotting.Decaying","Glycerol",9,0.577
"Rotting.Decaying","Erythritol",70,0.511
"Rotting.Decaying","Ribitol",40,0.593
"Rotting.Decaying","Galactitol",86,0.644
"Rotting.Decaying","D-Mannitol",21,0.656
"Rotting.Decaying","D-Glucitol",26,0.751
"Rotting.Decaying","myo-Inositol",86,0.471
"Rotting.Decaying","DL-Lactate",46,0.361
"Rotting.Decaying","Succinate",8,0.217
"Rotting.Decaying","Citrate",30,0.288
"Rotting.Decaying","D-Gluconate",51,0.829
"Rotting.Decaying","D-Glucosamine",52,0.25
"Rotting.Decaying","Nitrate",84,0.845
"Rotting.Decaying","Vitamin-free",80,0.712
"Rotting.Decaying","2-Keto-D-gluconate",54,0.536
"Rotting.Decaying","Starch formation",90,0.866
"Rotting.Decaying","Growth at 19°C",1,0.924
"Rotting.Decaying","Growth at 25°C",1,0.855
"Rotting.Decaying","Growth at 30°C",8,0.372
"Rotting.Decaying","Growth at 37°C",47,0.212
"Spoiled","Glucose_F",5,0.655
"Spoiled","Galactose_F",15,0.904
"Spoiled","Sucrose_F",12,0.536
"Spoiled","Maltose_F",16,0.894
"Spoiled","Lactose_F",16,0.756
"Spoiled","Raffinose_F",14,0.769
"Spoiled","Trehalose_F",13,0.789
"Spoiled","Glucose",0,1
"Spoiled","Inulin",16,0.901
"Spoiled","Sucrose",8,0.714
"Spoiled","Raffinose",11,0.561
"Spoiled","Melibiose",13,0.646
"Spoiled","Galactose",6,0.523
"Spoiled","Lactose",13,0.607
"Spoiled","Trehalose",9,0.864
"Spoiled","Maltose",10,0.833
"Spoiled","Melezitose",11,0.807
"Spoiled","Methyl-?-D-glucoside",10,0.722
"Spoiled","Soluble Starch",13,0.792
"Spoiled","Cellobiose",8,0.678
"Spoiled","Salicin",8,0.667
"Spoiled","L-Sorbose",7,0.465
"Spoiled","L-Rhamnose",15,0.874
"Spoiled","D-Xylose",8,0.822
"Spoiled","L-Arabinose",10,0.592
"Spoiled","D-Arabinose",11,0.637
"Spoiled","D-Ribose",11,0.759
"Spoiled","Methanol",16,0.898
"Spoiled","Ethanol",2,0.561
"Spoiled","Glycerol",2,0.69
"Spoiled","Erythritol",12,0.735
"Spoiled","Ribitol",7,0.602
"Spoiled","Galactitol",12,0.578
"Spoiled","D-Mannitol",6,0.844
"Spoiled","D-Glucitol",6,0.839
"Spoiled","myo-Inositol",16,0.868
"Spoiled","DL-Lactate",7,0.305
"Spoiled","Succinate",4,0.704
"Spoiled","Citrate",9,0.777
"Spoiled","D-Gluconate",10,0.763
"Spoiled","D-Glucosamine",12,0.706
"Spoiled","Nitrate",15,0.829
"Spoiled","Vitamin-free",16,0.87
"Spoiled","2-Keto-D-gluconate",12,0.807
"Spoiled","Starch formation",17,1
"Spoiled","Growth at 19°C",0,0.962
"Spoiled","Growth at 25°C",0,0.935
"Spoiled","Growth at 30°C",2,0.593
"Spoiled","Growth at 37°C",5,0.158
"Contaminated","Glucose_F",0,0.879
"Contaminated","Galactose_F",0,0.716
"Contaminated","Sucrose_F",1,0.915
"Contaminated","Maltose_F",1,0.894
"Contaminated","Lactose_F",2,1
"Contaminated","Raffinose_F",2,1
"Contaminated","Trehalose_F",0,0.722
"Contaminated","Glucose",0,1
"Contaminated","Inulin",2,1
"Contaminated","Sucrose",1,0.975
"Contaminated","Raffinose",1,0.923
"Contaminated","Melibiose",2,1
"Contaminated","Galactose",0,0.882
"Contaminated","Lactose",2,1
"Contaminated","Trehalose",0,0.916
"Contaminated","Maltose",0,0.849
"Contaminated","Melezitose",1,0.946
