"Isolation","Trait","Observed_PP","Percent_PP"
"Pathogenic","Glucose_F",68,0.634
"Pathogenic","Galactose_F",31,0.449
"Pathogenic","Sucrose_F",30,0.582
"Pathogenic","Maltose_F",22,0.468
"Pathogenic","Lactose_F",1,0.342
"Pathogenic","Raffinose_F",20,0.511
"Pathogenic","Trehalose_F",31,0.519
"Pathogenic","Glucose",90,1
"Pathogenic","Inulin",11,0.281
"Pathogenic","Sucrose",49,0.283
"Pathogenic","Raffinose",32,0.555
"Pathogenic","Melibiose",14,0.465
"Pathogenic","Galactose",62,0.636
"Pathogenic","Lactose",13,0.499
"Pathogenic","Trehalose",58,0.398
"Pathogenic","Maltose",49,0.431
"Pathogenic","Melezitose",44,0.552
"Pathogenic","Methyl-?-D-glucoside",44,0.512
"Pathogenic","Soluble Starch",30,0.66
"Pathogenic","Cellobiose",53,0.344
"Pathogenic","Salicin",53,0.368
"Pathogenic","L-Sorbose",52,0.618
"Pathogenic","L-Rhamnose",28,0.756
"Pathogenic","D-Xylose",62,0.559
"Pathogenic","L-Arabinose",41,0.757
"Pathogenic","D-Arabinose",29,0.459
"Pathogenic","D-Ribose",42,0.593
"Pathogenic","Methanol",5,0.415
"Pathogenic","Ethanol",79,0.696
"Pathogenic","Glycerol",80,0.749
"Pathogenic","Erythritol",28,0.565
"Pathogenic","Ribitol",55,0.53
"Pathogenic","Galactitol",17,0.697
"Pathogenic","D-Mannitol",67,0.314
"Pathogenic","D-Glucitol",70,0.541
"Pathogenic","myo-Inositol",9,0.54
"Pathogenic","DL-Lactate",50,0.759
"Pathogenic","Succinate",79,0.832
"Pathogenic","Citrate",66,0.888
"Pathogenic","D-Gluconate",63,0.895
"Pathogenic","D-Glucosamine",38,0.59
"Pathogenic","Nitrate",11,0.136
"Pathogenic","Vitamin-free",19,0.415
"Pathogenic","2-Keto-D-gluconate",46,0.676
"Pathogenic","Starch formation",6,0.21
"Pathogenic","Growth at 19°C",85,0.724
"Pathogenic","Growth at 25°C",90,1
"Pathogenic","Growth at 30°C",87,0.94
"Pathogenic","Growth at 37°C",66,1
"Clinical","Glucose_F",10,0.908
"Clinical","Galactose_F",6,0.775
"Clinical","Sucrose_F",7,0.884
"Clinical","Maltose_F",5,0.829
"Clinical","Lactose_F",0,0.809
"Clinical","Raffinose_F",3,0.731
"Clinical","Trehalose_F",6,0.784
"Clinical","Glucose",11,1
"Clinical","Inulin",1,0.606
"Clinical","Sucrose",9,0.896
"Clinical","Raffinose",5,0.714
"Clinical","Melibiose",2,0.749
"Clinical","Galactose",9,0.758
"Clinical","Lactose",1,0.715
"Clinical","Trehalose",9,0.819
"Clinical","Maltose",9,0.912
"Clinical","Melezitose",9,0.941
"Clinical","Methyl-?-D-glucoside",8,0.858
"Clinical","Soluble Starch",4,0.68
"Clinical","Cellobiose",7,0.551
"Clinical","Salicin",7,0.546
"Clinical","L-Sorbose",6,0.482
"Clinical","L-Rhamnose",4,0.737
"Clinical","D-Xylose",9,0.757
"Clinical","L-Arabinose",5,0.64
"Clinical","D-Arabinose",3,0.503
"Clinical","D-Ribose",7,0.772
"Clinical","Methanol",0,0.629
"Clinical","Ethanol",10,0.742
"Clinical","Glycerol",11,1
"Clinical","Erythritol",2,0.483
"Clinical","Ribitol",9,0.804
"Clinical","Galactitol",2,0.765
"Clinical","D-Mannitol",10,0.885
"Clinical","D-Glucitol",10,0.909
"Clinical","myo-Inositol",0,0.7
"Clinical","DL-Lactate",7,0.664
"Clinical","Succinate",11,1
"Clinical","Citrate",11,1
"Clinical","D-Gluconate",10,0.969
"Clinical","D-Glucosamine",7,0.797
"Clinical","Nitrate",2,0.569
"Clinical","Vitamin-free",3,0.622
"Clinical","2-Keto-D-gluconate",7,0.741
"Clinical","Starch formation",0,0.402
"Clinical","Growth at 19°C",11,1
"Clinical","Growth at 25°C",11,1
"Clinical","Growth at 30°C",11,1
"Clinical","Growth at 37°C",10,0.949
"Rotting.Decaying","Glucose_F",69,0.503
"Rotting.Decaying","Galactose_F",29,0.385
"Rotting.Decaying","Sucrose_F",18,0.274
"Rotting.Decaying","Maltose_F",17,0.328
"Rotting.Decaying","Lactose_F",1,0.377
"Rotting.Decaying","Raffinose_F",11,0.287
"Rotting.Decaying","Trehalose_F",35,0.685
"Rotting.Decaying","Glucose",98,1
"Rotting.Decaying","Inulin",6,0.246
"Rotting.Decaying","Sucrose",52,0.24
"Rotting.Decaying","Raffinose",21,0.215
"Rotting.Decaying","Melibiose",10,0.554
"Rotting.Decaying","Galactose",59,0.357
"Rotting.Decaying","Lactose",15,0.72
