"Isolation","Trait_A","Trait_B","Observed_NN","Percent_NN"
"0","0","0",0,0
"Pathogenic","Glucose","Growth at 25°C",0,1
"Pathogenic","Glucose","Growth at 37°C",0,1
"Pathogenic","Growth at 25°C","Growth at 37°C",0,0.882
"Clinical","Glucose","Glycerol",0,1
"Clinical","Glucose","Succinate",0,1
"Clinical","Glucose","Citrate",0,1
"Clinical","Glucose","Growth at 19°C",0,1
"Clinical","Glucose","Growth at 25°C",0,1
"Clinical","Glucose","Growth at 30°C",0,1
"Clinical","Glycerol","Succinate",0,0.992
"Clinical","Glycerol","Citrate",0,0.982
"Clinical","Glycerol","Growth at 19°C",0,1
"Clinical","Glycerol","Growth at 25°C",0,1
"Clinical","Glycerol","Growth at 30°C",0,0.993
"Clinical","Succinate","Citrate",0,0.966
"Clinical","Succinate","Growth at 19°C",0,1
"Clinical","Succinate","Growth at 25°C",0,0.999
"Clinical","Succinate","Growth at 30°C",0,0.992
"Clinical","Citrate","Growth at 19°C",0,0.999
"Clinical","Citrate","Growth at 25°C",0,0.999
"Clinical","Citrate","Growth at 30°C",0,0.98
"Clinical","Growth at 19°C","Growth at 25°C",0,1
"Clinical","Growth at 19°C","Growth at 30°C",0,0.999
"Clinical","Growth at 25°C","Growth at 30°C",0,0.997
"Rotting.Decaying","Glucose","Ethanol",3,1
"Spoiled","Glucose","Growth at 19°C",0,1
"Spoiled","Glucose","Growth at 25°C",0,1
"Spoiled","Growth at 19°C","Growth at 25°C",0,1
"Contaminated","Glucose_F","Galactose_F",0,0.973
"Contaminated","Glucose_F","Trehalose_F",0,0.975
"Contaminated","Glucose_F","Glucose",0,1
"Contaminated","Glucose_F","Galactose",0,0.991
"Contaminated","Glucose_F","Trehalose",0,0.992
"Contaminated","Glucose_F","Maltose",0,0.986
"Contaminated","Glucose_F","Soluble Starch",0,0.976
"Contaminated","Glucose_F","Cellobiose",0,0.994
"Contaminated","Glucose_F","Salicin",0,0.992
"Contaminated","Glucose_F","D-Xylose",0,0.992
"Contaminated","Glucose_F","D-Arabinose",0,0.975
"Contaminated","Glucose_F","Ethanol",0,0.998
"Contaminated","Glucose_F","Ribitol",0,0.989
"Contaminated","Glucose_F","D-Mannitol",0,0.998
"Contaminated","Glucose_F","D-Glucitol",0,0.995
"Contaminated","Glucose_F","DL-Lactate",0,0.984
"Contaminated","Glucose_F","Succinate",0,0.997
"Contaminated","Glucose_F","D-Glucosamine",0,0.989
"Contaminated","Glucose_F","Growth at 19°C",0,0.999
"Contaminated","Glucose_F","Growth at 25°C",0,1
"Contaminated","Glucose_F","Growth at 30°C",0,0.998
"Contaminated","Galactose_F","Trehalose_F",0,0.954
"Contaminated","Galactose_F","Glucose",0,1
"Contaminated","Galactose_F","Galactose",0,0.974
