"Isolation","Trait_A","Trait_B","Observed_NP","Percent_NP"
"0","0","0",0,0
"Pathogenic","Lactose_F","Glucose",89,1
"Clinical","Lactose_F","Glucose",89,1
"Clinical","Lactose_F","Methanol",5,1
"Clinical","Lactose_F","myo-Inositol",9,1
"Clinical","Lactose_F","Starch formation",6,1
"Clinical","Glucose","Methanol",0,0.629
"Clinical","Glucose","myo-Inositol",0,0.7
"Clinical","Glucose","Starch formation",0,0.402
"Clinical","Methanol","myo-Inositol",9,1
"Clinical","Methanol","Starch formation",5,1
"Clinical","myo-Inositol","Starch formation",6,1
"Rotting.Decaying","Lactose_F","Glucose",89,1
"Spoiled","Glucose","Starch formation",0,0.399
"Contaminated","Lactose_F","Raffinose_F",19,1
"Contaminated","Lactose_F","Glucose",89,1
"Contaminated","Lactose_F","Inulin",11,1
"Contaminated","Lactose_F","Melibiose",13,1
"Contaminated","Lactose_F","Lactose",12,1
"Contaminated","Lactose_F","Methyl-?-D-glucoside",43,1
"Contaminated","Lactose_F","Methanol",5,1
"Contaminated","Lactose_F","Erythritol",27,1
"Contaminated","Lactose_F","Nitrate",11,1
"Contaminated","Lactose_F","Vitamin-free",18,1
"Contaminated","Lactose_F","Starch formation",6,1
"Contaminated","Lactose_F","Growth at 37°C",66,1
"Contaminated","Raffinose_F","Glucose",70,1
"Contaminated","Raffinose_F","Inulin",1,1
"Contaminated","Raffinose_F","Melibiose",6,1
"Contaminated","Raffinose_F","Lactose",6,1
"Contaminated","Raffinose_F","Methyl-?-D-glucoside",25,1
"Contaminated","Raffinose_F","Methanol",4,1
"Contaminated","Raffinose_F","Erythritol",20,1
"Contaminated","Raffinose_F","Nitrate",6,1
"Contaminated","Raffinose_F","Vitamin-free",12,1
"Contaminated","Raffinose_F","Starch formation",6,1
"Contaminated","Raffinose_F","Growth at 37°C",49,1
"Contaminated","Glucose","Inulin",0,0.895
"Contaminated","Glucose","Melibiose",0,0.914
"Contaminated","Glucose","Lactose",0,0.909
"Contaminated","Glucose","Methyl-?-D-glucoside",0,0.668
"Contaminated","Glucose","Methanol",0,0.888
"Contaminated","Glucose","Erythritol",0,0.834
"Contaminated","Glucose","Nitrate",0,0.81
"Contaminated","Glucose","Vitamin-free",0,0.809
"Contaminated","Glucose","Starch formation",0,0.849
"Contaminated","Glucose","Growth at 37°C",0,0.603
"Contaminated","Inulin","Melibiose",8,1
"Contaminated","Inulin","Lactose",9,1
"Contaminated","Inulin","Methyl-?-D-glucoside",33,1
"Contaminated","Inulin","Methanol",5,1
"Contaminated","Inulin","Erythritol",24,1
"Contaminated","Inulin","Nitrate",10,1
"Contaminated","Inulin","Vitamin-free",15,1
"Contaminated","Inulin","Starch formation",6,1
"Contaminated","Inulin","Growth at 37°C",57,1
"Contaminated","Melibiose","Lactose",6,1
"Contaminated","Melibiose","Methyl-?-D-glucoside",31,1
"Contaminated","Melibiose","Methanol",5,1
"Contaminated","Melibiose","Erythritol",17,1
"Contaminated","Melibiose","Nitrate",10,1
"Contaminated","Melibiose","Vitamin-free",17,1
"Contaminated","Melibiose","Starch formation",6,1
"Contaminated","Melibiose","Growth at 37°C",57,1
"Contaminated","Lactose","Methyl-?-D-glucoside",32,1
"Contaminated","Lactose","Methanol",5,1
"Contaminated","Lactose","Erythritol",18,1
"Contaminated","Lactose","Nitrate",10,1
"Contaminated","Lactose","Vitamin-free",15,1
"Contaminated","Lactose","Starch formation",5,1
"Contaminated","Lactose","Growth at 37°C",58,1
"Contaminated","Methyl-?-D-glucoside","Methanol",3,1
"Contaminated","Methyl-?-D-glucoside","Erythritol",8,1
"Contaminated","Methyl-?-D-glucoside","Nitrate",3,1
"Contaminated","Methyl-?-D-glucoside","Vitamin-free",7,1
"Contaminated","Methyl-?-D-glucoside","Starch formation",5,1
"Contaminated","Methyl-?-D-glucoside","Growth at 37°C",29,1
"Contaminated","Methanol","Erythritol",25,1
"Contaminated","Methanol","Nitrate",9,1
"Contaminated","Methanol","Vitamin-free",18,1
"Contaminated","Methanol","Starch formation",5,1
"Contaminated","Methanol","Growth at 37°C",62,1
"Contaminated","Erythritol","Nitrate",6,1
"Contaminated","Erythritol","Vitamin-free",13,1
"Contaminated","Erythritol","Starch formation",6,1
"Contaminated","Erythritol","Growth at 37°C",49,1
"Contaminated","Nitrate","Vitamin-free",17,1
"Contaminated","Nitrate","Starch formation",6,1
"Contaminated","Nitrate","Growth at 37°C",57,1
"Contaminated","Vitamin-free","Starch formation",5,1
"Contaminated","Vitamin-free","Growth at 37°C",54,1
"Contaminated","Starch formation","Growth at 37°C",61,1
"Plant.Pathogen","Glucose","Methanol",0,0.464
"Plant.Pathogen","Glucose","myo-Inositol",0,0.535
"Plant.Pathogen","Methanol","myo-Inositol",9,1
"Animal","Lactose_F","Glucose",89,1
"Insect","Glucose","Starch formation",0,0
"Tree","Glucose","Galactose",0,0
"Stone.Chamber","Sucrose_F","Maltose_F",2,1
"Stone.Chamber","Sucrose_F","Lactose_F",0,0.995
"Stone.Chamber","Sucrose_F","Raffinose_F",0,0.978
"Stone.Chamber","Sucrose_F","Glucose",60,1
"Stone.Chamber","Sucrose_F","Raffinose",8,1
"Stone.Chamber","Sucrose_F","Melibiose",5,1
"Stone.Chamber","Sucrose_F","Soluble Starch",13,1
"Stone.Chamber","Sucrose_F","Methanol",4,1
"Stone.Chamber","Sucrose_F","Galactitol",9,1
"Stone.Chamber","Sucrose_F","myo-Inositol",5,1
"Stone.Chamber","Sucrose_F","Nitrate",5,1
"Stone.Chamber","Sucrose_F","Vitamin-free",8,1
"Stone.Chamber","Sucrose_F","Starch formation",6,1
"Stone.Chamber","Sucrose_F","Growth at 19°C",55,1
"Stone.Chamber","Maltose_F","Lactose_F",0,0.997
"Stone.Chamber","Maltose_F","Raffinose_F",8,1
"Stone.Chamber","Maltose_F","Glucose",68,1
"Stone.Chamber","Maltose_F","Raffinose",18,1
"Stone.Chamber","Maltose_F","Melibiose",8,1
"Stone.Chamber","Maltose_F","Soluble Starch",13,1
"Stone.Chamber","Maltose_F","Methanol",5,1
"Stone.Chamber","Maltose_F","Galactitol",11,1
"Stone.Chamber","Maltose_F","myo-Inositol",5,1
"Stone.Chamber","Maltose_F","Nitrate",8,1
"Stone.Chamber","Maltose_F","Vitamin-free",10,1
"Stone.Chamber","Maltose_F","Starch formation",6,1
"Stone.Chamber","Maltose_F","Growth at 19°C",63,1
"Stone.Chamber","Lactose_F","Raffinose_F",19,1
"Stone.Chamber","Lactose_F","Glucose",89,1
"Stone.Chamber","Lactose_F","Raffinose",31,1
"Stone.Chamber","Lactose_F","Melibiose",13,1
"Stone.Chamber","Lactose_F","Soluble Starch",29,1
"Stone.Chamber","Lactose_F","Methanol",5,1
"Stone.Chamber","Lactose_F","Galactitol",17,1
"Stone.Chamber","Lactose_F","myo-Inositol",9,1
"Stone.Chamber","Lactose_F","Nitrate",11,1
"Stone.Chamber","Lactose_F","Vitamin-free",18,1
"Stone.Chamber","Lactose_F","Starch formation",6,1
"Stone.Chamber","Lactose_F","Growth at 19°C",84,1
"Stone.Chamber","Raffinose_F","Glucose",70,1
"Stone.Chamber","Raffinose_F","Raffinose",12,1
"Stone.Chamber","Raffinose_F","Melibiose",6,1
"Stone.Chamber","Raffinose_F","Soluble Starch",19,1
"Stone.Chamber","Raffinose_F","Methanol",4,1
"Stone.Chamber","Raffinose_F","Galactitol",10,1
"Stone.Chamber","Raffinose_F","myo-Inositol",6,1
"Stone.Chamber","Raffinose_F","Nitrate",6,1
