"Isolation","Trait_A","Trait_B","Observed_PN","Percent_PN"
"0","0","0",0,0
"Pathogenic","Lactose_F","Glucose",0,1
"Clinical","Lactose_F","Glucose",0,1
"Clinical","Lactose_F","Methanol",0,0.815
"Clinical","Lactose_F","myo-Inositol",0,0.814
"Clinical","Lactose_F","Starch formation",0,0.824
"Clinical","Glucose","Methanol",11,1
"Clinical","Glucose","myo-Inositol",11,1
"Clinical","Glucose","Starch formation",11,1
"Clinical","Methanol","myo-Inositol",0,0.646
"Clinical","Methanol","Starch formation",0,0.661
"Clinical","myo-Inositol","Starch formation",0,0.73
"Rotting.Decaying","Lactose_F","Glucose",0,1
"Spoiled","Glucose","Starch formation",17,1
"Contaminated","Lactose_F","Raffinose_F",0,0.974
"Contaminated","Lactose_F","Glucose",0,1
"Contaminated","Lactose_F","Inulin",0,0.973
"Contaminated","Lactose_F","Melibiose",0,0.972
"Contaminated","Lactose_F","Lactose",0,0.97
"Contaminated","Lactose_F","Methyl-?-D-glucoside",0,0.976
"Contaminated","Lactose_F","Methanol",0,0.975
"Contaminated","Lactose_F","Erythritol",0,0.971
"Contaminated","Lactose_F","Nitrate",0,0.976
"Contaminated","Lactose_F","Vitamin-free",0,0.973
"Contaminated","Lactose_F","Starch formation",0,0.97
"Contaminated","Lactose_F","Growth at 37°C",0,0.973
"Contaminated","Raffinose_F","Glucose",0,1
"Contaminated","Raffinose_F","Inulin",0,0.87
"Contaminated","Raffinose_F","Melibiose",0,0.867
"Contaminated","Raffinose_F","Lactose",0,0.867
"Contaminated","Raffinose_F","Methyl-?-D-glucoside",0,0.893
"Contaminated","Raffinose_F","Methanol",0,0.867
"Contaminated","Raffinose_F","Erythritol",0,0.879
"Contaminated","Raffinose_F","Nitrate",0,0.878
"Contaminated","Raffinose_F","Vitamin-free",0,0.874
"Contaminated","Raffinose_F","Starch formation",0,0.869
"Contaminated","Raffinose_F","Growth at 37°C",0,0.891
"Contaminated","Glucose","Inulin",2,1
"Contaminated","Glucose","Melibiose",2,1
"Contaminated","Glucose","Lactose",2,1
"Contaminated","Glucose","Methyl-?-D-glucoside",2,1
"Contaminated","Glucose","Methanol",2,1
"Contaminated","Glucose","Erythritol",2,1
"Contaminated","Glucose","Nitrate",2,1
"Contaminated","Glucose","Vitamin-free",2,1
"Contaminated","Glucose","Starch formation",2,1
"Contaminated","Glucose","Growth at 37°C",2,1
"Contaminated","Inulin","Melibiose",0,0.897
"Contaminated","Inulin","Lactose",0,0.901
"Contaminated","Inulin","Methyl-?-D-glucoside",0,0.916
"Contaminated","Inulin","Methanol",0,0.905
"Contaminated","Inulin","Erythritol",0,0.902
"Contaminated","Inulin","Nitrate",0,0.901
"Contaminated","Inulin","Vitamin-free",0,0.911
"Contaminated","Inulin","Starch formation",0,0.903
"Contaminated","Inulin","Growth at 37°C",0,0.916
"Contaminated","Melibiose","Lactose",0,0.92
"Contaminated","Melibiose","Methyl-?-D-glucoside",0,0.929
"Contaminated","Melibiose","Methanol",0,0.917
"Contaminated","Melibiose","Erythritol",0,0.922
"Contaminated","Melibiose","Nitrate",0,0.92
"Contaminated","Melibiose","Vitamin-free",0,0.923
"Contaminated","Melibiose","Starch formation",0,0.92
"Contaminated","Melibiose","Growth at 37°C",0,0.932
"Contaminated","Lactose","Methyl-?-D-glucoside",0,0.92
"Contaminated","Lactose","Methanol",0,0.913
"Contaminated","Lactose","Erythritol",0,0.917
"Contaminated","Lactose","Nitrate",0,0.918
"Contaminated","Lactose","Vitamin-free",0,0.92
"Contaminated","Lactose","Starch formation",0,0.918
"Contaminated","Lactose","Growth at 37°C",0,0.93
"Contaminated","Methyl-?-D-glucoside","Methanol",0,0.684
"Contaminated","Methyl-?-D-glucoside","Erythritol",0,0.699
"Contaminated","Methyl-?-D-glucoside","Nitrate",0,0.697
"Contaminated","Methyl-?-D-glucoside","Vitamin-free",0,0.705
"Contaminated","Methyl-?-D-glucoside","Starch formation",0,0.686
"Contaminated","Methyl-?-D-glucoside","Growth at 37°C",0,0.74
"Contaminated","Methanol","Erythritol",0,0.897
"Contaminated","Methanol","Nitrate",0,0.897
"Contaminated","Methanol","Vitamin-free",0,0.901
"Contaminated","Methanol","Starch formation",0,0.897
"Contaminated","Methanol","Growth at 37°C",0,0.902
"Contaminated","Erythritol","Nitrate",0,0.848
"Contaminated","Erythritol","Vitamin-free",0,0.848
"Contaminated","Erythritol","Starch formation",0,0.848
"Contaminated","Erythritol","Growth at 37°C",0,0.87
"Contaminated","Nitrate","Vitamin-free",0,0.827
"Contaminated","Nitrate","Starch formation",0,0.829
"Contaminated","Nitrate","Growth at 37°C",0,0.86
"Contaminated","Vitamin-free","Starch formation",0,0.824
"Contaminated","Vitamin-free","Growth at 37°C",0,0.848
"Contaminated","Starch formation","Growth at 37°C",0,0.883
"Plant.Pathogen","Glucose","Methanol",29,1
"Plant.Pathogen","Glucose","myo-Inositol",29,1
"Plant.Pathogen","Methanol","myo-Inositol",0,0.472
"Animal","Lactose_F","Glucose",0,1
"Insect","Glucose","Starch formation",206,0.997
"Tree","Glucose","Galactose",98,0.998
"Stone.Chamber","Sucrose_F","Maltose_F",0,0.778
"Stone.Chamber","Sucrose_F","Lactose_F",0,0.765
"Stone.Chamber","Sucrose_F","Raffinose_F",0,0.781
"Stone.Chamber","Sucrose_F","Glucose",0,1
"Stone.Chamber","Sucrose_F","Raffinose",0,0.795
"Stone.Chamber","Sucrose_F","Melibiose",0,0.771
"Stone.Chamber","Sucrose_F","Soluble Starch",0,0.771
"Stone.Chamber","Sucrose_F","Methanol",0,0.771
"Stone.Chamber","Sucrose_F","Galactitol",0,0.774
"Stone.Chamber","Sucrose_F","myo-Inositol",0,0.763
"Stone.Chamber","Sucrose_F","Nitrate",0,0.791
"Stone.Chamber","Sucrose_F","Vitamin-free",0,0.79
"Stone.Chamber","Sucrose_F","Starch formation",0,0.783
"Stone.Chamber","Sucrose_F","Growth at 19°C",0,1
"Stone.Chamber","Maltose_F","Lactose_F",0,0.858
"Stone.Chamber","Maltose_F","Raffinose_F",0,0.868
"Stone.Chamber","Maltose_F","Glucose",0,1
"Stone.Chamber","Maltose_F","Raffinose",0,0.873
"Stone.Chamber","Maltose_F","Melibiose",0,0.859
"Stone.Chamber","Maltose_F","Soluble Starch",0,0.864
"Stone.Chamber","Maltose_F","Methanol",0,0.859
"Stone.Chamber","Maltose_F","Galactitol",0,0.859
"Stone.Chamber","Maltose_F","myo-Inositol",0,0.862
"Stone.Chamber","Maltose_F","Nitrate",0,0.868
"Stone.Chamber","Maltose_F","Vitamin-free",0,0.866
"Stone.Chamber","Maltose_F","Starch formation",0,0.869
"Stone.Chamber","Maltose_F","Growth at 19°C",0,1
