"Isolation","Trait_A","Trait_B","Observed_NN","Percent_NN","Mean_NN","SD_NN","Var_NN","Difference","Color"
"Pathogenic","Glucose","Growth at 25°C",0,1,0,0,0,0,3
"Pathogenic","Glucose","Growth at 37°C",0,1,0,0,0,0,3
"Pathogenic","Growth at 25°C","Growth at 37°C",0,0.882,0.121,0.33536766610911,0.112471471471471,-0.121,3
"Clinical","Citrate","Growth at 19°C",0,0.999,0.001,0.0316227766016838,0.001,-0.001,3
"Clinical","Citrate","Growth at 25°C",0,0.999,0.001,0.0316227766016838,0.001,-0.001,3
"Clinical","Citrate","Growth at 30°C",0,0.98,0.02,0.140070052543788,0.0196196196196196,-0.02,3
"Clinical","Glucose","Citrate",0,1,0,0,0,0,3
"Clinical","Glucose","Glycerol",0,1,0,0,0,0,3
"Clinical","Glucose","Growth at 19°C",0,1,0,0,0,0,3
"Clinical","Glucose","Growth at 25°C",0,1,0,0,0,0,3
"Clinical","Glucose","Growth at 30°C",0,1,0,0,0,0,3
"Clinical","Glucose","Succinate",0,1,0,0,0,0,3
"Clinical","Glycerol","Citrate",0,0.982,0.018,0.133017644294634,0.0176936936936937,-0.018,3
"Clinical","Glycerol","Growth at 19°C",0,1,0,0,0,0,3
"Clinical","Glycerol","Growth at 25°C",0,1,0,0,0,0,3
"Clinical","Glycerol","Growth at 30°C",0,0.993,0.007,0.0834143750078963,0.00695795795795796,-0.007,3
"Clinical","Glycerol","Succinate",0,0.992,0.008,0.0891288053546324,0.00794394394394394,-0.008,3
"Clinical","Growth at 19°C","Growth at 25°C",0,1,0,0,0,0,3
"Clinical","Growth at 19°C","Growth at 30°C",0,0.999,0.001,0.0316227766016838,0.001,-0.001,3
"Clinical","Growth at 25°C","Growth at 30°C",0,0.997,0.003,0.054717401199198,0.00299399399399399,-0.003,3
"Clinical","Succinate","Citrate",0,0.966,0.034,0.181319819316248,0.0328768768768769,-0.034,3
"Clinical","Succinate","Growth at 19°C",0,1,0,0,0,0,3
"Clinical","Succinate","Growth at 25°C",0,0.999,0.001,0.0316227766016838,0.001,-0.001,3
"Clinical","Succinate","Growth at 30°C",0,0.992,0.008,0.0891288053546324,0.00794394394394394,-0.008,3
"Rotting.Decaying","Glucose","Ethanol",3,1,0,0,0,3,1
"Spoiled","Glucose","Growth at 19°C",0,1,0,0,0,0,3
"Spoiled","Glucose","Growth at 25°C",0,1,0,0,0,0,3
"Spoiled","Growth at 19°C","Growth at 25°C",0,1,0,0,0,0,3
"Contaminated","Cellobiose","D-Arabinose",0,0.986,0.014,0.117549214450024,0.0138178178178178,-0.014,3
"Contaminated","Cellobiose","D-Glucitol",0,0.992,0.008,0.0891288053546324,0.00794394394394394,-0.008,3
"Contaminated","Cellobiose","D-Glucosamine",0,0.988,0.012,0.108939744206914,0.0118678678678679,-0.012,3
"Contaminated","Cellobiose","D-Mannitol",0,0.997,0.003,0.054717401199198,0.00299399399399399,-0.003,3
"Contaminated","Cellobiose","D-Xylose",0,0.989,0.011,0.104354635210372,0.0108898898898899,-0.011,3
"Contaminated","Cellobiose","DL-Lactate",0,0.986,0.014,0.117549214450024,0.0138178178178178,-0.014,3
"Contaminated","Cellobiose","Ethanol",0,0.996,0.004,0.0631505185092568,0.00398798798798799,-0.004,3
"Contaminated","Cellobiose","Growth at 19°C",0,1,0,0,0,0,3
"Contaminated","Cellobiose","Growth at 25°C",0,1,0,0,0,0,3
"Contaminated","Cellobiose","Growth at 30°C",0,0.999,0.001,0.0316227766016838,0.001,-0.001,3
"Contaminated","Cellobiose","Ribitol",0,0.987,0.013,0.113330683593826,0.0128438438438438,-0.013,3
"Contaminated","Cellobiose","Salicin",0,0.996,0.004,0.0631505185092568,0.00398798798798799,-0.004,3
"Contaminated","Cellobiose","Succinate",0,0.999,0.001,0.0316227766016838,0.001,-0.001,3
"Contaminated","D-Arabinose","D-Glucitol",0,0.991,0.009,0.0944877131056093,0.00892792792792793,-0.009,3
"Contaminated","D-Arabinose","D-Glucosamine",0,0.963,0.037,0.188856206322871,0.0356666666666667,-0.037,3
"Contaminated","D-Arabinose","D-Mannitol",0,0.994,0.006,0.0772655807586403,0.00596996996996997,-0.006,3
"Contaminated","D-Arabinose","DL-Lactate",0,0.971,0.03,0.176440163033055,0.0311311311311311,-0.03,3
"Contaminated","D-Arabinose","Ethanol",0,0.994,0.006,0.0772655807586403,0.00596996996996997,-0.006,3
"Contaminated","D-Arabinose","Growth at 19°C",0,1,0,0,0,0,3
"Contaminated","D-Arabinose","Growth at 25°C",0,1,0,0,0,0,3
"Contaminated","D-Arabinose","Growth at 30°C",0,0.993,0.007,0.0834143750078963,0.00695795795795796,-0.007,3
"Contaminated","D-Arabinose","Ribitol",0,0.971,0.029,0.167890402308134,0.0281871871871872,-0.029,3
"Contaminated","D-Arabinose","Succinate",0,0.989,0.011,0.104354635210372,0.0108898898898899,-0.011,3
"Contaminated","D-Glucitol","D-Glucosamine",0,0.992,0.008,0.0891288053546324,0.00794394394394394,-0.008,3
"Contaminated","D-Glucitol","DL-Lactate",0,0.986,0.014,0.117549214450024,0.0138178178178178,-0.014,3
"Contaminated","D-Glucitol","Growth at 19°C",0,1,0,0,0,0,3
"Contaminated","D-Glucitol","Growth at 25°C",0,1,0,0,0,0,3
"Contaminated","D-Glucitol","Growth at 30°C",0,0.997,0.003,0.054717401199198,0.00299399399399399,-0.003,3
"Contaminated","D-Glucitol","Succinate",0,0.999,0.001,0.0316227766016838,0.001,-0.001,3
"Contaminated","D-Glucosamine","Growth at 19°C",0,1,0,0,0,0,3
"Contaminated","D-Glucosamine","Growth at 25°C",0,0.999,0.001,0.0316227766016838,0.001,-0.001,3
"Contaminated","D-Glucosamine","Growth at 30°C",0,0.998,0.002,0.0446989708829856,0.001997997997998,-0.002,3
"Contaminated","D-Mannitol","D-Glucitol",0,0.999,0.001,0.0316227766016838,0.001,-0.001,3
"Contaminated","D-Mannitol","D-Glucosamine",0,0.998,0.002,0.0446989708829856,0.001997997997998,-0.002,3
"Contaminated","D-Mannitol","DL-Lactate",0,0.994,0.006,0.0772655807586403,0.00596996996996997,-0.006,3
"Contaminated","D-Mannitol","Growth at 19°C",0,1,0,0,0,0,3
"Contaminated","D-Mannitol","Growth at 25°C",0,1,0,0,0,0,3
"Contaminated","D-Mannitol","Growth at 30°C",0,0.999,0.001,0.0316227766016838,0.001,-0.001,3
"Contaminated","D-Mannitol","Succinate",0,0.998,0.002,0.0446989708829856,0.001997997997998,-0.002,3
"Contaminated","D-Xylose","D-Arabinose",0,0.976,0.024,0.1531255937048,0.0234474474474474,-0.024,3
"Contaminated","D-Xylose","D-Glucitol",0,0.994,0.006,0.0772655807586403,0.00596996996996997,-0.006,3
"Contaminated","D-Xylose","D-Glucosamine",0,0.988,0.012,0.108939744206914,0.0118678678678679,-0.012,3
"Contaminated","D-Xylose","D-Mannitol",0,0.999,0.001,0.0316227766016838,0.001,-0.001,3
"Contaminated","D-Xylose","DL-Lactate",0,0.985,0.015,0.121613279660528,0.0147897897897898,-0.015,3
"Contaminated","D-Xylose","Ethanol",0,0.996,0.004,0.0631505185092568,0.00398798798798799,-0.004,3
"Contaminated","D-Xylose","Growth at 19°C",0,1,0,0,0,0,3
"Contaminated","D-Xylose","Growth at 25°C",0,1,0,0,0,0,3
"Contaminated","D-Xylose","Growth at 30°C",0,1,0,0,0,0,3
"Contaminated","D-Xylose","Ribitol",0,0.992,0.008,0.0891288053546324,0.00794394394394394,-0.008,3
"Contaminated","D-Xylose","Succinate",0,0.997,0.003,0.054717401199198,0.00299399399399399,-0.003,3
"Contaminated","DL-Lactate","D-Glucosamine",0,0.971,0.03,0.176440163033055,0.0311311311311311,-0.03,3
"Contaminated","DL-Lactate","Growth at 19°C",0,1,0,0,0,0,3
"Contaminated","DL-Lactate","Growth at 25°C",0,1,0,0,0,0,3
"Contaminated","DL-Lactate","Growth at 30°C",0,0.994,0.006,0.0772655807586403,0.00596996996996997,-0.006,3
"Contaminated","DL-Lactate","Succinate",0,0.994,0.006,0.0772655807586403,0.00596996996996997,-0.006,3
"Contaminated","Ethanol","D-Glucitol",0,0.999,0.001,0.0316227766016838,0.001,-0.001,3
"Contaminated","Ethanol","D-Glucosamine",0,0.992,0.008,0.0891288053546324,0.00794394394394394,-0.008,3
"Contaminated","Ethanol","D-Mannitol",0,1,0,0,0,0,3
"Contaminated","Ethanol","DL-Lactate",0,0.991,0.009,0.0944877131056093,0.00892792792792793,-0.009,3
"Contaminated","Ethanol","Growth at 19°C",0,1,0,0,0,0,3
"Contaminated","Ethanol","Growth at 25°C",0,1,0,0,0,0,3
"Contaminated","Ethanol","Growth at 30°C",0,0.999,0.001,0.0316227766016838,0.001,-0.001,3
"Contaminated","Ethanol","Ribitol",0,0.997,0.003,0.054717401199198,0.00299399399399399,-0.003,3
"Contaminated","Ethanol","Succinate",0,0.998,0.002,0.0446989708829856,0.001997997997998,-0.002,3
"Contaminated","Galactose","Cellobiose",0,0.996,0.004,0.0631505185092568,0.00398798798798799,-0.004,3
"Contaminated","Galactose","D-Arabinose",0,0.981,0.019,0.136593036636783,0.0186576576576577,-0.019,3
"Contaminated","Galactose","D-Glucitol",0,0.997,0.003,0.054717401199198,0.00299399399399399,-0.003,3
"Contaminated","Galactose","D-Glucosamine",0,0.982,0.018,0.133017644294634,0.0176936936936937,-0.018,3
"Contaminated","Galactose","D-Mannitol",0,0.999,0.001,0.0316227766016838,0.001,-0.001,3
"Contaminated","Galactose","D-Xylose",0,0.996,0.004,0.0631505185092568,0.00398798798798799,-0.004,3
"Contaminated","Galactose","DL-Lactate",0,0.983,0.017,0.129335717138491,0.0167277277277277,-0.017,3
"Contaminated","Galactose","Ethanol",0,0.999,0.001,0.0316227766016838,0.001,-0.001,3
"Contaminated","Galactose","Growth at 19°C",0,1,0,0,0,0,3
"Contaminated","Galactose","Growth at 25°C",0,1,0,0,0,0,3
"Contaminated","Galactose","Growth at 30°C",0,0.998,0.002,0.0446989708829856,0.001997997997998,-0.002,3
"Contaminated","Galactose","Maltose",0,0.993,0.007,0.0834143750078963,0.00695795795795796,-0.007,3
"Contaminated","Galactose","Ribitol",0,0.992,0.008,0.0891288053546324,0.00794394394394394,-0.008,3
"Contaminated","Galactose","Salicin",0,0.992,0.008,0.0891288053546324,0.00794394394394394,-0.008,3
"Contaminated","Galactose","Soluble Starch",0,0.98,0.02,0.140070052543788,0.0196196196196196,-0.02,3
"Contaminated","Galactose","Succinate",0,0.999,0.001,0.0316227766016838,0.001,-0.001,3
"Contaminated","Galactose","Trehalose",0,0.995,0.005,0.0705689732104696,0.00497997997997998,-0.005,3
"Contaminated","Galactose_F","Cellobiose",0,0.984,0.017,0.13685660279917,0.0187297297297297,-0.017,3
"Contaminated","Galactose_F","D-Arabinose",0,0.949,0.051,0.220107808692576,0.0484474474474474,-0.051,3
"Contaminated","Galactose_F","D-Glucitol",0,0.983,0.017,0.129335717138491,0.0167277277277277,-0.017,3
"Contaminated","Galactose_F","D-Glucosamine",0,0.962,0.04,0.20601563640278,0.0424424424424424,-0.04,3
"Contaminated","Galactose_F","D-Mannitol",0,0.996,0.004,0.0631505185092568,0.00398798798798799,-0.004,3
"Contaminated","Galactose_F","D-Xylose",0,0.987,0.013,0.113330683593826,0.0128438438438438,-0.013,3
"Contaminated","Galactose_F","DL-Lactate",0,0.96,0.04,0.196057232558349,0.0384384384384384,-0.04,3
"Contaminated","Galactose_F","Ethanol",0,0.995,0.005,0.0705689732104696,0.00497997997997998,-0.005,3
"Contaminated","Galactose_F","Galactose",0,0.974,0.026,0.159214789983058,0.0253493493493493,-0.026,3
"Contaminated","Galactose_F","Glucose",0,1,0,0,0,0,3
"Contaminated","Galactose_F","Growth at 19°C",0,1,0,0,0,0,3
"Contaminated","Galactose_F","Growth at 25°C",0,0.999,0.001,0.0316227766016838,0.001,-0.001,3
"Contaminated","Galactose_F","Growth at 30°C",0,0.993,0.007,0.0834143750078963,0.00695795795795796,-0.007,3
"Contaminated","Galactose_F","Maltose",0,0.976,0.024,0.1531255937048,0.0234474474474474,-0.024,3
"Contaminated","Galactose_F","Ribitol",0,0.977,0.023,0.149978310076802,0.0224934934934935,-0.023,3
"Contaminated","Galactose_F","Salicin",0,0.977,0.023,0.149978310076802,0.0224934934934935,-0.023,3
"Contaminated","Galactose_F","Soluble Starch",0,0.947,0.053,0.224145580463326,0.0502412412412412,-0.053,3
"Contaminated","Galactose_F","Succinate",0,0.991,0.009,0.0944877131056093,0.00892792792792793,-0.009,3
"Contaminated","Galactose_F","Trehalose",0,0.987,0.013,0.113330683593826,0.0128438438438438,-0.013,3
"Contaminated","Galactose_F","Trehalose_F",0,0.954,0.046,0.209589904165081,0.0439279279279279,-0.046,3
"Contaminated","Glucose","Cellobiose",0,1,0,0,0,0,3
"Contaminated","Glucose","D-Arabinose",0,1,0,0,0,0,3
"Contaminated","Glucose","D-Glucitol",0,1,0,0,0,0,3
"Contaminated","Glucose","D-Glucosamine",0,1,0,0,0,0,3
"Contaminated","Glucose","D-Mannitol",0,1,0,0,0,0,3
"Contaminated","Glucose","D-Xylose",0,1,0,0,0,0,3
"Contaminated","Glucose","DL-Lactate",0,1,0,0,0,0,3
"Contaminated","Glucose","Ethanol",0,1,0,0,0,0,3
"Contaminated","Glucose","Galactose",0,1,0,0,0,0,3
"Contaminated","Glucose","Growth at 19°C",0,1,0,0,0,0,3
"Contaminated","Glucose","Growth at 25°C",0,1,0,0,0,0,3
"Contaminated","Glucose","Growth at 30°C",0,1,0,0,0,0,3
"Contaminated","Glucose","Maltose",0,1,0,0,0,0,3
"Contaminated","Glucose","Ribitol",0,1,0,0,0,0,3
"Contaminated","Glucose","Salicin",0,1,0,0,0,0,3
"Contaminated","Glucose","Soluble Starch",0,1,0,0,0,0,3
"Contaminated","Glucose","Succinate",0,1,0,0,0,0,3
"Contaminated","Glucose","Trehalose",0,1,0,0,0,0,3
"Contaminated","Glucose_F","Cellobiose",0,0.994,0.006,0.0772655807586403,0.00596996996996997,-0.006,3
"Contaminated","Glucose_F","D-Arabinose",0,0.975,0.025,0.156203071030628,0.0243993993993994,-0.025,3
"Contaminated","Glucose_F","D-Glucitol",0,0.995,0.005,0.0705689732104696,0.00497997997997998,-0.005,3
"Contaminated","Glucose_F","D-Glucosamine",0,0.989,0.011,0.104354635210372,0.0108898898898899,-0.011,3
"Contaminated","Glucose_F","D-Mannitol",0,0.998,0.002,0.0446989708829856,0.001997997997998,-0.002,3
"Contaminated","Glucose_F","D-Xylose",0,0.992,0.008,0.0891288053546324,0.00794394394394394,-0.008,3
"Contaminated","Glucose_F","DL-Lactate",0,0.984,0.016,0.125537881771837,0.0157597597597598,-0.016,3
"Contaminated","Glucose_F","Ethanol",0,0.998,0.002,0.0446989708829856,0.001997997997998,-0.002,3
"Contaminated","Glucose_F","Galactose",0,0.991,0.009,0.0944877131056093,0.00892792792792793,-0.009,3
"Contaminated","Glucose_F","Galactose_F",0,0.973,0.027,0.162164414398774,0.0262972972972973,-0.027,3
"Contaminated","Glucose_F","Glucose",0,1,0,0,0,0,3
"Contaminated","Glucose_F","Growth at 19°C",0,0.999,0.001,0.0316227766016838,0.001,-0.001,3
"Contaminated","Glucose_F","Growth at 25°C",0,1,0,0,0,0,3
"Contaminated","Glucose_F","Growth at 30°C",0,0.998,0.002,0.0446989708829856,0.001997997997998,-0.002,3
"Contaminated","Glucose_F","Maltose",0,0.986,0.014,0.117549214450024,0.0138178178178178,-0.014,3
"Contaminated","Glucose_F","Ribitol",0,0.989,0.011,0.104354635210372,0.0108898898898899,-0.011,3
"Contaminated","Glucose_F","Salicin",0,0.992,0.008,0.0891288053546324,0.00794394394394394,-0.008,3
"Contaminated","Glucose_F","Soluble Starch",0,0.976,0.024,0.1531255937048,0.0234474474474474,-0.024,3
"Contaminated","Glucose_F","Succinate",0,0.997,0.003,0.054717401199198,0.00299399399399399,-0.003,3
"Contaminated","Glucose_F","Trehalose",0,0.992,0.008,0.0891288053546324,0.00794394394394394,-0.008,3
"Contaminated","Glucose_F","Trehalose_F",0,0.975,0.025,0.156203071030628,0.0243993993993994,-0.025,3
"Contaminated","Growth at 19°C","Growth at 25°C",0,1,0,0,0,0,3
"Contaminated","Growth at 19°C","Growth at 30°C",0,1,0,0,0,0,3
"Contaminated","Growth at 25°C","Growth at 30°C",0,1,0,0,0,0,3
"Contaminated","Maltose","Cellobiose",0,0.987,0.013,0.113330683593826,0.0128438438438438,-0.013,3
"Contaminated","Maltose","D-Arabinose",0,0.975,0.025,0.156203071030628,0.0243993993993994,-0.025,3
"Contaminated","Maltose","D-Glucitol",0,0.992,0.008,0.0891288053546324,0.00794394394394394,-0.008,3
"Contaminated","Maltose","D-Glucosamine",0,0.976,0.025,0.162485080550189,0.0264014014014014,-0.025,3
"Contaminated","Maltose","D-Mannitol",0,0.99,0.01,0.0995485304256668,0.00990990990990991,-0.01,3
"Contaminated","Maltose","D-Xylose",0,0.99,0.01,0.0995485304256668,0.00990990990990991,-0.01,3
"Contaminated","Maltose","DL-Lactate",0,0.986,0.014,0.117549214450024,0.0138178178178178,-0.014,3
"Contaminated","Maltose","Ethanol",0,0.995,0.005,0.0705689732104696,0.00497997997997998,-0.005,3
"Contaminated","Maltose","Growth at 19°C",0,1,0,0,0,0,3
"Contaminated","Maltose","Growth at 25°C",0,1,0,0,0,0,3
"Contaminated","Maltose","Growth at 30°C",0,0.998,0.002,0.0446989708829856,0.001997997997998,-0.002,3
"Contaminated","Maltose","Ribitol",0,0.985,0.015,0.121613279660528,0.0147897897897898,-0.015,3
"Contaminated","Maltose","Salicin",0,0.981,0.019,0.136593036636783,0.0186576576576577,-0.019,3
"Contaminated","Maltose","Soluble Starch",0,0.962,0.038,0.191291904148065,0.0365925925925926,-0.038,3
"Contaminated","Maltose","Succinate",0,0.993,0.007,0.0834143750078963,0.00695795795795796,-0.007,3
"Contaminated","Ribitol","D-Glucitol",0,0.992,0.008,0.0891288053546324,0.00794394394394394,-0.008,3
"Contaminated","Ribitol","D-Glucosamine",0,0.975,0.025,0.156203071030628,0.0243993993993994,-0.025,3
"Contaminated","Ribitol","D-Mannitol",0,0.994,0.006,0.0772655807586403,0.00596996996996997,-0.006,3
"Contaminated","Ribitol","DL-Lactate",0,0.987,0.013,0.113330683593826,0.0128438438438438,-0.013,3
"Contaminated","Ribitol","Growth at 19°C",0,1,0,0,0,0,3
"Contaminated","Ribitol","Growth at 25°C",0,1,0,0,0,0,3
"Contaminated","Ribitol","Growth at 30°C",0,0.995,0.005,0.0705689732104696,0.00497997997997998,-0.005,3
"Contaminated","Ribitol","Succinate",0,0.997,0.003,0.054717401199198,0.00299399399399399,-0.003,3
"Contaminated","Salicin","D-Arabinose",0,0.981,0.02,0.147042924418762,0.0216216216216216,-0.02,3
"Contaminated","Salicin","D-Glucitol",0,0.997,0.003,0.054717401199198,0.00299399399399399,-0.003,3
"Contaminated","Salicin","D-Glucosamine",0,0.98,0.02,0.140070052543788,0.0196196196196196,-0.02,3
"Contaminated","Salicin","D-Mannitol",0,0.995,0.005,0.0705689732104696,0.00497997997997998,-0.005,3
"Contaminated","Salicin","D-Xylose",0,0.995,0.005,0.0705689732104696,0.00497997997997998,-0.005,3
"Contaminated","Salicin","DL-Lactate",0,0.982,0.018,0.133017644294634,0.0176936936936937,-0.018,3
"Contaminated","Salicin","Ethanol",0,1,0,0,0,0,3
"Contaminated","Salicin","Growth at 19°C",0,1,0,0,0,0,3
"Contaminated","Salicin","Growth at 25°C",0,1,0,0,0,0,3
"Contaminated","Salicin","Growth at 30°C",0,0.998,0.002,0.0446989708829856,0.001997997997998,-0.002,3
"Contaminated","Salicin","Ribitol",0,0.988,0.012,0.108939744206914,0.0118678678678679,-0.012,3
"Contaminated","Salicin","Succinate",0,0.998,0.002,0.0446989708829856,0.001997997997998,-0.002,3
"Contaminated","Soluble Starch","Cellobiose",0,0.989,0.011,0.104354635210372,0.0108898898898899,-0.011,3
"Contaminated","Soluble Starch","D-Arabinose",0,0.941,0.059,0.235742602375079,0.0555745745745746,-0.059,3
"Contaminated","Soluble Starch","D-Glucitol",0,0.99,0.01,0.0995485304256668,0.00990990990990991,-0.01,3
"Contaminated","Soluble Starch","D-Glucosamine",0,0.948,0.052,0.222138122224316,0.0493453453453453,-0.052,3
"Contaminated","Soluble Starch","D-Mannitol",0,0.993,0.007,0.0834143750078963,0.00695795795795796,-0.007,3
"Contaminated","Soluble Starch","D-Xylose",0,0.983,0.017,0.129335717138491,0.0167277277277277,-0.017,3
"Contaminated","Soluble Starch","DL-Lactate",0,0.964,0.037,0.194084179336361,0.0376686686686687,-0.037,3
"Contaminated","Soluble Starch","Ethanol",0,0.99,0.01,0.0995485304256668,0.00990990990990991,-0.01,3
"Contaminated","Soluble Starch","Growth at 19°C",0,1,0,0,0,0,3
"Contaminated","Soluble Starch","Growth at 25°C",0,0.999,0.001,0.0316227766016838,0.001,-0.001,3
"Contaminated","Soluble Starch","Growth at 30°C",0,0.994,0.006,0.0772655807586403,0.00596996996996997,-0.006,3
"Contaminated","Soluble Starch","Ribitol",0,0.964,0.036,0.186383311320351,0.0347387387387387,-0.036,3
"Contaminated","Soluble Starch","Salicin",0,0.984,0.016,0.125537881771837,0.0157597597597598,-0.016,3
"Contaminated","Soluble Starch","Succinate",0,0.99,0.01,0.0995485304256668,0.00990990990990991,-0.01,3
"Contaminated","Succinate","D-Glucosamine",0,0.995,0.005,0.0705689732104696,0.00497997997997998,-0.005,3
