"Isolation","Trait_A","Trait_B","Observed_NP","Percent_NP","Mean_NP","SD_NP","Var_NP","Difference","Color"
"Pathogenic","Lactose_F","Glucose",89,0.968,87.915,1.12651855024409,1.26904404404404,1.08499999999999,1
"Clinical","Glucose","Methanol",0,1,0,0,0,0,3
"Clinical","Glucose","myo-Inositol",0,1,0,0,0,0,3
"Clinical","Glucose","Starch formation",0,1,0,0,0,0,3
"Clinical","Lactose_F","Glucose",11,1,10.796,0.43424943589206,0.188572572572573,0.204000000000001,1
"Clinical","Lactose_F","Methanol",0,0.636,0.433,0.62921133723647,0.395906906906907,-0.433,3
"Clinical","Lactose_F","myo-Inositol",0,0.705,0.341,0.568367875624619,0.323042042042042,-0.341,3
"Clinical","Lactose_F","Starch formation",0,0.41,0.843,0.875852794776678,0.767118118118118,-0.843,3
"Clinical","Methanol","myo-Inositol",0,0.711,0.329,0.554135422136201,0.307066066066066,-0.329,3
"Clinical","Methanol","Starch formation",0,0.425,0.813,0.866476648145685,0.750781781781782,-0.813,3
"Clinical","myo-Inositol","Starch formation",0,0.417,0.828,0.872454684884652,0.761177177177177,-0.828,3
"Rotting.Decaying","Lactose_F","Glucose",97,0.933,96.069,1.10881399182571,1.22946846846847,0.930999999999997,1
"Spoiled","Glucose","Starch formation",0,1,0,0,0,0,3
"Contaminated","Erythritol","Growth at 37°C",0,0.637,0.401,0.56259711651902,0.316515515515515,-0.401,3
"Contaminated","Erythritol","Nitrate",0,0.823,0.182,0.398791969622051,0.159035035035035,-0.182,3
"Contaminated","Erythritol","Starch formation",0,0.863,0.14,0.355705674015086,0.126526526526527,-0.14,3
"Contaminated","Erythritol","Vitamin-free",0,0.824,0.186,0.414216821936985,0.171575575575576,-0.186,3
"Contaminated","Glucose","Erythritol",0,1,0,0,0,0,3
"Contaminated","Glucose","Growth at 37°C",0,1,0,0,0,0,3
"Contaminated","Glucose","Inulin",0,1,0,0,0,0,3
"Contaminated","Glucose","Lactose",0,1,0,0,0,0,3
"Contaminated","Glucose","Melibiose",0,1,0,0,0,0,3
"Contaminated","Glucose","Methanol",0,1,0,0,0,0,3
"Contaminated","Glucose","Methyl-?-D-glucoside",0,1,0,0,0,0,3
"Contaminated","Glucose","Nitrate",0,1,0,0,0,0,3
"Contaminated","Glucose","Starch formation",0,1,0,0,0,0,3
"Contaminated","Glucose","Vitamin-free",0,1,0,0,0,0,3
"Contaminated","Inulin","Erythritol",0,0.841,0.167,0.394038407095382,0.155266266266266,-0.167,3
"Contaminated","Inulin","Growth at 37°C",0,0.621,0.419,0.569001548998562,0.323762762762763,-0.419,3
"Contaminated","Inulin","Lactose",0,0.915,0.088,0.2938406750985,0.0863423423423423,-0.088,3
"Contaminated","Inulin","Melibiose",0,0.917,0.089,0.30524117050649,0.0931721721721722,-0.089,3
"Contaminated","Inulin","Methanol",0,0.897,0.105,0.313166206786545,0.0980730730730731,-0.105,3
"Contaminated","Inulin","Methyl-?-D-glucoside",0,0.685,0.341,0.526304090803022,0.276995995995996,-0.341,3
"Contaminated","Inulin","Nitrate",0,0.817,0.189,0.406748625620843,0.165444444444444,-0.189,3
"Contaminated","Inulin","Starch formation",0,0.857,0.146,0.361683307348867,0.130814814814815,-0.146,3
