"Isolation","Trait_A","Trait_B","Observed_PN","Percent_PN","Mean_PN","SD_PN","Var_PN","Difference","Color"
"Pathogenic","Lactose_F","Glucose",0,1,0,0,0,0,3
"Clinical","Glucose","Methanol",11,1,10.556,0.636607625833424,0.405269269269269,0.444000000000001,1
"Clinical","Glucose","myo-Inositol",11,1,10.652,0.573781513492048,0.329225225225225,0.348000000000001,1
"Clinical","Glucose","Starch formation",11,1,10.139,0.883436166035475,0.780459459459459,0.861000000000001,1
"Clinical","Lactose_F","Glucose",0,1,0,0,0,0,3
"Clinical","Lactose_F","Methanol",0,0.815,0.193,0.414635891985876,0.171922922922923,-0.193,3
"Clinical","Lactose_F","myo-Inositol",0,0.814,0.197,0.424701508557918,0.180371371371371,-0.197,3
"Clinical","Lactose_F","Starch formation",0,0.824,0.186,0.414216821936985,0.171575575575576,-0.186,3
"Clinical","Methanol","myo-Inositol",0,0.646,0.425,0.631485370989522,0.398773773773774,-0.425,3
"Clinical","Methanol","Starch formation",0,0.661,0.396,0.604606938059389,0.36554954954955,-0.396,3
"Clinical","myo-Inositol","Starch formation",0,0.73,0.315,0.558647551759683,0.312087087087087,-0.315,3
"Rotting.Decaying","Lactose_F","Glucose",0,1,0,0,0,0,3
"Spoiled","Glucose","Starch formation",17,1,16.133,0.877542637756754,0.770081081081081,0.867000000000001,1
"Contaminated","Erythritol","Growth at 37°C",0,0.87,0.135,0.356232932085036,0.126901901901902,-0.135,3
"Contaminated","Erythritol","Nitrate",0,0.848,0.16,0.388008441339297,0.150550550550551,-0.16,3
"Contaminated","Erythritol","Starch formation",0,0.848,0.16,0.388008441339297,0.150550550550551,-0.16,3
"Contaminated","Erythritol","Vitamin-free",0,0.848,0.158,0.381026483569294,0.145181181181181,-0.158,3
"Contaminated","Glucose","Erythritol",2,1,1.826,0.399854828511403,0.159883883883884,0.174,1
"Contaminated","Glucose","Growth at 37°C",2,1,1.56,0.576829899305447,0.332732732732733,0.44,1
"Contaminated","Glucose","Inulin",2,1,1.891,0.324382835896452,0.105224224224224,0.109,1
"Contaminated","Glucose","Lactose",2,1,1.906,0.302084847775017,0.0912552552552553,0.0940000000000001,1
"Contaminated","Glucose","Melibiose",2,1,1.908,0.309243644448243,0.0956316316316316,0.0920000000000001,1
"Contaminated","Glucose","Methanol",2,1,1.885,0.328455298150118,0.107882882882883,0.115,1
"Contaminated","Glucose","Methyl-?-D-glucoside",2,1,1.637,0.541779036623349,0.293524524524525,0.363,1
"Contaminated","Glucose","Nitrate",2,1,1.804,0.412011836909759,0.169753753753754,0.196,1
"Contaminated","Glucose","Starch formation",2,1,1.846,0.369351350911866,0.13642042042042,0.154,1
"Contaminated","Glucose","Vitamin-free",2,1,1.798,0.428228186110372,0.183379379379379,0.202,1
"Contaminated","Inulin","Erythritol",0,0.902,0.102,0.315746252069119,0.0996956956956957,-0.102,3
"Contaminated","Inulin","Growth at 37°C",0,0.916,0.088,0.297227765096642,0.0883443443443443,-0.088,3
"Contaminated","Inulin","Lactose",0,0.901,0.103,0.317003929772947,0.100491491491491,-0.103,3
"Contaminated","Inulin","Melibiose",0,0.897,0.106,0.3175922934595,0.100864864864865,-0.106,3
"Contaminated","Inulin","Methanol",0,0.905,0.099,0.31192354238867,0.0972962962962963,-0.099,3
"Contaminated","Inulin","Methyl-?-D-glucoside",0,0.916,0.087,0.292432071627783,0.0855165165165165,-0.087,3
"Contaminated","Inulin","Nitrate",0,0.901,0.102,0.312559904168295,0.0976936936936937,-0.102,3
"Contaminated","Inulin","Starch formation",0,0.903,0.101,0.314480361704667,0.0988978978978979,-0.101,3
"Contaminated","Inulin","Vitamin-free",0,0.911,0.093,0.304045133892065,0.0924434434434434,-0.093,3
"Contaminated","Lactose","Erythritol",0,0.917,0.086,0.291013210505449,0.0846886886886887,-0.086,3
"Contaminated","Lactose","Growth at 37°C",0,0.93,0.072,0.266245914310223,0.0708868868868869,-0.072,3
"Contaminated","Lactose","Methanol",0,0.913,0.089,0.291828998155023,0.0851641641641642,-0.089,3
"Contaminated","Lactose","Methyl-?-D-glucoside",0,0.92,0.08,0.271428947744476,0.0736736736736737,-0.08,3
"Contaminated","Lactose","Nitrate",0,0.918,0.085,0.289583940954706,0.0838588588588589,-0.085,3
"Contaminated","Lactose","Starch formation",0,0.918,0.083,0.279623298723817,0.0781891891891892,-0.083,3
"Contaminated","Lactose","Vitamin-free",0,0.92,0.083,0.28669355275833,0.0821931931931932,-0.083,3
"Contaminated","Lactose_F","Erythritol",0,0.971,0.029,0.167890402308134,0.0281871871871872,-0.029,3
"Contaminated","Lactose_F","Glucose",0,1,0,0,0,0,3
"Contaminated","Lactose_F","Growth at 37°C",0,0.973,0.027,0.162164414398774,0.0262972972972973,-0.027,3
"Contaminated","Lactose_F","Inulin",0,0.973,0.027,0.162164414398774,0.0262972972972973,-0.027,3
"Contaminated","Lactose_F","Lactose",0,0.97,0.03,0.170672578726429,0.0291291291291291,-0.03,3
"Contaminated","Lactose_F","Melibiose",0,0.972,0.028,0.16505527329729,0.0272432432432432,-0.028,3
"Contaminated","Lactose_F","Methanol",0,0.975,0.025,0.156203071030628,0.0243993993993994,-0.025,3
"Contaminated","Lactose_F","Methyl-?-D-glucoside",0,0.976,0.024,0.1531255937048,0.0234474474474474,-0.024,3
"Contaminated","Lactose_F","Nitrate",0,0.976,0.024,0.1531255937048,0.0234474474474474,-0.024,3
