"Isolation","Trait_A","Trait_B","Observed_PP","Percent_PP","Mean_PP","SD_PP","Var_PP","Difference","Color"
"Pathogenic","Glucose","Growth at 25°C",90,1,89.701,0.52714028197139,0.277876876876877,0.299000000000007,1
"Pathogenic","Glucose","Growth at 37°C",66,1,57.587,3.24945995359075,10.55898998999,8.413,1
"Pathogenic","Growth at 25°C","Growth at 37°C",66,1,57.409,3.23824106656765,10.4862052052052,8.591,1
"Clinical","Citrate","Growth at 19°C",11,1,10.185,0.851763171603762,0.725500500500501,0.815,1
"Clinical","Citrate","Growth at 25°C",11,1,10.174,0.859338386470931,0.738462462462462,0.826000000000001,1
"Clinical","Citrate","Growth at 30°C",11,1,9.943,0.96055904226324,0.922673673673674,1.057,1
"Clinical","Glucose","Citrate",11,1,10.199,0.847417911727807,0.718117117117117,0.801,1
"Clinical","Glucose","Glycerol",11,1,10.83,0.4065283080737,0.165265265265265,0.17,1
"Clinical","Glucose","Growth at 19°C",11,1,10.985,0.121613279660528,0.0147897897897898,0.0150000000000006,1
"Clinical","Glucose","Growth at 25°C",11,1,10.974,0.165382439670454,0.0273513513513514,0.0259999999999998,1
"Clinical","Glucose","Growth at 30°C",11,1,10.724,0.517776102279829,0.268092092092092,0.276,1
"Clinical","Glucose","Succinate",11,1,10.709,0.533482524178256,0.284603603603604,0.291,1
"Clinical","Glycerol","Citrate",11,1,10.047,0.925011700816074,0.855646646646647,0.952999999999999,1
"Clinical","Glycerol","Growth at 19°C",11,1,10.815,0.418270187737484,0.17494994994995,0.185,1
"Clinical","Glycerol","Growth at 25°C",11,1,10.804,0.43563031778536,0.189773773773774,0.196,1
"Clinical","Glycerol","Growth at 30°C",11,1,10.561,0.645519709765469,0.416695695695696,0.439,1
"Clinical","Glycerol","Succinate",11,1,10.547,0.646690968863188,0.418209209209209,0.452999999999999,1
"Clinical","Growth at 19°C","Growth at 25°C",11,1,10.959,0.203372467065629,0.0413603603603604,0.0410000000000004,1
"Clinical","Growth at 19°C","Growth at 30°C",11,1,10.71,0.527425993081663,0.278178178178178,0.289999999999999,1
