"Isolation","Trait_A","Trait_B","Observed_NP","Percent_NP"
"Pathogenic","Glucose_F","Galactose_F",0,0.076
"Pathogenic","Glucose_F","Sucrose_F",0,0.117
"Pathogenic","Glucose_F","Maltose_F",0,0.223
"Pathogenic","Glucose_F","Lactose_F",0,0.81
"Pathogenic","Glucose_F","Raffinose_F",0,0.229
"Pathogenic","Glucose_F","Trehalose_F",0,0.08
"Pathogenic","Glucose_F","Glucose",22,0.506
"Pathogenic","Glucose_F","Inulin",0,0.365
"Pathogenic","Glucose_F","Sucrose",5,0.266
"Pathogenic","Glucose_F","Raffinose",5,0.714
"Pathogenic","Glucose_F","Melibiose",3,0.849
"Pathogenic","Glucose_F","Galactose",18,0.904
"Pathogenic","Glucose_F","Lactose",1,0.656
"Pathogenic","Glucose_F","Trehalose",8,0.334
"Pathogenic","Glucose_F","Maltose",6,0.438
"Pathogenic","Glucose_F","Melezitose",3,0.229
"Pathogenic","Glucose_F","Methyl-?-D-glucoside",4,0.359
"Pathogenic","Glucose_F","Soluble Starch",4,0.645
"Pathogenic","Glucose_F","Cellobiose",10,0.506
"Pathogenic","Glucose_F","Salicin",11,0.613
"Pathogenic","Glucose_F","L-Sorbose",18,0.965
"Pathogenic","Glucose_F","L-Rhamnose",5,0.831
"Pathogenic","Glucose_F","D-Xylose",14,0.734
"Pathogenic","Glucose_F","L-Arabinose",8,0.868
"Pathogenic","Glucose_F","D-Arabinose",6,0.829
"Pathogenic","Glucose_F","D-Ribose",7,0.688
"Pathogenic","Glucose_F","Methanol",2,0.843
"Pathogenic","Glucose_F","Ethanol",17,0.403
"Pathogenic","Glucose_F","Glycerol",21,0.713
"Pathogenic","Glucose_F","Erythritol",8,0.938
"Pathogenic","Glucose_F","Ribitol",14,0.859
"Pathogenic","Glucose_F","Galactitol",4,0.935
"Pathogenic","Glucose_F","D-Mannitol",16,0.596
"Pathogenic","Glucose_F","D-Glucitol",18,0.712
"Pathogenic","Glucose_F","myo-Inositol",5,0.975
"Pathogenic","Glucose_F","DL-Lactate",17,0.954
"Pathogenic","Glucose_F","Succinate",20,0.682
"Pathogenic","Glucose_F","Citrate",17,0.859
"Pathogenic","Glucose_F","D-Gluconate",13,0.749
"Pathogenic","Glucose_F","D-Glucosamine",5,0.541
"Pathogenic","Glucose_F","Nitrate",0,0.199
"Pathogenic","Glucose_F","Vitamin-free",5,0.794
"Pathogenic","Glucose_F","2-Keto-D-gluconate",9,0.715
"Pathogenic","Glucose_F","Starch formation",3,0.748
"Pathogenic","Glucose_F","Growth at 19°C",22,0.629
"Pathogenic","Glucose_F","Growth at 25°C",22,0.514
"Pathogenic","Glucose_F","Growth at 30°C",22,0.657
"Pathogenic","Glucose_F","Growth at 37°C",12,0.673
"Pathogenic","Galactose_F","Sucrose_F",11,0.448
"Pathogenic","Galactose_F","Maltose_F",3,0.127
"Pathogenic","Galactose_F","Lactose_F",0,0.539
"Pathogenic","Galactose_F","Raffinose_F",7,0.454
"Pathogenic","Galactose_F","Trehalose_F",10,0.319
"Pathogenic","Galactose_F","Glucose",59,0.709
"Pathogenic","Galactose_F","Inulin",4,0.398
"Pathogenic","Galactose_F","Sucrose",25,0.448
"Pathogenic","Galactose_F","Raffinose",17,0.709
"Pathogenic","Galactose_F","Melibiose",7,0.713
"Pathogenic","Galactose_F","Galactose",32,0.472
"Pathogenic","Galactose_F","Lactose",4,0.499
"Pathogenic","Galactose_F","Trehalose",29,0.339
"Pathogenic","Galactose_F","Maltose",24,0.496
"Pathogenic","Galactose_F","Melezitose",21,0.598
"Pathogenic","Galactose_F","Methyl-?-D-glucoside",20,0.521
"Pathogenic","Galactose_F","Soluble Starch",13,0.658
"Pathogenic","Galactose_F","Cellobiose",31,0.615
"Pathogenic","Galactose_F","Salicin",31,0.63
"Pathogenic","Galactose_F","L-Sorbose",29,0.681
"Pathogenic","Galactose_F","L-Rhamnose",15,0.868
"Pathogenic","Galactose_F","D-Xylose",34,0.585
"Pathogenic","Galactose_F","L-Arabinose",20,0.732
"Pathogenic","Galactose_F","D-Arabinose",13,0.542
"Pathogenic","Galactose_F","D-Ribose",17,0.398
"Pathogenic","Galactose_F","Methanol",3,0.537
"Pathogenic","Galactose_F","Ethanol",49,0.654
"Pathogenic","Galactose_F","Glycerol",50,0.735
"Pathogenic","Galactose_F","Erythritol",14,0.718
"Pathogenic","Galactose_F","Ribitol",27,0.415
"Pathogenic","Galactose_F","Galactitol",7,0.736
"Pathogenic","Galactose_F","D-Mannitol",38,0.448
"Pathogenic","Galactose_F","D-Glucitol",41,0.597
"Pathogenic","Galactose_F","myo-Inositol",5,0.805
"Pathogenic","Galactose_F","DL-Lactate",36,0.982
"Pathogenic","Galactose_F","Succinate",48,0.712
"Pathogenic","Galactose_F","Citrate",42,0.95
