sp1,sp2,sp1_inc,sp2_inc,obs_cooccur,prob_cooccur,exp_cooccur,p_lt,p_gt,sp1_name,sp2_name,Association
1,41,90,607,68,0.079,65.7,0.75366,0.33357,Pathogenic,Glucose_F,Random
1,42,90,259,31,0.034,28.1,0.79812,0.27499,Pathogenic,Galactose_F,Random
1,43,90,209,30,0.027,22.6,0.97619,0.04124,Pathogenic,Sucrose_F,Positive
1,44,90,165,22,0.022,17.9,0.90029,0.15484,Pathogenic,Maltose_F,Random
1,45,90,29,1,0.004,3.1,0.15788,0.96612,Pathogenic,Lactose_F,Random
1,46,90,132,20,0.017,14.3,0.96694,0.05995,Pathogenic,Raffinose_F,Random
1,47,90,261,31,0.034,28.3,0.78289,0.29286,Pathogenic,Trehalose_F,Random
1,48,90,831,90,0.108,90,1,1,Pathogenic,Glucose,Random
1,49,90,108,11,0.014,11.7,0.48691,0.64398,Pathogenic,Inulin,Random
1,50,90,503,49,0.066,54.5,0.12818,0.91316,Pathogenic,Sucrose,Random
1,51,90,237,32,0.031,25.7,0.95229,0.07648,Pathogenic,Raffinose,Random
1,52,90,103,14,0.013,11.2,0.87003,0.20984,Pathogenic,Melibiose,Random
1,53,90,541,62,0.071,58.6,0.81954,0.24961,Pathogenic,Galactose,Random
1,54,90,100,13,0.013,10.8,0.82188,0.27576,Pathogenic,Lactose,Random
1,55,90,578,58,0.075,62.6,0.15993,0.89091,Pathogenic,Trehalose,Random
1,56,90,468,49,0.061,50.7,0.39351,0.68953,Pathogenic,Maltose,Random
1,57,90,383,44,0.05,41.5,0.75087,0.32496,Pathogenic,Melezitose,Random
1,58,90,388,44,0.051,42,0.71075,0.36984,Pathogenic,Methyl-?-D-glucoside,Random
1,59,90,196,30,0.026,21.2,0.99102,0.017,Pathogenic,Soluble Starch,Positive
1,60,90,524,53,0.068,56.8,0.2251,0.83731,Pathogenic,Cellobiose,Random
1,61,90,517,53,0.067,56,0.28144,0.79004,Pathogenic,Salicin,Random
1,62,90,437,52,0.057,47.3,0.87634,0.1756,Pathogenic,L-Sorbose,Random
1,63,90,181,28,0.024,19.6,0.99009,0.01886,Pathogenic,L-Rhamnose,Positive
1,64,90,578,62,0.075,62.6,0.48543,0.6095,Pathogenic,D-Xylose,Random
1,65,90,288,41,0.038,31.2,0.99142,0.01555,Pathogenic,L-Arabinose,Positive
1,66,90,247,29,0.032,26.8,0.75122,0.33086,Pathogenic,D-Arabinose,Random
1,67,90,338,42,0.044,36.6,0.90919,0.13329,Pathogenic,D-Ribose,Random
1,68,90,67,5,0.009,7.3,0.24284,0.87459,Pathogenic,Methanol,Random
1,69,90,700,79,0.091,75.8,0.87274,0.20773,Pathogenic,Ethanol,Random
1,70,90,737,80,0.096,79.8,0.58127,0.5588,Pathogenic,Glycerol,Random
1,71,90,220,28,0.029,23.8,0.88045,0.17575,Pathogenic,Erythritol,Random
1,72,90,501,55,0.065,54.3,0.60912,0.48063,Pathogenic,Ribitol,Random
1,73,90,100,17,0.013,10.8,0.98528,0.03068,Pathogenic,Galactitol,Positive
