"Isolation","Trait","Both_P","Both_N","Diff_PN","Diff_NP"
"Pathogenic","Glucose_F",68,202,22,539
"Pathogenic","Galactose_F",31,513,59,228
"Pathogenic","Sucrose_F",30,562,60,179
"Pathogenic","Maltose_F",22,598,68,143
"Pathogenic","Lactose_F",1,713,89,28
"Pathogenic","Raffinose_F",20,629,70,112
"Pathogenic","Trehalose_F",31,511,59,230
"Pathogenic","Glucose",90,0,0,741
"Pathogenic","Inulin",11,644,79,97
"Pathogenic","Sucrose",49,287,41,454
"Pathogenic","Raffinose",32,536,58,205
"Pathogenic","Melibiose",14,652,76,89
"Pathogenic","Galactose",62,262,28,479
"Pathogenic","Lactose",13,654,77,87
"Pathogenic","Trehalose",58,221,32,520
"Pathogenic","Maltose",49,322,41,419
"Pathogenic","Melezitose",44,402,46,339
"Pathogenic","Methyl-?-D-glucoside",44,397,46,344
"Pathogenic","Soluble Starch",30,575,60,166
"Pathogenic","Cellobiose",53,270,37,471
"Pathogenic","Salicin",53,277,37,464
"Pathogenic","L-Sorbose",52,356,38,385
"Pathogenic","L-Rhamnose",28,588,62,153
"Pathogenic","D-Xylose",62,225,28,516
"Pathogenic","L-Arabinose",41,494,49,247
"Pathogenic","D-Arabinose",29,523,61,218
"Pathogenic","D-Ribose",42,445,48,296
"Pathogenic","Methanol",5,679,85,62
"Pathogenic","Ethanol",79,120,11,621
"Pathogenic","Glycerol",80,84,10,657
"Pathogenic","Erythritol",28,549,62,192
"Pathogenic","Ribitol",55,295,35,446
"Pathogenic","Galactitol",17,658,73,83
"Pathogenic","D-Mannitol",67,136,23,605
"Pathogenic","D-Glucitol",70,152,20,589
"Pathogenic","myo-Inositol",9,675,81,66
"Pathogenic","DL-Lactate",50,410,40,331
"Pathogenic","Succinate",79,128,11,613
"Pathogenic","Citrate",66,294,24,447
"Pathogenic","D-Gluconate",63,345,27,396
"Pathogenic","D-Glucosamine",38,465,52,276
"Pathogenic","Nitrate",11,608,79,133
"Pathogenic","Vitamin-free",19,599,71,142
"Pathogenic","2-Keto-D-gluconate",46,420,44,321
"Pathogenic","Starch formation",6,640,84,101
"Pathogenic","Growth at 19°C",85,6,5,735
"Pathogenic","Growth at 25°C",90,9,0,732
"Pathogenic","Growth at 30°C",87,96,3,645
"Pathogenic","Growth at 37°C",66,462,24,279
"Clinical","Glucose_F",10,223,1,597
"Clinical","Galactose_F",6,567,5,253
"Clinical","Sucrose_F",7,618,4,202
"Clinical","Maltose_F",5,660,6,160
"Clinical","Lactose_F",0,791,11,29
"Clinical","Raffinose_F",3,691,8,129
"Clinical","Trehalose_F",6,565,5,255
"Clinical","Glucose",11,0,0,820
"Clinical","Inulin",1,713,10,107
"Clinical","Sucrose",9,326,2,494
"Clinical","Raffinose",5,588,6,232
"Clinical","Melibiose",2,719,9,101
"Clinical","Galactose",9,288,2,532
"Clinical","Lactose",1,721,10,99
"Clinical","Trehalose",9,251,2,569
"Clinical","Maltose",9,361,2,459
"Clinical","Melezitose",9,446,2,374
"Clinical","Methyl-?-D-glucoside",8,440,3,380
"Clinical","Soluble Starch",4,628,7,192
"Clinical","Cellobiose",7,303,4,517
"Clinical","Salicin",7,310,4,510
"Clinical","L-Sorbose",6,389,5,431
"Clinical","L-Rhamnose",4,643,7,177
"Clinical","D-Xylose",9,251,2,569
"Clinical","L-Arabinose",5,537,6,283
"Clinical","D-Arabinose",3,576,8,244
"Clinical","D-Ribose",7,489,4,331
"Clinical","Methanol",0,753,11,67
"Clinical","Ethanol",10,130,1,690
"Clinical","Glycerol",11,94,0,726
"Clinical","Erythritol",2,602,9,218
"Clinical","Ribitol",9,328,2,492
"Clinical","Galactitol",2,722,9,98
"Clinical","D-Mannitol",10,158,1,662
"Clinical","D-Glucitol",10,171,1,649
"Clinical","myo-Inositol",0,745,11,75
"Clinical","DL-Lactate",7,446,4,374
"Clinical","Succinate",11,139,0,681
"Clinical","Citrate",11,318,0,502
"Clinical","D-Gluconate",10,371,1,449
"Clinical","D-Glucosamine",7,513,4,307
"Clinical","Nitrate",2,678,9,142
"Clinical","Vitamin-free",3,662,8,158
"Clinical","2-Keto-D-gluconate",7,460,4,360
"Clinical","Starch formation",0,713,11,107
"Clinical","Growth at 19°C",11,11,0,809
"Clinical","Growth at 25°C",11,9,0,811
"Clinical","Growth at 30°C",11,99,0,721
"Clinical","Growth at 37°C",10,485,1,335
"Rotting.Decaying","Glucose_F",69,195,29,538
"Rotting.Decaying","Galactose_F",29,503,69,230
"Rotting.Decaying","Sucrose_F",18,542,80,191
"Rotting.Decaying","Maltose_F",17,585,81,148
"Rotting.Decaying","Lactose_F",1,705,97,28
"Rotting.Decaying","Raffinose_F",11,612,87,121
"Rotting.Decaying","Trehalose_F",35,507,63,226
"Rotting.Decaying","Glucose",98,0,0,733
"Rotting.Decaying","Inulin",6,631,92,102
"Rotting.Decaying","Sucrose",52,282,46,451
"Rotting.Decaying","Raffinose",21,517,77,216
"Rotting.Decaying","Melibiose",10,640,88,93
"Rotting.Decaying","Galactose",59,251,39,482
"Rotting.Decaying","Lactose",15,648,83,85
"Rotting.Decaying","Trehalose",67,222,31,511
"Rotting.Decaying","Maltose",50,315,48,418
"Rotting.Decaying","Melezitose",40,390,58,343
"Rotting.Decaying","Methyl-?-D-glucoside",45,390,53,343
"Rotting.Decaying","Soluble Starch",22,559,76,174
"Rotting.Decaying","Cellobiose",67,276,31,457
"Rotting.Decaying","Salicin",67,283,31,450
"Rotting.Decaying","L-Sorbose",57,353,41,380
"Rotting.Decaying","L-Rhamnose",27,579,71,154
"Rotting.Decaying","D-Xylose",78,233,20,500
"Rotting.Decaying","L-Arabinose",39,484,59,249
"Rotting.Decaying","D-Arabinose",39,525,59,208
"Rotting.Decaying","D-Ribose",40,435,58,298
"Rotting.Decaying","Methanol",14,680,84,53
"Rotting.Decaying","Ethanol",91,124,7,609
"Rotting.Decaying","Glycerol",89,85,9,648
"Rotting.Decaying","Erythritol",28,541,70,192
"Rotting.Decaying","Ribitol",58,290,40,443
"Rotting.Decaying","Galactitol",12,645,86,88
"Rotting.Decaying","D-Mannitol",77,138,21,595
"Rotting.Decaying","D-Glucitol",72,146,26,587
"Rotting.Decaying","myo-Inositol",12,670,86,63
"Rotting.Decaying","DL-Lactate",52,404,46,329
"Rotting.Decaying","Succinate",90,131,8,602
"Rotting.Decaying","Citrate",68,288,30,445
"Rotting.Decaying","D-Gluconate",47,321,51,412
"Rotting.Decaying","D-Glucosamine",46,465,52,268
"Rotting.Decaying","Nitrate",14,603,84,130
"Rotting.Decaying","Vitamin-free",18,590,80,143
"Rotting.Decaying","2-Keto-D-gluconate",44,410,54,323
"Rotting.Decaying","Starch formation",8,634,90,99
"Rotting.Decaying","Growth at 19°C",97,10,1,723
"Rotting.Decaying","Growth at 25°C",97,8,1,725
"Rotting.Decaying","Growth at 30°C",90,91,8,642
"Rotting.Decaying","Growth at 37°C",51,439,47,294
"Spoiled","Glucose_F",12,219,5,595
"Spoiled","Galactose_F",2,557,15,257
"Spoiled","Sucrose_F",5,610,12,204
"Spoiled","Maltose_F",1,650,16,164
"Spoiled","Lactose_F",1,786,16,28
"Spoiled","Raffinose_F",3,685,14,129
"Spoiled","Trehalose_F",4,557,13,257
"Spoiled","Glucose",17,0,0,814
"Spoiled","Inulin",1,707,16,107
"Spoiled","Sucrose",9,320,8,494
"Spoiled","Raffinose",6,583,11,231
"Spoiled","Melibiose",4,715,13,99
