"Isolation","CutOff_97.5","CutOff_95"
"Pathogenic",0.9636,0.9292
"Clinical",1,1
"Rotting.Decaying",0.9312,0.9128
"Spoiled",0.9924,0.9512
"Contaminated",1,1
"Plant.Pathogen",1,0.9932
"Animal",0.9676,0.9328
"Insect",0.9964,0.9932
"Tree",0.9968,0.99
"Stone.Chamber",1,1
"Lichen",1,1
"Pollen",1,1
"Feces.Dung",1,1
"Pine",1,0.998
"Bromeliad",1,1
"Flower",0.9994,0.9966
"Cactus",0.9708,0.9444
"Ipomoea",1,1
"Oak",0.937,0.9098
"Hibiscus",1,1
"Beetle",0.9978,0.9962
"Ant",1,1
"Fruit.fly",0.9948,0.9668
"Bee",0.9972,0.9828
"Water",1,1
"Tree.exudate",0.939,0.9186
"Tree.flux",0.889,0.8782
"Honey",1,1
"Nematode",1,1
"Mushroom.Fungus",0.993,0.965
"Soil",0.9556,0.9496
"Insect.Frass",0.9726,0.9618
"Unknown",1,1
"Air",1,0.994
"Leather.Tanning",0.9968,0.9772
"Industrial",0.923,0.8854
"Fodder",1,1
"Freshwater",1,1
"Seawater.Marine",0.9824,0.9104
"Brine",1,1
"Plant",0.9656,0.9616
"Food",0.9718,0.9162
"Pickled.Salted.Brined",0.995,0.9746
"Fruit",0.9734,0.951
"Drink.Juice",0.9832,0.9588
"Sugar.Cane",1,1
"Fermented",0.9788,0.9684
"Wine",0.996,0.9748
"Beer",0.9922,0.9578
"Tequila",1,1
"Cider",0.995,0.9682
"Wood",0.9966,0.979
"Silage",1,1
"Dairy",0.9714,0.9598
"Olives",1,0.9916
