"Isolation","Trait_A","Trait_B","Mean_NN","SD_NN","Var_NN"
"Pathogenic","Glucose_F","Galactose_F",NA,6.8992992992993,NA
"Pathogenic","Glucose_F","Sucrose_F",NA,6.95074974974975,NA
"Pathogenic","Glucose_F","Maltose_F",NA,6.95299199199199,NA
"Pathogenic","Glucose_F","Lactose_F",NA,7.52031131131131,NA
"Pathogenic","Glucose_F","Raffinose_F",NA,7.00484084084084,NA
"Pathogenic","Glucose_F","Trehalose_F",NA,6.87668068068068,NA
"Pathogenic","Glucose_F","Glucose",NA,0,NA
"Pathogenic","Glucose_F","Inulin",NA,7.3712022022022,NA
"Pathogenic","Glucose_F","Sucrose",NA,6.24335935935936,NA
"Pathogenic","Glucose_F","Raffinose",NA,6.16555655655656,NA
"Pathogenic","Glucose_F","Melibiose",NA,7.09326926926927,NA
"Pathogenic","Glucose_F","Galactose",NA,4.76186186186186,NA
"Pathogenic","Glucose_F","Lactose",NA,7.5212962962963,NA
"Pathogenic","Glucose_F","Trehalose",NA,5.27333733733734,NA
"Pathogenic","Glucose_F","Maltose",NA,5.65876276276276,NA
"Pathogenic","Glucose_F","Melezitose",NA,6.52562962962963,NA
"Pathogenic","Glucose_F","Methyl-?-D-glucoside",NA,6.36956056056056,NA
"Pathogenic","Glucose_F","Soluble Starch",NA,6.76929329329329,NA
"Pathogenic","Glucose_F","Cellobiose",NA,5.40483583583584,NA
"Pathogenic","Glucose_F","Salicin",NA,5.46617017017017,NA
"Pathogenic","Glucose_F","L-Sorbose",NA,5.47438538538539,NA
"Pathogenic","Glucose_F","L-Rhamnose",NA,6.71503403403403,NA
"Pathogenic","Glucose_F","D-Xylose",NA,4.45453353353353,NA
"Pathogenic","Glucose_F","L-Arabinose",NA,6.43280780780781,NA
"Pathogenic","Glucose_F","D-Arabinose",NA,6.69947447447447,NA
"Pathogenic","Glucose_F","D-Ribose",NA,6.46534434434434,NA
"Pathogenic","Glucose_F","Methanol",NA,7.4621011011011,NA
"Pathogenic","Glucose_F","Ethanol",NA,2.52407507507507,NA
"Pathogenic","Glucose_F","Glycerol",NA,1.94932532532533,NA
"Pathogenic","Glucose_F","Erythritol",NA,7.0334974974975,NA
"Pathogenic","Glucose_F","Ribitol",NA,5.13152752752753,NA
"Pathogenic","Glucose_F","Galactitol",NA,6.71165565565566,NA
"Pathogenic","Glucose_F","D-Mannitol",NA,3.66893993993994,NA
"Pathogenic","Glucose_F","D-Glucitol",NA,3.27515915915916,NA
"Pathogenic","Glucose_F","myo-Inositol",NA,7.11831731731732,NA
"Pathogenic","Glucose_F","DL-Lactate",NA,5.406005005005,NA
"Pathogenic","Glucose_F","Succinate",NA,2.28187287287287,NA
"Pathogenic","Glucose_F","Citrate",NA,4.50104504504505,NA
"Pathogenic","Glucose_F","D-Gluconate",NA,4.58458358358358,NA
"Pathogenic","Glucose_F","D-Glucosamine",NA,6.3390980980981,NA
"Pathogenic","Glucose_F","Nitrate",NA,7.48534134134134,NA
"Pathogenic","Glucose_F","Vitamin-free",NA,7.6775965965966,NA
"Pathogenic","Glucose_F","2-Keto-D-gluconate",NA,6.03666066066066,NA
"Pathogenic","Glucose_F","Starch formation",NA,7.60932832832833,NA
"Pathogenic","Glucose_F","Growth at 19°C",NA,0.757441441441441,NA
"Pathogenic","Glucose_F","Growth at 25°C",NA,0.0904414414414414,NA
"Pathogenic","Glucose_F","Growth at 30°C",NA,1.13224324324324,NA
"Pathogenic","Glucose_F","Growth at 37°C",NA,4.95798898898899,NA
"Pathogenic","Galactose_F","Sucrose_F",NA,6.90289389389389,NA
"Pathogenic","Galactose_F","Maltose_F",NA,6.62540940940941,NA
"Pathogenic","Galactose_F","Lactose_F",NA,6.26317417417417,NA
"Pathogenic","Galactose_F","Raffinose_F",NA,6.63613613613614,NA
"Pathogenic","Galactose_F","Trehalose_F",NA,7.3037037037037,NA
"Pathogenic","Galactose_F","Glucose",NA,0,NA
"Pathogenic","Galactose_F","Inulin",NA,6.9208958958959,NA
"Pathogenic","Galactose_F","Sucrose",NA,6.4347987987988,NA
"Pathogenic","Galactose_F","Raffinose",NA,7.11355255255255,NA
"Pathogenic","Galactose_F","Melibiose",NA,6.85262762762763,NA
"Pathogenic","Galactose_F","Galactose",NA,6.02562562562563,NA
"Pathogenic","Galactose_F","Lactose",NA,6.76061661661662,NA
"Pathogenic","Galactose_F","Trehalose",NA,5.63041441441441,NA
"Pathogenic","Galactose_F","Maltose",NA,5.90931331331331,NA
"Pathogenic","Galactose_F","Melezitose",NA,6.11571171171171,NA
"Pathogenic","Galactose_F","Methyl-?-D-glucoside",NA,6.43623523523524,NA
"Pathogenic","Galactose_F","Soluble Starch",NA,7.07042142142142,NA
"Pathogenic","Galactose_F","Cellobiose",NA,6.75258358358358,NA
"Pathogenic","Galactose_F","Salicin",NA,6.82206106106106,NA
"Pathogenic","Galactose_F","L-Sorbose",NA,7.19710810810811,NA
"Pathogenic","Galactose_F","L-Rhamnose",NA,7.23425825825826,NA
"Pathogenic","Galactose_F","D-Xylose",NA,4.9736046046046,NA
"Pathogenic","Galactose_F","L-Arabinose",NA,6.48696596596597,NA
"Pathogenic","Galactose_F","D-Arabinose",NA,7.31321321321321,NA
"Pathogenic","Galactose_F","D-Ribose",NA,6.24201701701702,NA
"Pathogenic","Galactose_F","Methanol",NA,6.96759159159159,NA
"Pathogenic","Galactose_F","Ethanol",NA,3.62472872872873,NA
"Pathogenic","Galactose_F","Glycerol",NA,2.15477877877878,NA
"Pathogenic","Galactose_F","Erythritol",NA,6.81296396396396,NA
"Pathogenic","Galactose_F","Ribitol",NA,6.01060960960961,NA
"Pathogenic","Galactose_F","Galactitol",NA,6.46313413413413,NA
"Pathogenic","Galactose_F","D-Mannitol",NA,3.85748848848849,NA
