"Isolation","Trait_A","Trait_B","Mean_NP","SD_NP","Var_NP"
"Pathogenic","Glucose_F","Galactose_F",NA,2.54578478478478,NA
"Pathogenic","Glucose_F","Sucrose_F",NA,1.9038038038038,NA
"Pathogenic","Glucose_F","Maltose_F",NA,1.3869029029029,NA
"Pathogenic","Glucose_F","Lactose_F",NA,0.219275275275275,NA
"Pathogenic","Glucose_F","Raffinose_F",NA,1.23154254254254,NA
"Pathogenic","Glucose_F","Trehalose_F",NA,2.35833333333333,NA
"Pathogenic","Glucose_F","Glucose",NA,7.52744644644645,NA
"Pathogenic","Glucose_F","Inulin",NA,0.960944944944945,NA
"Pathogenic","Glucose_F","Sucrose",NA,4.44467567567568,NA
"Pathogenic","Glucose_F","Raffinose",NA,2.9406046046046,NA
"Pathogenic","Glucose_F","Melibiose",NA,1.43770870870871,NA
"Pathogenic","Glucose_F","Galactose",NA,5.95983883883884,NA
"Pathogenic","Glucose_F","Lactose",NA,0.880704704704705,NA
"Pathogenic","Glucose_F","Trehalose",NA,5.18437537537538,NA
"Pathogenic","Glucose_F","Maltose",NA,4.20918418418418,NA
"Pathogenic","Glucose_F","Melezitose",NA,3.26423923923924,NA
"Pathogenic","Glucose_F","Methyl-?-D-glucoside",NA,3.39295695695696,NA
"Pathogenic","Glucose_F","Soluble Starch",NA,2.68946446446446,NA
"Pathogenic","Glucose_F","Cellobiose",NA,5.27806206206206,NA
"Pathogenic","Glucose_F","Salicin",NA,5.17744844844845,NA
"Pathogenic","Glucose_F","L-Sorbose",NA,5.7711951951952,NA
"Pathogenic","Glucose_F","L-Rhamnose",NA,2.54004004004004,NA
"Pathogenic","Glucose_F","D-Xylose",NA,5.63603203203203,NA
"Pathogenic","Glucose_F","L-Arabinose",NA,3.34218618618619,NA
"Pathogenic","Glucose_F","D-Arabinose",NA,2.86508908908909,NA
"Pathogenic","Glucose_F","D-Ribose",NA,3.77537537537538,NA
"Pathogenic","Glucose_F","Methanol",NA,1.11232832832833,NA
"Pathogenic","Glucose_F","Ethanol",NA,7.86075675675676,NA
"Pathogenic","Glucose_F","Glycerol",NA,6.67975075075075,NA
"Pathogenic","Glucose_F","Erythritol",NA,3.01500600600601,NA
"Pathogenic","Glucose_F","Ribitol",NA,5.00855955955956,NA
"Pathogenic","Glucose_F","Galactitol",NA,1.46681781781782,NA
"Pathogenic","Glucose_F","D-Mannitol",NA,6.06173773773774,NA
"Pathogenic","Glucose_F","D-Glucitol",NA,6.29026526526527,NA
"Pathogenic","Glucose_F","myo-Inositol",NA,1.50534134134134,NA
