"Isolation","Trait_A","Trait_B","Mean_PN","SD_PN","Var_PN"
"Pathogenic","Glucose_F","Galactose_F",NA,10.7383293293293,NA
"Pathogenic","Glucose_F","Sucrose_F",NA,10.9102612612613,NA
"Pathogenic","Glucose_F","Maltose_F",NA,10.043018018018,NA
"Pathogenic","Glucose_F","Lactose_F",NA,8.27635235235235,NA
"Pathogenic","Glucose_F","Raffinose_F",NA,10.5573533533534,NA
"Pathogenic","Glucose_F","Trehalose_F",NA,10.7002992992993,NA
"Pathogenic","Glucose_F","Glucose",NA,0,NA
"Pathogenic","Glucose_F","Inulin",NA,9.98486386386386,NA
"Pathogenic","Glucose_F","Sucrose",NA,8.5312022022022,NA
"Pathogenic","Glucose_F","Raffinose",NA,10.1269429429429,NA
"Pathogenic","Glucose_F","Melibiose",NA,8.72426026026026,NA
"Pathogenic","Glucose_F","Galactose",NA,7.08213813813814,NA
"Pathogenic","Glucose_F","Lactose",NA,8.97384984984985,NA
"Pathogenic","Glucose_F","Trehalose",NA,6.71775375375375,NA
"Pathogenic","Glucose_F","Maltose",NA,7.84007607607608,NA
"Pathogenic","Glucose_F","Melezitose",NA,8.82852452452452,NA
"Pathogenic","Glucose_F","Methyl-?-D-glucoside",NA,8.27747347347347,NA
"Pathogenic","Glucose_F","Soluble Starch",NA,10.1088728728729,NA
"Pathogenic","Glucose_F","Cellobiose",NA,8.52968868868869,NA
"Pathogenic","Glucose_F","Salicin",NA,8.32932832832833,NA
"Pathogenic","Glucose_F","L-Sorbose",NA,8.40960860860861,NA
"Pathogenic","Glucose_F","L-Rhamnose",NA,10.3970810810811,NA
"Pathogenic","Glucose_F","D-Xylose",NA,5.92524924924925,NA
"Pathogenic","Glucose_F","L-Arabinose",NA,9.54057957957958,NA
"Pathogenic","Glucose_F","D-Arabinose",NA,9.80812412412412,NA
"Pathogenic","Glucose_F","D-Ribose",NA,9.29369369369369,NA
"Pathogenic","Glucose_F","Methanol",NA,9.35814914914915,NA
"Pathogenic","Glucose_F","Ethanol",NA,3.49857757757758,NA
"Pathogenic","Glucose_F","Glycerol",NA,2.69797397397397,NA
"Pathogenic","Glucose_F","Erythritol",NA,10.1402362362362,NA
"Pathogenic","Glucose_F","Ribitol",NA,7.76813213213213,NA
"Pathogenic","Glucose_F","Galactitol",NA,8.72584184184184,NA
"Pathogenic","Glucose_F","D-Mannitol",NA,4.67009409409409,NA
"Pathogenic","Glucose_F","D-Glucitol",NA,4.66682582582583,NA
"Pathogenic","Glucose_F","myo-Inositol",NA,8.23555955955956,NA
"Pathogenic","Glucose_F","DL-Lactate",NA,9.622998998999,NA
"Pathogenic","Glucose_F","Succinate",NA,3.67943043043043,NA
"Pathogenic","Glucose_F","Citrate",NA,6.59012612612613,NA
"Pathogenic","Glucose_F","D-Gluconate",NA,8.31341341341341,NA
"Pathogenic","Glucose_F","D-Glucosamine",NA,11.001977977978,NA
"Pathogenic","Glucose_F","Nitrate",NA,10.7009369369369,NA
"Pathogenic","Glucose_F","Vitamin-free",NA,11.0611801801802,NA
"Pathogenic","Glucose_F","2-Keto-D-gluconate",NA,9.74334234234234,NA
"Pathogenic","Glucose_F","Starch formation",NA,11.1497007007007,NA
"Pathogenic","Glucose_F","Growth at 19°C",NA,1.00924824824825,NA
"Pathogenic","Glucose_F","Growth at 25°C",NA,0.201765765765766,NA
"Pathogenic","Glucose_F","Growth at 30°C",NA,2.5837997997998,NA
"Pathogenic","Glucose_F","Growth at 37°C",NA,10.5580580580581,NA
"Pathogenic","Galactose_F","Sucrose_F",NA,6.08806306306306,NA
"Pathogenic","Galactose_F","Maltose_F",NA,6.1858018018018,NA
"Pathogenic","Galactose_F","Lactose_F",NA,6.699995995996,NA
"Pathogenic","Galactose_F","Raffinose_F",NA,6.08244644644645,NA
"Pathogenic","Galactose_F","Trehalose_F",NA,6.02581681681682,NA
"Pathogenic","Galactose_F","Glucose",NA,0,NA
"Pathogenic","Galactose_F","Inulin",NA,7.17152252252252,NA
"Pathogenic","Galactose_F","Sucrose",NA,3.61358858858859,NA
"Pathogenic","Galactose_F","Raffinose",NA,6.002002002002,NA
"Pathogenic","Galactose_F","Melibiose",NA,6.36344244244244,NA
"Pathogenic","Galactose_F","Galactose",NA,2.648004004004,NA
"Pathogenic","Galactose_F","Lactose",NA,6.75372872872873,NA
"Pathogenic","Galactose_F","Trehalose",NA,2.56132532532533,NA
"Pathogenic","Galactose_F","Maltose",NA,3.4994034034034,NA
"Pathogenic","Galactose_F","Melezitose",NA,4.65055055055055,NA
"Pathogenic","Galactose_F","Methyl-?-D-glucoside",NA,4.32001601601602,NA
