"Isolation","Trait_A","Trait_B","Mean_PP","SD_PP","Var_PP"
"Pathogenic","Glucose_F","Galactose_F",NA,5.65741341341341,NA
"Pathogenic","Glucose_F","Sucrose_F",NA,5.5091051051051,NA
"Pathogenic","Glucose_F","Maltose_F",NA,4.22771171171171,NA
"Pathogenic","Glucose_F","Lactose_F",NA,1.07995095095095,NA
"Pathogenic","Glucose_F","Raffinose_F",NA,4.18546446446446,NA
"Pathogenic","Glucose_F","Trehalose_F",NA,5.65429029029029,NA
"Pathogenic","Glucose_F","Glucose",NA,7.52744644644645,NA
"Pathogenic","Glucose_F","Inulin",NA,3.65815415415415,NA
"Pathogenic","Glucose_F","Sucrose",NA,6.4984024024024,NA
"Pathogenic","Glucose_F","Raffinose",NA,6.47650750750751,NA
"Pathogenic","Glucose_F","Melibiose",NA,3.14894794794795,NA
"Pathogenic","Glucose_F","Galactose",NA,8.05784884884885,NA
"Pathogenic","Glucose_F","Lactose",NA,2.5841031031031,NA
"Pathogenic","Glucose_F","Trehalose",NA,6.47026926926927,NA
"Pathogenic","Glucose_F","Maltose",NA,6.11002102102102,NA
"Pathogenic","Glucose_F","Melezitose",NA,5.79054154154154,NA
"Pathogenic","Glucose_F","Methyl-?-D-glucoside",NA,5.51326426426426,NA
"Pathogenic","Glucose_F","Soluble Starch",NA,5.42401501501501,NA
"Pathogenic","Glucose_F","Cellobiose",NA,7.64724724724725,NA
"Pathogenic","Glucose_F","Salicin",NA,7.65358958958959,NA
"Pathogenic","Glucose_F","L-Sorbose",NA,8.34824824824825,NA
"Pathogenic","Glucose_F","L-Rhamnose",NA,5.37034534534535,NA
"Pathogenic","Glucose_F","D-Xylose",NA,6.72743843843844,NA
"Pathogenic","Glucose_F","L-Arabinose",NA,5.32734334334334,NA
"Pathogenic","Glucose_F","D-Arabinose",NA,5.97400500500501,NA
"Pathogenic","Glucose_F","D-Ribose",NA,6.37617517517518,NA
"Pathogenic","Glucose_F","Methanol",NA,2.75962362362362,NA
"Pathogenic","Glucose_F","Ethanol",NA,7.90500500500501,NA
"Pathogenic","Glucose_F","Glycerol",NA,7.43315215215215,NA
"Pathogenic","Glucose_F","Erythritol",NA,5.80315415415415,NA
"Pathogenic","Glucose_F","Ribitol",NA,6.97775275275275,NA
"Pathogenic","Glucose_F","Galactitol",NA,3.2674984984985,NA
"Pathogenic","Glucose_F","D-Mannitol",NA,6.62753853853854,NA
"Pathogenic","Glucose_F","D-Glucitol",NA,6.71181181181181,NA
"Pathogenic","Glucose_F","myo-Inositol",NA,2.38209309309309,NA
"Pathogenic","Glucose_F","DL-Lactate",NA,10.8403593593594,NA
"Pathogenic","Glucose_F","Succinate",NA,7.79098698698699,NA
"Pathogenic","Glucose_F","Citrate",NA,8.36547647647648,NA
"Pathogenic","Glucose_F","D-Gluconate",NA,9.14262162162162,NA
"Pathogenic","Glucose_F","D-Glucosamine",NA,6.86233333333333,NA
"Pathogenic","Glucose_F","Nitrate",NA,5.13453353353353,NA
"Pathogenic","Glucose_F","Vitamin-free",NA,5.926002002002,NA
"Pathogenic","Glucose_F","2-Keto-D-gluconate",NA,8.09199199199199,NA
"Pathogenic","Glucose_F","Starch formation",NA,4.74128528528529,NA
"Pathogenic","Glucose_F","Growth at 19°C",NA,7.1015015015015,NA
"Pathogenic","Glucose_F","Growth at 25°C",NA,7.78355855855856,NA
"Pathogenic","Glucose_F","Growth at 30°C",NA,8.98262162162162,NA
"Pathogenic","Glucose_F","Growth at 37°C",NA,10.4896086086086,NA
"Pathogenic","Galactose_F","Sucrose_F",NA,4.21396996996997,NA
"Pathogenic","Galactose_F","Maltose_F",NA,3.27905405405405,NA
"Pathogenic","Galactose_F","Lactose_F",NA,0.757076076076076,NA
"Pathogenic","Galactose_F","Raffinose_F",NA,3.26189289289289,NA
"Pathogenic","Galactose_F","Trehalose_F",NA,3.92831231231231,NA
"Pathogenic","Galactose_F","Glucose",NA,6.12847947947948,NA
"Pathogenic","Galactose_F","Inulin",NA,2.63413413413413,NA
"Pathogenic","Galactose_F","Sucrose",NA,5.35665265265265,NA
"Pathogenic","Galactose_F","Raffinose",NA,4.43658758758759,NA
"Pathogenic","Galactose_F","Melibiose",NA,2.24361961961962,NA
"Pathogenic","Galactose_F","Galactose",NA,5.71715615615616,NA
"Pathogenic","Galactose_F","Lactose",NA,2.35204804804805,NA
"Pathogenic","Galactose_F","Trehalose",NA,5.78561661661662,NA
"Pathogenic","Galactose_F","Maltose",NA,5.23038938938939,NA
"Pathogenic","Galactose_F","Melezitose",NA,4.98177277277277,NA
"Pathogenic","Galactose_F","Methyl-?-D-glucoside",NA,4.84582082082082,NA
"Pathogenic","Galactose_F","Soluble Starch",NA,4.12841241241241,NA
"Pathogenic","Galactose_F","Cellobiose",NA,5.77167167167167,NA
"Pathogenic","Galactose_F","Salicin",NA,5.03923023023023,NA
"Pathogenic","Galactose_F","L-Sorbose",NA,5.98995395395395,NA
"Pathogenic","Galactose_F","L-Rhamnose",NA,3.95146746746747,NA
"Pathogenic","Galactose_F","D-Xylose",NA,5.42294194194194,NA
"Pathogenic","Galactose_F","L-Arabinose",NA,4.73095495495495,NA
"Pathogenic","Galactose_F","D-Arabinose",NA,4.0528968968969,NA
"Pathogenic","Galactose_F","D-Ribose",NA,4.92167267267267,NA
"Pathogenic","Galactose_F","Methanol",NA,1.88387487487487,NA
"Pathogenic","Galactose_F","Ethanol",NA,5.77014514514515,NA
"Pathogenic","Galactose_F","Glycerol",NA,6.0596986986987,NA
"Pathogenic","Galactose_F","Erythritol",NA,4.86524924924925,NA
"Pathogenic","Galactose_F","Ribitol",NA,5.22772372372372,NA
"Pathogenic","Galactose_F","Galactitol",NA,2.57047047047047,NA
"Pathogenic","Galactose_F","D-Mannitol",NA,5.54478378378378,NA
"Pathogenic","Galactose_F","D-Glucitol",NA,5.59823423423423,NA
"Pathogenic","Galactose_F","myo-Inositol",NA,1.61509409409409,NA
"Pathogenic","Galactose_F","DL-Lactate",NA,6.52676576576577,NA
"Pathogenic","Galactose_F","Succinate",NA,6.15112612612613,NA
"Pathogenic","Galactose_F","Citrate",NA,5.83983983983984,NA
"Pathogenic","Galactose_F","D-Gluconate",NA,5.81511111111111,NA
"Pathogenic","Galactose_F","D-Glucosamine",NA,4.6275035035035,NA
"Pathogenic","Galactose_F","Nitrate",NA,3.732996996997,NA
"Pathogenic","Galactose_F","Vitamin-free",NA,3.84206606606607,NA
"Pathogenic","Galactose_F","2-Keto-D-gluconate",NA,5.55273673673674,NA
"Pathogenic","Galactose_F","Starch formation",NA,2.64736336336336,NA
"Pathogenic","Galactose_F","Growth at 19°C",NA,6.10742642642643,NA
"Pathogenic","Galactose_F","Growth at 25°C",NA,6.18922522522523,NA
"Pathogenic","Galactose_F","Growth at 30°C",NA,6.24716616616617,NA
"Pathogenic","Galactose_F","Growth at 37°C",NA,5.80711811811812,NA
"Pathogenic","Sucrose_F","Maltose_F",NA,3.55768168168168,NA
"Pathogenic","Sucrose_F","Lactose_F",NA,0.791875875875876,NA
"Pathogenic","Sucrose_F","Raffinose_F",NA,3.69955555555556,NA
"Pathogenic","Sucrose_F","Trehalose_F",NA,4.39182282282282,NA
