"Isolation","Trait","Observed_PP","Percent_PP"
"Pathogenic","Glucose_F",561,0.506
"Pathogenic","Galactose_F",287,0.709
"Pathogenic","Sucrose_F",239,0.589
"Pathogenic","Maltose_F",211,0.722
"Pathogenic","Lactose_F",117,0.968
"Pathogenic","Raffinose_F",182,0.688
"Pathogenic","Trehalose_F",289,0.644
"Pathogenic","Glucose",741,1
"Pathogenic","Inulin",176,0.867
"Pathogenic","Sucrose",495,0.832
"Pathogenic","Raffinose",263,0.612
"Pathogenic","Melibiose",165,0.738
"Pathogenic","Galactose",507,0.509
"Pathogenic","Lactose",164,0.741
"Pathogenic","Trehalose",552,0.772
"Pathogenic","Maltose",460,0.73
"Pathogenic","Melezitose",385,0.634
"Pathogenic","Methyl-?-D-glucoside",390,0.637
"Pathogenic","Soluble Starch",226,0.504
"Pathogenic","Cellobiose",508,0.78
"Pathogenic","Salicin",501,0.789
"Pathogenic","L-Sorbose",423,0.506
"Pathogenic","L-Rhamnose",215,0.405
"Pathogenic","D-Xylose",544,0.622
"Pathogenic","L-Arabinose",296,0.378
"Pathogenic","D-Arabinose",279,0.709
"Pathogenic","D-Ribose",344,0.562
"Pathogenic","Methanol",147,0.791
"Pathogenic","Ethanol",632,0.5
"Pathogenic","Glycerol",667,0.515
"Pathogenic","Erythritol",254,0.595
"Pathogenic","Ribitol",481,0.626
"Pathogenic","Galactitol",156,0.557
"Pathogenic","D-Mannitol",628,0.845
"Pathogenic","D-Glucitol",609,0.67
"Pathogenic","myo-Inositol",147,0.707
"Pathogenic","DL-Lactate",371,0.358
"Pathogenic","Succinate",624,0.345
"Pathogenic","Citrate",471,0.212
"Pathogenic","D-Gluconate",423,0.184
"Pathogenic","D-Glucosamine",328,0.562
"Pathogenic","Nitrate",212,0.946
"Pathogenic","Vitamin-free",213,0.728
"Pathogenic","2-Keto-D-gluconate",365,0.443
"Pathogenic","Starch formation",185,0.904
"Pathogenic","Growth at 19°C",740,0.903
"Pathogenic","Growth at 25°C",732,0.734
"Pathogenic","Growth at 30°C",648,0.197
"Pathogenic","Growth at 37°C",303,0.004
"Clinical","Glucose_F",598,0.625
"Clinical","Galactose_F",258,0.714
"Clinical","Sucrose_F",206,0.511
"Clinical","Maltose_F",166,0.635
"Clinical","Lactose_F",40,1
"Clinical","Raffinose_F",137,0.792
"Clinical","Trehalose_F",260,0.658
"Clinical","Glucose",820,1
"Clinical","Inulin",117,0.967
"Clinical","Sucrose",496,0.697
"Clinical","Raffinose",238,0.723
"Clinical","Melibiose",110,0.869
"Clinical","Galactose",534,0.748
"Clinical","Lactose",109,0.926
"Clinical","Trehalose",571,0.797
"Clinical","Maltose",461,0.678
"Clinical","Melezitose",376,0.53
"Clinical","Methyl-?-D-glucoside",383,0.653
"Clinical","Soluble Starch",199,0.746
"Clinical","Cellobiose",521,0.865
"Clinical","Salicin",514,0.848
"Clinical","L-Sorbose",436,0.867
"Clinical","L-Rhamnose",184,0.739
"Clinical","D-Xylose",571,0.807
"Clinical","L-Arabinose",289,0.78
"Clinical","D-Arabinose",252,0.907
"Clinical","D-Ribose",335,0.73
"Clinical","Methanol",78,1
"Clinical","Ethanol",691,0.831
"Clinical","Glycerol",726,0.842
"Clinical","Erythritol",227,0.936
"Clinical","Ribitol",494,0.713
"Clinical","Galactitol",107,0.877
