"","Glucose_F","Galactose_F","Sucrose_F","Maltose_F","Lactose_F","Raffinose_F","Trehalose_F","Glucose","Inulin","Sucrose","Raffinose","Melibiose","Galactose","Lactose","Trehalose","Maltose","Melezitose","Methyl-?-D-glucoside","Soluble Starch","Cellobiose","Salicin","L-Sorbose","L-Rhamnose","D-Xylose","L-Arabinose","D-Arabinose","D-Ribose","Methanol","Ethanol","Glycerol","Erythritol","Ribitol","Galactitol","D-Mannitol","D-Glucitol","myo-Inositol","DL-Lactate","Succinate","Citrate","D-Gluconate","D-Glucosamine","Nitrate","Vitamin-free","2-Keto-D-gluconate","Starch formation","Growth at 19°C","Growth at 25°C","Growth at 30°C","Growth at 37°C"
"Glucose_F",0,0.0839951865222623,0.0677496991576414,0.0535499398315283,0.00938628158844765,0.0428399518652226,0.0847172081829122,0,-0.0155234657039711,0.0428399518652227,0.00348977135980747,-0.0134777376654633,0.0117930204572804,-0.0036101083032491,0.0310469314079423,0.0471720818291215,0.0399518652226233,0.0488567990373045,-0.0327316486161251,0.0122743682310469,0.018531889290012,-0.0219013237063778,0.00697954271961494,-0.00746089049338145,-0.00168471720818292,-0.0137184115523466,0.0193742478941035,-0.00469314079422382,0.00565583634175691,-0.00878459687123942,0.00637785800240675,0.0144404332129964,-0.00842358604091456,-0.00228640192539107,-0.000481347773766519,-0.023826714801444,0.00445246690734054,-0.0150421179302046,0.00878459687123948,0.0441636582430806,0.0548736462093863,-0.0363417569193743,-0.0235860409145608,0.0492178098676293,-0.0628158844765343,-0.00240673886883273,0.00553549939831531,0.0448856799037304,0.0180505415162455
"Galactose_F",0.0839951865222623,0,0.061251504211793,0.0717208182912154,0.0072202166064982,0.0395908543922984,0.0995186522262335,0,0.00276774969915764,0.0411552346570397,0.0302045728038508,0.0239470517448857,0.103971119133574,0.0298435619735259,0.0492178098676294,0.0470517448856799,0.0392298435619735,0.0602888086642599,0.00950661853188929,0.0176895306859206,0.0143200962695548,0.00577617328519857,0.0139590854392298,0.0143200962695548,0.0423586040914561,0.0312876052948255,0.0501805054151625,-0.0155234657039711,0.00336943441636584,0.00517448856799039,0.0377858002406739,0.0444043321299639,0.0214199759326113,0.0139590854392298,0.00553549939831528,0.00192539109506619,0.00517448856799037,-0.00204572803850781,0.00974729241877256,0.0299638989169675,0.0675090252707581,-0.0335740072202166,-0.00264741275571601,0.0488567990373044,-0.0244283995186522,-0.000722021660649813,0.00216606498194947,0.021540312876053,0.00541516245487365
"Sucrose_F",0.0677496991576414,0.061251504211793,0,0.0932611311672683,0.00685920577617329,0.103249097472924,0.0510228640192539,0,0.0298435619735259,0.0908543922984356,0.0931407942238267,0.0205776173285199,0.0191335740072202,0.00818291215403129,0.0296028880866426,0.0581227436823105,0.0574007220216607,0.0618531889290012,0.0128760529482551,0.00866425992779782,0.0108303249097473,-0.0022864019253911,0.0150421179302046,-0.0137184115523466,0.0175691937424789,-0.0121540312876053,0.0072202166064982,-0.0155234657039711,0.00469314079422383,0.00673886883273164,0.00324909747292419,0.0036101083032491,0.00697954271961492,0.0144404332129964,0.00998796630565585,-0.00709987966305656,0.0303249097472924,-0.0120336943441637,0.0144404332129964,0.030806257521059,0.01323706377858,-0.00746089049338147,0.00902527075812274,0.0261131167268351,-0.0239470517448857,0.000962695547533106,0.00156438026474129,0.0179302045728039,0.0303249097472924
"Maltose_F",0.0535499398315283,0.0717208182912154,0.0932611311672683,0,0.015884476534296,0.0551143200962695,0.065222623345367,0,0.0151624548736462,0.0542719614921781,0.0419975932611312,0.0150421179302046,0.0344163658243081,0.0157641395908544,0.0327316486161252,0.077135980746089,0.0529482551143201,0.0685920577617329,0.0398315282791817,0.0120336943441637,0.0111913357400722,0.00746089049338147,0.00252707581227437,0.00505415162454874,0.0202166064981949,0.01323706377858,0.0275571600481348,-0.0160048134777377,0.0072202166064982,0.009265944645006,0.0184115523465704,0.0330926594464501,0.0109506618531889,0.0223826714801444,0.0194945848375451,0.00252707581227437,0.00529482551143202,-0.00649819494584838,0.0205776173285198,0.0323706377858002,0.0417569193742479,-0.0127557160048135,0.00481347773766546,0.0422382671480144,-0.0134777376654633,0.00144404332129963,0.000962695547533106,0.0188929001203369,0.0210589651022864
"Lactose_F",0.00938628158844765,0.0072202166064982,0.00685920577617329,0.015884476534296,0,0.0161251504211793,0.00469314079422383,0,0.00144404332129964,0.00168471720818291,0.00324909747292419,0.000481347773766546,0.00613718411552347,0.00300842358604091,-0.00385078219013237,0.00445246690734055,0.00192539109506618,0.00300842358604091,-0.00457280385078219,-0.00156438026474128,-0.00120336943441637,0.00685920577617328,-0.00517448856799037,-0.002647412755716,-0.001323706377858,-0.00312876052948255,-0.000962695547533093,-0.00276774969915764,-0.00288808664259928,-0.000842358604091455,-0.00324909747292419,-0.000601684717208183,0.000601684717208183,0.00300842358604091,0.00240673886883273,-0.00192539109506619,-0.00517448856799037,-0.00373044524669074,-0.00589651022864019,0.00120336943441637,0.00120336943441637,-0.00120336943441637,-0.000722021660649819,0.002647412755716,0.00036101083032491,0.000481347773766545,0.000361010830324911,0.00300842358604091,0.00240673886883273
"Raffinose_F",0.0428399518652226,0.0395908543922984,0.103249097472924,0.0551143200962695,0.0161251504211793,0,0.0222623345367028,0,0.0382671480144404,0.0518652226233454,0.0967509025270758,0.0235860409145608,0.00854392298435619,0.0085439229843562,0.0098676293622142,0.0261131167268351,0.025511432009627,0.0305655836341757,0.00348977135980746,-0.0098676293622142,-0.00974729241877256,-0.00409145607701565,0.002647412755716,-0.023826714801444,-0.00204572803850783,-0.00866425992779784,-0.00565583634175692,-0.00914560770156438,-0.000240673886883277,-0.00373044524669073,-0.00830324909747292,-0.0151624548736462,0.00252707581227437,0.00276774969915764,-0.00685920577617329,-0.00589651022864019,0.0162454873646209,-0.0143200962695548,-0.0102286401925391,0.0193742478941035,-0.0107099879663057,0.000120336943441638,0.0149217809867629,0.0116726835138388,-0.00842358604091456,-0.000361010830324923,0.000481347773766553,0.0164861612515042,0.0231046931407942
"Trehalose_F",0.0847172081829122,0.0995186522262335,0.0510228640192539,0.065222623345367,0.00469314079422383,0.0222623345367028,0,0,-0.00469314079422382,0.0445246690734055,0.0103489771359807,0.00673886883273165,0.0614921780986763,0.0151624548736462,0.078820697954272,0.0577617328519856,0.0477737665463297,0.0626955475330927,0.0113116726835138,0.0401925391095066,0.0392298435619735,0.0176895306859206,0.0206979542719615,0.0415162454873646,0.0511432009626955,0.0438026474127557,0.0623345367027677,0.0036101083032491,0.0169675090252708,0.01985559566787,0.0540312876052948,0.0777376654632972,0.0139590854392298,0.0383874849578821,0.0409145607701564,-0.00192539109506619,-0.0104693140794224,0.022503008423586,0.0395908543922984,0.0563176895306859,0.0883273164861613,-0.0194945848375451,-0.0175691937424789,0.0646209386281588,-0.0344163658243081,0.000601684717208183,0.00216606498194947,0.0217809867629362,0.000722021660649813
"Glucose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inulin",-0.0155234657039711,0.00276774969915764,0.0298435619735259,0.0151624548736462,0.00144404332129964,0.0382671480144404,-0.00469314079422382,0,0,0.0416365824308063,0.0760529482551143,0.030806257521059,0.0104693140794224,0.0192539109506619,0.0275571600481348,0.0291215403128761,0.0279181708784597,0.0283995186522262,0.0439229843561974,0.021540312876053,0.0141997593261131,0.0098676293622142,0.00661853188929001,0.00709987966305657,0.0199759326113117,0.0191335740072202,-0.00108303249097473,-0.00324909747292419,0,0.000240673886883277,0.00168471720818291,0.00108303249097474,0.0312876052948255,0.0140794223826715,0.00770156438026475,0.00758122743682311,-0.00661853188929001,-0.00108303249097474,0.0075812274368231,0.00276774969915764,-0.00336943441636582,0.0148014440433213,0.0290012033694344,-0.00445246690734056,0.0277978339350181,0.000481347773766553,-0.00577617328519855,-0.0157641395908544,0.00264741275571601
"Sucrose",0.0428399518652227,0.0411552346570397,0.0908543922984356,0.0542719614921781,0.00168471720818291,0.0518652226233454,0.0445246690734055,0,0.0416365824308063,0,0.0980746089049338,0.032129963898917,0.0535499398315283,0.0258724428399519,0.102406738868833,0.178941034897714,0.172322503008424,0.158965102286402,0.0498194945848376,0.0924187725631769,0.0939831528279182,0.0222623345367028,0.0269554753309266,0.0530685920577618,0.0405535499398315,0.029482551143201,0.028158844765343,-0.0283995186522262,0.00998796630565585,0.0167268351383875,0.010589651022864,0.0549939831528279,0.0234657039711191,0.0567990373044525,0.0482551143200963,0.0115523465703971,-0.0139590854392298,0.0133574007220217,0.0716004813477738,0.065222623345367,0.061251504211793,0.010589651022864,0.00180505415162455,0.0624548736462094,-0.000962695547533089,0.00445246690734054,-0.00192539109506621,-0.00854392298435622,-0.0262334536702768
