"","sp1","sp2","sp1_inc","sp2_inc","obs_cooccur","prob_cooccur","exp_cooccur","p_lt","p_gt","sp1_name","sp2_name","Isolation"
"1",1,2,68,31,31,0.26,23.4,1,2e-05,"Glucose_F","Galactose_F","Pathogenic"
"2",1,3,68,30,30,0.252,22.7,1,3e-05,"Glucose_F","Sucrose_F","Pathogenic"
"3",1,4,68,22,22,0.185,16.6,1,0.00075,"Glucose_F","Maltose_F","Pathogenic"
"4",1,6,68,20,20,0.168,15.1,1,0.00161,"Glucose_F","Raffinose_F","Pathogenic"
"5",1,7,68,31,31,0.26,23.4,1,2e-05,"Glucose_F","Trehalose_F","Pathogenic"
"6",1,8,68,90,68,0.756,68,1,1,"Glucose_F","Glucose","Pathogenic"
"7",1,9,68,11,11,0.092,8.3,1,0.03685,"Glucose_F","Inulin","Pathogenic"
"8",1,10,68,49,44,0.411,37,0.99991,0.00063,"Glucose_F","Sucrose","Pathogenic"
"9",1,11,68,32,27,0.269,24.2,0.95889,0.11575,"Glucose_F","Raffinose","Pathogenic"
"10",1,12,68,14,11,0.118,10.6,0.72391,0.53729,"Glucose_F","Melibiose","Pathogenic"
"11",1,13,68,62,44,0.52,46.8,0.10492,0.96612,"Glucose_F","Galactose","Pathogenic"
"12",1,14,68,13,12,0.109,9.8,0.98091,0.11657,"Glucose_F","Lactose","Pathogenic"
"13",1,15,68,58,50,0.487,43.8,0.99963,0.00207,"Glucose_F","Trehalose","Pathogenic"
"14",1,16,68,49,43,0.411,37,0.99937,0.00334,"Glucose_F","Maltose","Pathogenic"
"15",1,17,68,44,41,0.369,33.2,0.99999,0.00011,"Glucose_F","Melezitose","Pathogenic"
"16",1,18,68,44,40,0.369,33.2,0.99989,0.00083,"Glucose_F","Methyl-?-D-glucoside","Pathogenic"
"17",1,19,68,30,26,0.252,22.7,0.98053,0.06704,"Glucose_F","Soluble Starch","Pathogenic"
"18",1,20,68,53,43,0.445,40,0.95686,0.11091,"Glucose_F","Cellobiose","Pathogenic"
"19",1,21,68,53,42,0.445,40,0.88909,0.23319,"Glucose_F","Salicin","Pathogenic"
"20",1,22,68,52,34,0.437,39.3,0.0073,0.99861,"Glucose_F","L-Sorbose","Pathogenic"
"21",1,23,68,28,23,0.235,21.2,0.89508,0.2413,"Glucose_F","L-Rhamnose","Pathogenic"
"22",1,24,68,62,48,0.52,46.8,0.81081,0.35876,"Glucose_F","D-Xylose","Pathogenic"
"23",1,25,68,41,33,0.344,31,0.89354,0.22752,"Glucose_F","L-Arabinose","Pathogenic"
"24",1,26,68,29,23,0.243,21.9,0.79609,0.38465,"Glucose_F","D-Arabinose","Pathogenic"
"25",1,27,68,42,35,0.353,31.7,0.96922,0.08612,"Glucose_F","D-Ribose","Pathogenic"
"26",1,28,68,5,3,0.042,3.8,0.35515,0.90826,"Glucose_F","Methanol","Pathogenic"
"27",1,29,68,79,62,0.663,59.7,0.97755,0.09173,"Glucose_F","Ethanol","Pathogenic"
