"","Glucose_F","Galactose_F","Sucrose_F","Maltose_F","Lactose_F","Raffinose_F","Trehalose_F","Glucose","Inulin","Sucrose","Raffinose","Melibiose","Galactose","Lactose","Trehalose","Maltose","Melezitose","Methyl-?-D-glucoside","Soluble Starch","Cellobiose","Salicin","L-Sorbose","L-Rhamnose","D-Xylose","L-Arabinose","D-Arabinose","D-Ribose","Methanol","Ethanol","Glycerol","Erythritol","Ribitol","Galactitol","D-Mannitol","D-Glucitol","myo-Inositol","DL-Lactate","Succinate","Citrate","D-Gluconate","D-Glucosamine","Nitrate","Vitamin-free","2-Keto-D-gluconate","Starch formation","Growth at 19°C","Growth at 25°C","Growth at 30°C","Growth at 37°C"
"Glucose_F",0,0.0743272105937633,0.0666381888082016,0.0513882956001709,0.00807347287483982,0.0436992738146091,0.0785561725758223,0.000341734301580502,0.00205040580948313,0.0525843656557027,0.0160187953865869,-0.012772319521572,0.00986757795813751,0.00290474156343443,0.0335326783425886,0.0533959846219564,0.0492097394275951,0.0494233233660829,-0.0178129004698847,0.0274668944895344,0.0296027338744126,-0.0217001281503631,0.00871422469030328,-0.00435711234515166,-0.00226398974797093,-0.00700555318240067,0.0208030756087142,-0.00252029047415635,0.00252029047415638,-0.00897052541648868,0.00102520290474155,0.0093549765057668,-0.00730457069628364,-0.00158052114480993,-0.00384451089278086,-0.023579666809056,-0.00469884664673217,-0.0123024348568987,0.0220845792396412,0.0400683468603161,0.0546347714651858,-0.0224690303289193,-0.0108927808628791,0.0429730884237505,-0.0405809483126869,-0.00153780435711231,0.00324647586501491,0.0273814609141392,0.0158906450234943
"Galactose_F",0.0743272105937633,0,0.0834686031610423,0.095771038017941,0.00978214438274242,0.0554891072191371,0.114267407090987,0.000128150363092676,0.0213583938487826,0.0566424604869714,0.0457496796240923,0.026911576249466,0.109611277231952,0.0359248184536523,0.0640324647586501,0.063263562580094,0.0598035027765912,0.0791969243912858,0.0217428449380607,0.0269970098248612,0.0269970098248612,0.0249893208030756,0.0150363092695429,0.0281503630926954,0.0430585219991457,0.0381033746262281,0.0628791114908159,-0.0164459632635626,0.0153780435711235,0.0190089705254165,0.0292182827851346,0.0558308415207176,0.0228107646304998,0.0260572404955147,0.0153780435711235,0.000811618966253737,0.0126014523707817,0.0131994873985476,0.0201623237932507,0.0411789833404528,0.0741990602306706,-0.0282357966680906,0.0129859034600598,0.0543784707390004,-0.0164886800512601,-0.000811618966253728,0.000341734301580502,0.0178556172575822,0.0170439982913285
"Sucrose_F",0.0666381888082016,0.0834686031610423,0,0.119307988039299,0.0102520290474156,0.125245621529261,0.0665527552328065,0.000128150363092676,0.0488680051260145,0.101836821870995,0.117129431866724,0.025245621529261,0.0371636052968817,0.0106364801366937,0.0400683468603161,0.0650149508756941,0.065228534814182,0.0729602733874413,0.0219137120888509,0.0113626655275523,0.0143528406663819,0.0084579239641179,0.0102947458351132,-0.0126868859461768,0.0156770610850064,-0.00785988893635199,0.0182400683468603,-0.0185390858607433,0.00666381888082017,0.0114053823152499,-0.00324647586501495,0.00871422469030328,0.0104228961982059,0.018667236223836,0.0105937633489961,-0.00602306706535669,0.0313541221700128,-0.0129431866723622,0.0141819735155916,0.0323366082870568,0.0198633062793678,-0.0093122597180692,0.020632208457924,0.0334472447671935,-0.0164886800512601,0.00217855617257583,0.00175138829560018,0.0163605296881674,0.0414780008543358
"Maltose_F",0.0513882956001709,0.095771038017941,0.119307988039299,0,0.0131994873985476,0.0706108500640752,0.0827424177701837,8.54335753951497e-05,0.0299444681759932,0.0634771465185818,0.0592481845365228,0.0136266552755233,0.0511319948739855,0.0176420333190944,0.0458351131994874,0.0893635198633063,0.0713370354549338,0.0826997009824861,0.0455360956856044,0.0163178129004699,0.0167449807774455,0.0189235369500214,0.00140965399401965,0.0084579239641179,0.0204186245194361,0.0131994873985476,0.0345151644596326,-0.0172575822298163,0.0120461341307134,0.0151217428449381,0.0114480991029475,0.0394703118325502,0.0056386159760786,0.028876548483554,0.0204613413071337,0.00418624519436138,0.0108500640751815,-0.000640751815463477,0.0239214011106365,0.0351559162750961,0.0492524562152926,-0.00965399401964972,0.0148227253310551,0.0497223408799658,-0.0118325501922255,0.000427167876975651,-0.000555318240068327,0.0155916275096113,0.0279794959419052
"Lactose_F",0.00807347287483982,0.00978214438274242,0.0102520290474156,0.0131994873985476,0,0.0187526697992311,0.00439982913284921,0,0.00512601452370782,0.00158052114480991,0.00884237505339599,0.00234942332336608,0.00807347287483981,0.00713370354549338,-0.00286202477573687,0.0036736437419906,0.000598035027765911,0.000683468603161043,-0.00392994446817599,0.000427167876975651,-0.00128150363092695,0.00486971379752243,-0.0076035882101666,-0.0047842802221273,-0.00136693720632208,-0.00794532251174712,-0.00307560871422469,-0.00273387441264417,-0.00303289192652712,0.00136693720632209,-0.00422896198205895,-0.000897052541648869,-0.000640751815463477,0.00384451089278086,-0.000469884664673214,-0.0018368218709953,-0.0046561298590346,-0.00264844083724904,-0.00580948312686886,-0.00200768902178556,0.000256300726185391,0.000469884664673216,0.000170867150790261,0.00299017513882956,-0.000128150363092695,0.000469884664673214,0.000299017513882957,0.00247757368645878,0.00294745835113199
"Raffinose_F",0.0436992738146091,0.0554891072191371,0.125245621529261,0.0706108500640752,0.0187526697992311,0,0.0337035454933789,8.54335753951254e-05,0.0574967962409227,0.0616830414352841,0.124220418624519,0.0290474156343443,0.0171294318667236,0.0129004698846647,0.0158906450234942,0.0343015805211448,0.0322938914993592,0.0388722768047843,0.0106364801366937,-0.00444254592054677,-0.00615121742844937,0.00367364374199061,0.000469884664673214,-0.0204186245194361,0.00068346860316104,-0.00495514737291755,-0.00328919265271251,-0.0121315677061085,0.00119607005553183,-0.0001281503630927,-0.0116189662537377,-0.0132422041862452,0.00862879111490816,0.00615121742844937,-0.00692011960700555,-0.00222127296027339,0.0138402392140111,-0.0156770610850064,-0.0111063648013669,0.0156770610850064,-0.0123451516445963,-0.00354549337889791,0.019051687313114,0.0121315677061085,-0.00585219991456643,0.000854335753951303,0.000854335753951303,0.0149081589064502,0.0263562580093977
"Trehalose_F",0.0785561725758223,0.114267407090987,0.0665527552328065,0.0827424177701837,0.00439982913284921,0.0337035454933789,0,0.000170867150790251,0.00905595899188381,0.0573259290901324,0.0219137120888509,0.0121742844938061,0.0733447244767194,0.025929090132422,0.0947031183255019,0.0780435711234515,0.0784707390004272,0.0829560017086715,0.0264416915847928,0.0501495087569415,0.0518581802648441,0.0275523280649295,0.0264416915847928,0.0449807774455361,0.0504485262708244,0.0481418197351559,0.0633062793677915,0.00521144809910295,0.0156770610850064,0.0223408799658266,0.0488680051260145,0.0854335753951303,0.0196070055531824,0.0419906023067065,0.03771892353695,-0.00401537804357112,-0.0237078171721487,0.0250320375907732,0.0395984621956429,0.0614267407090987,0.0951302862024776,-0.0150790260572405,-0.0076035882101666,0.0827851345578813,-0.026228107646305,-0.000128150363092676,0.000469884664673226,0.0155489107219137,0.00871422469030328
"Glucose",0.000341734301580502,0.000128150363092676,0.000128150363092676,8.54335753951497e-05,0,8.54335753951254e-05,0.000170867150790251,0,4.27167876975749e-05,0.000256300726185352,0.000128150363092676,4.27167876975749e-05,0.000299017513882975,4.27167876975749e-05,0.000299017513882975,0.000256300726185352,0.000213583938487826,0.000213583938487826,8.54335753951497e-05,0.000256300726185352,0.000256300726185352,0.000256300726185352,8.54335753951497e-05,0.000299017513882975,0.000128150363092676,0.000128150363092676,0.000170867150790251,4.27167876975627e-05,0.000384451089278125,0.000384451089278125,8.54335753951497e-05,0.000256300726185352,4.27167876975749e-05,0.000341734301580502,0.000341734301580502,4.27167876975627e-05,0.000213583938487826,0.000384451089278125,0.000256300726185352,0.000256300726185352,0.000170867150790251,8.54335753951254e-05,8.54335753951254e-05,0.000213583938487826,4.27167876975627e-05,0.000427167876975651,0.000427167876975651,0.000384451089278125,0.000213583938487826
"Inulin",0.00205040580948313,0.0213583938487826,0.0488680051260145,0.0299444681759932,0.00512601452370782,0.0574967962409227,0.00905595899188381,4.27167876975749e-05,0,0.041947885519009,0.0797095258436566,0.0283212302434857,0.0168304143528407,0.0171294318667236,0.0279367791542076,0.0335753951302862,0.0323793250747544,0.0353267834258864,0.026527125160188,0.015719777872704,0.0110209312259718,0.0142674070909868,0.0116616830414353,0.00790260572404955,0.0145237078171721,0.0148654421187527,0.00222127296027339,-0.00474156343442973,0.00290474156343443,0.00380179410508329,-0.00119607005553182,0.0121315677061085,0.0279794959419052,0.0147800085433575,0.0103374626228108,0.00427167876975651,-0.00200768902178556,-0.00102520290474157,0.000982486117044003,0.00153780435711234,0.00234942332336608,0.000256300726185391,0.018667236223836,0.0104228961982059,0.0138829560017087,0.000768902178556177,-0.00316104228961981,-0.00777445536095685,0.0149935924818454
"Sucrose",0.0525843656557027,0.0566424604869714,0.101836821870995,0.0634771465185818,0.00158052114480991,0.0616830414352841,0.0573259290901324,0.000256300726185352,0.041947885519009,0,0.101665954720205,0.0310978214438274,0.0645877829987185,0.0263135412217001,0.113626655275523,0.176932934643315,0.17069628363947,0.161042289619821,0.0457923964117898,0.0870995301153353,0.0853908586074327,0.0311832550192226,0.0274668944895344,0.0574967962409226,0.0375053395984622,0.0287483981204613,0.044895343870141,-0.0248611704399829,0.0157624946604016,0.0208457923964118,0.0124305852199915,0.0596753524134985,0.0283639470311833,0.0549337889790687,0.0447244767193507,0.00700555318240069,-0.0172575822298163,0.0116616830414353,0.0676633917129432,0.0662537377189236,0.0645450662110209,0.00158052114480991,-0.00311832550192226,0.0699273814609142,-0.00482699700982486,0.00380179410508334,-0.00145237078171725,-0.00623665100384447,-0.0138829560017087
