Genus,Species,Paragraph of Species Studied,Ecology,Pathogenic,Clinical,Rotting/Decaying,Spoiled,Contaminated,Plant Pathogen,Animal,Insect,Tree,Stone Chamber,Lichen,Pollen,Feces?Dung,Pine,Bromeliad,Flower,Cactus,Ipomoea,Oak,Hibiscus,Beetle,Ant,Fruit fly,Bee,Water,Tree exudate,Tree flux,Honey,Nematode,Mushroom/Fungus,Soil,Insect Frass,Unknown,Air,Leather Tanning,Industrial,Fodder,Freshwater,Seawater/Marine,Brine,Plant,Food,Pickled/Salted/Brined,Fruit,Drink/Juice,Sugar Cane,Fermented,Wine,Beer,Tequilla,Cider,Wood,Silage,Dairy,Olives
Aciculoconidium,A. aculeatum,"CBS 2282, isolated from a fruit fly
(Drosophila occidentalis), H.J. Phaff; CBS 5293 (NRRL YB-4297, ATCC
15540), from Drosophila pinicola, California, USA, L. do Carmo Sousa;
CBS 5578 (NRRL YB-4298, ATCC 28680, JCM 13354), isolated by
H.J. Phaff from D. occidentalis (Phaff et al. 1956).",,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambrosiozyma,A. ambrosiae,"CBS 6003 (ATCC 24613, NRRL Y-7524), isolated by J.P. van der Walt from tunnels of an ambrosia beetle (Platypus (Crossotarsus) externedentatus), Zululand, South Africa, typestrain of Pichia ambrosiae; CBS 6816, unknown, N.J.W. Kreger-van Rij; CBS 7108, from Crossotarsus sp. infestation of moribund fig (Ficus sycomorus), South Africa, J.P. van der Walt; CBS 8256, from tunnels of P. externedentatus, South Africa, J.P. van der Walt.","Ambrosiozyma ambrosiae is associated with wood-boring
beetles (Ganter 2006, Phaff and Starmer 1987).",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambrosiozyma,A. angophorae,"CBS 5823 (NRRL Y-7118), isolated by M.W. Miller from gum exudates of a red gum tree (Angophora costata), Australia.","The single strain of the species was associated with gum
exudates from a red gum tree.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambrosiozyma,A. cicatricosa,"CBS 6157 (ATCC 24611, NRRL Y-17594,
JCM 7598), isolated by J.P. van der Walt from tunnels of Xyleborus torquatus
in Cussonia umbelifera, Natal, South Africa, type strain of
Pichia cicatricosa; CBS 6158, from tunnels of Xyleborus torquatus and
Platypus externedentatus in Macaranga capensis, South Africa,
received from J.P. van der Walt.","The species is associated with ambrosia beetles (Ganter
2006, Phaff and Starmer 1987).",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambrosiozyma,A. monospora,"CBS 2554 (ATCC 56618, NRRL Y-1484,
JCM 7599), isolated from exudates of coconut palm, the original
strain described as Endomycopsis monospora by K. Saito; CBS 5514
(ATCC 14628, IFO 1965, NRRL Y-5955), type strain of Endomycopsis
fasciculata, from Pinus strobus, L.R. Batra; CBS 5515 (ATCC 56460,
NRRL Y-1081), type strain of Endomyces bispora, tunnels of Platypus
compositus, L.J. Wickerham; CBS 6392 (ATCC 18855), type strain of
Pichia crossotarsi, ambrosia fungus of Crossotarsus wollastoni.","The species is associated with wood-boring insects (Ganter
2006, Phaff and Starmer 1987). Kreger van Rij and Veenhuis (1973b)
reported the ability of A. monospora to penetrate yeasts. However,
Lachance and coworkers (2000b) were unable to confirm this
phenomenon.",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambrosiozyma,A. philentoma,"CBS 6276 (ATCC 24607, NRRL Y-7523,
JCM 7600, IFO 1847), CBS 6279, isolated from a tunnel of Xyleborus
aemulus, South Africa, J.P. van der Walt.","Ambrosiozyma philentoma is associated with ambrosia beetles
(Ganter 2006, Phaff and Starmer 1987).",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambrosiozyma,A. platypodis,"CBS 4111 (ATCC 24747, NRRL Y-6732,
JCM 1843), isolated from a tunnel of Platypus cylindrus, UK, by J.M.
Baker; CBS 4380, ex CBS 4111, J. Lodder; CBS 7105, CBS 7106, from
Platypus sp. in Nothophagus cunninghamii, Tasmania, G.S. de Hoog.","Ambrosiozyma platypodis is associated with ambrosia beetles
(Ganter 2006, van der Walt 1972).",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ascobotryozyma,A. americana,"From the cuticle of free-living nematodes,
Panagrellus dubius, inhabiting galleries of wood-boring beetles,
Saperda calcarata, in trembling aspen trees (Populus tremuloides,
Salicaceae) from Cheney, Washington, USA. CBS 8461 and CBS 8462,
isolated in 1992 by J. D. Rogers; CBS 8463 isolated in 1996 by J. D.
Rogers; WSP 70152, WSP 70153, WSP 70154, CBS 8560, CBS 8751
and CBS 8752, isolated in 1998 by J. Kerrigan.","Ascobotryozyma americana strains were found attached by
branched anchoring cells to the cuticle of free-living nematodes,
Panagrellus dubius. Panagrellus nematodes are known as the “sour
paste” nematodes because they typically inhabit environments
undergoing fermentative changes (Hechler 1971), including insect
frass and slime flux. All strains of this species were isolated from galleries
of the poplar borer (Saperda calcarata, Coleoptera:
Cerambycidae), a wood-boring beetle in trembling aspen (Populus
tremuloides) trees. The nematodes are presumably vectored by the
beetles. Small wounds are created when the adult female chews a
slit in the bark, in which she typically deposits one egg, sometimes
two. The egg hatches into a larva that mines the wood, creating a
network of galleries. The galleries are moist and lined with yeasts,
bacteria, and filamentous fungi, creating a suitable habitat for
Panagrellus nematodes and Ascobotryozyma species. As larvae mine
into the wood, much of the boring dust, or frass, is expelled through
the opening in the bark where the egg was laid (Baker 1972, Metcalf
and Flint 1939). Other insects are attracted to the entrance sites
because of their fermentative smell, and these insects may also vector
the Panagrellus nematodes and Ascobotryozyma.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ascobotryozyma,A. cognata,"All from the cuticle of free-living nematodes,
Panagrellus dubius, inhabiting beetle galleries. WSP 70305, WSP
70306, WSP 70307 and CBS 8753, isolated from Cryptorhynchus lapathi
galleries in willow (Salix scouleriana, Salicaceae) from St. Maries, Idaho,
USA in 1997 and CBS 8460 in 1998; CBS 8707 isolated from
Cryptorhynchus lapathi galleries in willow (Salix sp.), from St. Maries,
Idaho, USA in 1998; CBS 8708, CBS 8709 and CBS 8754, isolated from
Cryptorhynchus lapathi galleries in willow (Salix sp.), near Grangemont,
Idaho, USA in 1998; CBS 8705 and CBS 8750, isolated from poplar borer
Saperda calcarata galleries in trembling aspen (Populus tremuloides,
Salicaceae, near Priest Lake, Idaho, USA in 1997; CBS 8706 isolated from
Saperda calcarata galleries in balsam poplar (Populus balsamifera), near
Priest Lake, Idaho, USA in 1997. All isolated by J. Kerrigan.","Ascobotryozyma cognata strains were found on the cuticle of the free-living nematode Panagrellus dubius isolated from Populus and Salix trees. The nematode and yeast were isolated from Populus (aspen and cottonwood) trees, from galleries created by the poplar borer, Saperda calcarata (Coleoptera: Cerambycidae), a long-horned, wood-boring beetle whose larvae carve out galleries for two or more years (Metcalf and Flint 1939). Isolates from willow (Salix sp.) were infested by the poplar and willow borer (Cryptorhynchus lapathi, Coleoptera: Curculionidae), an exotic, ubiquitous beetle commonly found in shrubby willows (Smith and Stott 1964). The P. dubius nematode species was first described from the frass of Cryptorhynchus lapathi galleries (Sanwal 1960). The nematodes and Ascobotryozyma are presumably vectored by the beetles and are introduced into the wood when the eggs are laid in the bark. Larvae mine into the wood and create galleries, which serve as a suitable habitat for Panagrellus nematodes and Ascobotryozyma species. As the larvae mine, boring dust, called frass, is expelled through the opening in the bark where the egg was laid. This opening, or entrance site, grows larger as the larvae mature, and more and more frass is pushed out. The galleries stay moist and are lined with microorganisms, creating a fermentative
smell that attracts other insects. These other insects may also serve as vectors of the nematodes and Ascobotryozyma.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ascoidea,A. africana,"CBS 377.68 (NRRL Y-17632, ATCC
24275), isolated from larvae, West Africa, L.R. Batra; CBS 457.69
(NRRL Y-17576, ATCC 24275), CBS 175.70, CBS 176.70 and CBS 177.70,
all from decaying wood of Monkey puzzle (Araucaria araucana,
Araucariaceae), Chile, J. Grinbergs.","Judging from the type strain that was isolated from a larva
infesting wood, the species is probably an ambrosia fungus disseminated
by insect vectors.",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
